filename|category|usage|game_size|notes|watermark
sq_base_N.png|base|方形功能入口底板_常态|256x256|深青灰玉石+暗金浮雕描边+如意云角|已去水印
sq_base_S.png|base|方形功能入口底板_选中态|256x256|底板提亮+描边发光|已去水印
rect_pos_N.png|base|主操作按钮底板_常态|512x128|3:1宽扁长方形|已去水印
rect_pos_H.png|base|主操作按钮底板_悬浮态|512x128|整体提亮|已去水印
rect_pos_P.png|base|主操作按钮底板_点击态|512x128|压暗凹陷|已去水印
rect_neg_N.png|base|次要按钮底板_常态|512x128|墨青灰褐低调|已去水印
rect_neg_H.png|base|次要按钮底板_悬浮态|512x128|轻微提亮|已去水印
rect_neg_P.png|base|次要按钮底板_点击态|512x128|压暗|已去水印
nav_base_N.png|base|底部导航Tab底板_常态|128x160|1:1.2竖版|已去水印
nav_base_S.png|base|底部导航Tab底板_选中态|128x160|发光提亮|已去水印
toggle_off.png|base|开关按钮_关闭态|64x64|小方形|已去水印
toggle_on.png|base|开关按钮_开启态|64x64|灵气青光|已去水印
icon_nav_jy.png|nav|底部Tab图标_经营|96x96|宗门大殿|已去水印
icon_nav_dz.png|nav|底部Tab图标_弟子|96x96|道冠修士|已去水印
icon_nav_ll.png|nav|底部Tab图标_历练|96x96|飞剑+灵气|已去水印
icon_nav_js.png|nav|底部Tab图标_纪事|96x96|玉简|已去水印
icon_nav_gd.png|nav|底部Tab图标_更多|96x96|三圆点|已去水印
icon_sq_jz_zl.png|square|6宫格/建筑图标_建筑总览|180x180|四座仙殿|已去水印
icon_sq_dz_lu.png|square|6宫格图标_弟子录|180x180|名册卷轴|已去水印
icon_sq_dq_lz.png|square|6宫格图标_丹器炼制|180x180|丹炉+飞剑|已去水印
icon_sq_zm_df.png|square|6宫格图标_宗门洞府|180x180|山洞洞府|已去水印
icon_sq_rw_mb.png|square|6宫格图标_任务目标|180x180|目标令牌|已去水印
icon_sq_zm_zc.png|square|6宫格图标_宗门账册|180x180|玉简+灵石|已去水印
icon_sq_zd_zd.png|square|建筑图标_宗门正殿|180x180|重檐仙殿|已去水印
icon_sq_jy_t.png|square|建筑图标_接引堂|180x180|山门云阶|已去水印
icon_sq_lt.png|square|建筑图标_灵田|180x180|灵草|已去水印
icon_sq_km.png|square|建筑图标_矿脉|180x180|灵矿晶簇|已去水印
icon_sq_tw_g.png|square|建筑图标_探微阁|180x180|情报卷轴+天眼|已去水印
icon_sq_dt.png|square|建筑图标_丹堂|180x180|三足炼丹炉|已去水印
icon_sq_qt.png|square|建筑图标_器堂|180x180|铸锤+飞剑|已去水印
icon_sq_gx_g.png|square|建筑图标_功勋阁|180x180|宗门令牌|已去水印
icon_sq_zt.png|square|建筑图标_阵堂|180x180|八卦阵盘|已去水印
icon_sq_cs_g.png|square|建筑图标_藏书阁|180x180|堆叠玉简|已去水印
icon_sq_sy.png|square|建筑图标_商驿|180x180|聚宝袋|已去水印
icon_micro_check.png|micro|勾选/对勾|48x48|金属浮雕|已去水印
icon_micro_x.png|micro|关闭/叉号|48x48|金属浮雕|已去水印
icon_micro_L.png|micro|左箭头|48x48|金属浮雕|已去水印
icon_micro_R.png|micro|右箭头|48x48|金属浮雕|已去水印
icon_micro_U.png|micro|上箭头|48x48|金属浮雕|已去水印
icon_micro_D.png|micro|下箭头|48x48|金属浮雕|已去水印
icon_micro_exp.png|micro|展开/向下V|48x48|金属浮雕|已去水印
icon_micro_col.png|micro|收起/向上V|48x48|金属浮雕|已去水印
icon_micro_go.png|micro|前往/令旗|48x48|金属浮雕|已去水印
icon_micro_info.png|micro|信息/i|48x48|金属浮雕|已去水印
icon_micro_dots.png|micro|更多/三圆点|48x48|金属浮雕|已去水印
