id,priority,kind,shape,state,filename,status
nav_jy_normal,P0,nav_tab,square,normal,nav_jy_normal.png,已生成已处理
nav_jy_selected,P0,nav_tab,square,selected,nav_jy_selected.png,已生成已处理
nav_dz_normal,P0,nav_tab,square,normal,nav_dz_normal.png,已生成已处理
nav_dz_selected,P0,nav_tab,square,selected,nav_dz_selected.png,已生成已处理
nav_ll_normal,P0,nav_tab,square,normal,nav_ll_normal.png,已生成已处理
nav_ll_selected,P0,nav_tab,square,selected,nav_ll_selected.png,已生成已处理
nav_js_normal,P0,nav_tab,square,normal,nav_js_normal.png,已生成已处理
nav_js_selected,P0,nav_tab,square,selected,nav_js_selected.png,已生成已处理
nav_gd_normal,P0,nav_tab,square,normal,nav_gd_normal.png,已生成已处理
nav_gd_selected,P0,nav_tab,square,selected,nav_gd_selected.png,已生成已处理
btn_primary_normal,P0,primary_btn,bar,normal,btn_primary_normal.png,已生成已处理
btn_primary_hover,P0,primary_btn,bar,hover,btn_primary_hover.png,已生成已处理
btn_primary_press,P0,primary_btn,bar,press,btn_primary_press.png,已生成已处理
btn_back_normal,P0,back_btn,bar,normal,btn_back_normal.png,已生成已处理
btn_back_press,P0,back_btn,bar,press,btn_back_press.png,已生成已处理
grid_jz,P1,grid_entry,square,normal,grid_jz.png,已生成已处理
grid_dz,P1,grid_entry,square,normal,grid_dz.png,已生成已处理
grid_dq,P1,grid_entry,square,normal,grid_dq.png,已生成已处理
grid_df,P1,grid_entry,square,normal,grid_df.png,已生成已处理
grid_rw,P1,grid_entry,square,normal,grid_rw.png,已生成已处理
grid_zc,P1,grid_entry,square,normal,grid_zc.png,已生成已处理
bld_zd,P1,building_icon,square,normal,bld_zd.png,已生成已处理
bld_jy,P1,building_icon,square,normal,bld_jy.png,已生成已处理
bld_lt,P1,building_icon,square,normal,bld_lt.png,已生成已处理
bld_km,P1,building_icon,square,normal,bld_km.png,已生成已处理
bld_tw,P1,building_icon,square,normal,bld_tw.png,已生成已处理
bld_dt,P1,building_icon,square,normal,bld_dt.png,已生成已处理
bld_qt,P1,building_icon,square,normal,bld_qt.png,已生成已处理
bld_gx,P1,building_icon,square,normal,bld_gx.png,已生成已处理
bld_zt,P1,building_icon,square,normal,bld_zt.png,已生成已处理
bld_cs,P1,building_icon,square,normal,bld_cs.png,已重出已处理(text-fix)
bld_sy,P1,building_icon,square,normal,bld_sy.png,已生成已处理
btn_secondary_normal,P1,secondary_btn,bar,normal,btn_secondary_normal.png,已生成已处理
btn_secondary_hover,P1,secondary_btn,bar,hover,btn_secondary_hover.png,已生成已处理
btn_secondary_press,P1,secondary_btn,bar,press,btn_secondary_press.png,已生成已处理
subtab_normal,P1,sub_tab,bar,normal,subtab_normal.png,已生成已处理
subtab_selected,P1,sub_tab,bar,selected,subtab_selected.png,已生成已处理
slot_fan,P1,item_slot,square,normal,slot_fan.png,已生成已处理
slot_ling,P1,item_slot,square,normal,slot_ling.png,已生成已处理
slot_bao,P1,item_slot,square,normal,slot_bao.png,已生成已处理
slot_wang,P1,item_slot,square,normal,slot_wang.png,已生成已处理
slot_sheng,P1,item_slot,square,normal,slot_sheng.png,已生成已处理
slot_xian,P1,item_slot,square,normal,slot_xian.png,已生成已处理
slot_dao,P1,item_slot,square,normal,slot_dao.png,已生成已处理
play_lj,P1,play_btn,square,normal,play_lj.png,已生成已处理
play_lz,P1,play_btn,square,normal,play_lz.png,已生成已处理
play_zm,P1,play_btn,square,normal,play_zm.png,已重出已处理(text-fix)
play_tp,P1,play_btn,square,normal,play_tp.png,已生成已处理
op_renming,P2,op_btn,square,normal,op_renming.png,已重出已处理(text-fix)
op_bamian,P2,op_btn,square,normal,op_bamian.png,已重出已处理(text-fix)
op_auto,P2,op_btn,square,normal,op_auto.png,已生成已处理
op_tiaopei,P2,op_btn,square,normal,op_tiaopei.png,已生成已处理
op_shenhe,P2,op_btn,square,normal,op_shenhe.png,已重出已处理(text-fix)
op_jilu,P2,op_btn,square,normal,op_jilu.png,已重出已处理(text-fix)
refine_start,P2,refine_btn,square,normal,refine_start.png,已生成已处理
refine_speed,P2,refine_btn,square,normal,refine_speed.png,已生成已处理
refine_recipe,P2,refine_btn,square,normal,refine_recipe.png,已重出已处理(text-fix)
refine_array,P2,refine_btn,square,normal,refine_array.png,已生成已处理
filter_normal,P2,filter_tab,bar,normal,filter_normal.png,已生成已处理
filter_selected,P2,filter_tab,bar,selected,filter_selected.png,已生成已处理
shop_signin,P2,shop_btn,square,normal,shop_signin.png,已生成已处理
shop_mall,P2,shop_btn,square,normal,shop_mall.png,已重出已处理(text-fix)
shop_event,P2,shop_btn,square,normal,shop_event.png,已生成已处理
shop_firstpay,P2,shop_btn,square,normal,shop_firstpay.png,已生成已处理
confirm_ok,P2,confirm_btn,bar,normal,confirm_ok.png,已生成已处理
confirm_cancel,P2,confirm_btn,bar,normal,confirm_cancel.png,已生成已处理
confirm_danger,P2,confirm_btn,bar,normal,confirm_danger.png,已生成已处理
confirm_close,P2,confirm_btn,bar,normal,confirm_close.png,已生成已处理
