seq_id,asset_id,file_path,avatar_paths,element,personality,aptitude,gender,hair,face_feature,accessory_material,seed,pose_ref,depth_ref,depth_strength,ip_ref,ip_strength,qc_crop,qc_face,batch,face_center_x,face_center_y,avatar_crop_x,avatar_crop_y,avatar_size,detect_method,backend,status,time_cost_s
jin_chen_common_01,jin_chen_common,../out_dryrun_full\jin\chen\common\disciple_jin_chen_common_01.png,,金,沉稳,普通,男子,束发嵌玉簪,清晰下颌线,银丝缠绕,20260730,../弟子立绘/pose\pose_chen_男_stand.png,../弟子立绘/depth\depth_chen_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_chen_elite_01,jin_chen_elite,../out_dryrun_full\jin\chen\elite\disciple_jin_chen_elite_01.png,,金,沉稳,精英,男子,半披发束于脑后,饱满天庭,银丝缠绕,20260731,../弟子立绘/pose\pose_chen_男_stand.png,../弟子立绘/depth\depth_chen_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_chen_top_01,jin_chen_top,../out_dryrun_full\jin\chen\top\disciple_jin_chen_top_01.png,,金,沉稳,顶级,男子,半披发束于脑后,高挺鼻梁,鎏金描边,20260732,../弟子立绘/pose\pose_chen_男_stand.png,../弟子立绘/depth\depth_chen_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_huo2_common_01,jin_huo2_common,../out_dryrun_full\jin\huo2\common\disciple_jin_huo2_common_01.png,,金,活泼,普通,女子,双丸子髻偏侧,清晰下颌线,宝石嵌饰,20260733,../弟子立绘/pose\pose_huo2_女_stand.png,../弟子立绘/depth\depth_huo2_女_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_huo2_elite_01,jin_huo2_elite,../out_dryrun_full\jin\huo2\elite\disciple_jin_huo2_elite_01.png,,金,活泼,精英,女子,双丸子髻偏侧,饱满天庭,鎏金描边,20260734,../弟子立绘/pose\pose_huo2_女_stand.png,../弟子立绘/depth\depth_huo2_女_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_huo2_top_01,jin_huo2_top,../out_dryrun_full\jin\huo2\top\disciple_jin_huo2_top_01.png,,金,活泼,顶级,女子,松散双马尾,高挺鼻梁,银丝缠绕,20260735,../弟子立绘/pose\pose_huo2_女_stand.png,../弟子立绘/depth\depth_huo2_女_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_gu_common_01,jin_gu_common,../out_dryrun_full\jin\gu\common\disciple_jin_gu_common_01.png,,金,孤傲,普通,男子,低束发一缕额发,立体颧骨,鎏金描边,20260736,../弟子立绘/pose\pose_gu_男_stand.png,../弟子立绘/depth\depth_gu_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_gu_elite_01,jin_gu_elite,../out_dryrun_full\jin\gu\elite\disciple_jin_gu_elite_01.png,,金,孤傲,精英,男子,全束高马尾垂至腰,立体颧骨,银丝缠绕,20260737,../弟子立绘/pose\pose_gu_男_stand.png,../弟子立绘/depth\depth_gu_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_gu_top_01,jin_gu_top,../out_dryrun_full\jin\gu\top\disciple_jin_gu_top_01.png,,金,孤傲,顶级,男子,低束发一缕额发,立体颧骨,鎏金描边,20260738,../弟子立绘/pose\pose_gu_男_stand.png,../弟子立绘/depth\depth_gu_男_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
jin_bao_common_01,jin_bao_common,../out_dryrun_full\jin\bao\common\disciple_jin_bao_common_01.png,,金,暴躁,普通,女子,半剃短发硬朗,清瘦面颊,木纹肌理,20260739,../弟子立绘/pose\pose_bao_女_stand.png,../弟子立绘/depth\depth_bao_女_stand.png,0.6,,,skip:dryrun,skip:dryrun,0,,,,,,none,dryrun,dryrun,0.0
