idx,id,element,personality,aptitude,gender,batch,status,run_command
1,jin_chen_common,金,沉稳,普通,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
2,jin_chen_elite,金,沉稳,精英,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
3,jin_chen_top,金,沉稳,顶级,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
4,jin_huo2_common,金,活泼,普通,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
5,jin_huo2_elite,金,活泼,精英,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
6,jin_huo2_top,金,活泼,顶级,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
7,jin_gu_common,金,孤傲,普通,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
8,jin_gu_elite,金,孤傲,精英,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
9,jin_gu_top,金,孤傲,顶级,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
10,jin_bao_common,金,暴躁,普通,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
11,jin_bao_elite,金,暴躁,精英,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
12,jin_bao_top,金,暴躁,顶级,女子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
13,jin_wen_common,金,温润,普通,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
14,jin_wen_elite,金,温润,精英,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
15,jin_wen_top,金,温润,顶级,男子,1,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 1 --out ../弟子立绘/output/production
16,jin_jiao_common,金,狡黠,普通,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
