file,face_center_x,face_center_y,avatar_crop_x,avatar_crop_y,avatar_size,detect_method,avatar_256
写实国漫油画风修仙女弟子立绘_凡人修仙传写实厚涂油画_真人比_2026-07-29T16-58-47.png,386,368,100,181,573,dnn_ssd,../samples\avatar\写实国漫油画风修仙女弟子立绘_凡人修仙传写实厚涂油画_真人比_2026-07-29T16-58-47_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T16-58-16.png,407,253,218,130,377,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T16-58-16_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-24-48.png,411,399,132,217,558,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-24-48_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-24-49.png,413,460,126,273,573,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-24-49_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-26-22.png,411,346,156,180,511,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-26-22_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-29-52.png,402,436,130,259,545,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-29-52_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-44-18.png,412,434,115,241,594,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-44-18_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-44-19.png,413,414,24,160,778,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-44-19_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-45-24.png,407,327,136,151,541,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传_诛仙_电影海报质感__2026-07-29T17-45-24_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂_真人比例东方_2026-07-29T16-58-47.png,354,344,25,130,658,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂_真人比例东方_2026-07-29T16-58-47_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂_真人比例东方_2026-07-29T17-04-56.png,403,326,60,102,686,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂_真人比例东方_2026-07-29T17-04-56_avatar_256.png
写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂油画_真人比例_2026-07-29T17-04-56.png,397,345,206,221,381,dnn_ssd,../samples\avatar\写实国漫油画风修仙弟子立绘_凡人修仙传写实厚涂油画_真人比例_2026-07-29T17-04-56_avatar_256.png
