id,类别,名称,维度,键,成率,出纹,说明
afs_rg_凡品,人,灵根品阶·凡品,灵根品阶,凡品,0.000,0.000,凡品灵根炼化平平无功无过
afs_rg_良品,人,灵根品阶·良品,灵根品阶,良品,0.008,0.008,良品灵根火候初稳
afs_rg_上品,人,灵根品阶·上品,灵根品阶,上品,0.018,0.018,上品灵根丹火易控
afs_rg_极品,人,灵根品阶·极品,灵根品阶,极品,0.030,0.030,极品灵根炉火随心
afs_rg_天品,人,灵根品阶·天品,灵根品阶,天品,0.045,0.045,天品灵根丹道根骨
afs_rt_火,人,灵根·火,灵根类型,火,0.020,0.020,火灵根主炼化丹纹最易成
afs_rt_木,人,灵根·木,灵根类型,木,0.010,0.012,木灵根善养药药性温和
afs_rt_水,人,灵根·水,灵根类型,水,0.010,0.008,水灵根润丹成丹偏稳
afs_rt_金,人,灵根·金,灵根类型,金,0.005,0.004,金灵根性锐利于凝丹
afs_rt_土,人,灵根·土,灵根类型,土,0.005,0.006,土灵根厚重丹体坚实
afs_rt_雷,人,灵根·雷,灵根类型,雷,0.015,0.015,雷灵根丹成常带雷纹
afs_rt_冰,人,灵根·冰,灵根类型,冰,0.005,0.002,冰灵根性冷丹纹难显
afs_rt_风,人,灵根·风,灵根类型,风,0.000,0.002,风灵根性散不聚丹纹
afs_rt_光,人,灵根·光,灵根类型,光,0.010,0.012,光灵根丹气清正
afs_rt_暗,人,灵根·暗,灵根类型,暗,0.005,0.010,暗灵根善炼毒丹
afs_rt_天灵根,人,灵根·天灵根,灵根类型,天灵根,0.030,0.025,天灵根万中无一
afs_rt_先天五行全灵根,人,灵根·先天五行全灵根,灵根类型,先天五行全灵根,0.025,0.030,五行俱全百丹皆宜
afs_pa_毒师,法,道途·毒师,道途,毒师,0.030,0.025,毒师通药性最擅丹道
afs_pa_傀儡师,法,道途·傀儡师,道途,傀儡师,0.010,0.008,傀儡师擅控火候
afs_pa_道修,法,道途·道修,道途,道修,0.010,0.008,道修根基扎实
afs_pa_法修,法,道途·法修,道途,法修,0.005,0.005,法修术法通玄
afs_pa_符箓师,法,道途·符箓师,道途,符箓师,0.005,0.005,符箓师擅绘纹与丹纹相通
afs_pa_体修,法,道途·体修,道途,体修,0.000,0.000,体修不擅炼丹
afs_pa_御兽师,法,道途·御兽师,道途,御兽师,0.000,0.000,御兽师不擅炼丹
