array_id,array_name,array_type,rank,core_effect,eff_dim,eff_val_base,trigger,level_growth_coef,max_level,unlock_realm,unlock_sect_rank,match_element,people_required,cost_base,cost_growth,icon_path,description
arr_s_001,护山大阵,sect,treasure,抵御外敌降低宗门被入侵概率,入侵,-0.20,passive,0.01,10,,7,none,0,50,1.4,res://icon/array/arr_s_001.png,护山大阵宗门防御核心大幅降低被外敌入侵概率
arr_s_002,聚灵大阵,sect,treasure,汇聚灵气提升全宗弟子修炼速度,修炼,0.08,passive,0.005,10,,6,none,0,40,1.4,res://icon/array/arr_s_002.png,聚灵大阵凝练天地灵气全宗修炼速度提升
arr_s_003,镇煞安宗阵,sect,spirit,镇压心魔安定宗门气运,心魔,-0.30,passive,0.006,10,,5,none,0,30,1.35,res://icon/array/arr_s_003.png,镇煞安宗阵镇压心魔侵扰安定弟子道心
arr_s_004,玄空传送阵,sect,treasure,缩地成寸缩短秘境往返耗时,产出,-0.50,passive,0.005,10,,4,none,0,60,1.4,res://icon/array/arr_s_004.png,玄空传送阵空间传送秘境大幅缩短秘境探索往返
arr_p_001,五行聚灵阵,person,common,凝灵助修提升修炼速度,修炼,0.05,passive,0.01,10,练气,1,wood,1,5,1.3,res://icon/array/arr_p_001.png,五行聚灵阵单一弟子修炼速度小幅提升
arr_p_002,金锋御敌阵,person,common,强化攻防提升战力,攻,0.06,passive,0.01,10,练气,1,metal,1,5,1.3,res://icon/array/arr_p_002.png,金锋御敌阵提升弟子攻防
arr_p_003,玄龟守元阵,person,common,增强气血提升生存,血,0.06,passive,0.01,10,练气,1,water,1,5,1.3,res://icon/array/arr_p_003.png,玄龟守元阵提升弟子气血
arr_p_004,疾风掠影阵,person,common,提升身法速度,速,0.05,passive,0.008,10,筑基,2,fire,1,8,1.30,res://icon/array/arr_p_004.png,疾风掠影阵提升弟子身法
arr_p_005,太虚护体阵,person,spirit,生成护体真气等效护盾,血,0.10,passive,0.006,10,筑基,2,all_five,1,12,1.35,res://icon/array/arr_p_005.png,太虚护体阵护体真气等效护盾提升生存
arr_p_006,破妄锐金阵,person,spirit,提升暴击几率,攻,0.08,passive,0.006,10,金丹,3,metal,1,15,1.35,res://icon/array/arr_p_006.png,破妄锐金阵提升暴击
arr_p_007,迷踪幻影阵,person,spirit,提升闪避几率,速,0.08,passive,0.006,10,金丹,3,water,1,15,1.35,res://icon/array/arr_p_007.png,迷踪幻影阵提升闪避
arr_p_008,九转回春阵,person,treasure,战罢回复气血,血,0.10,post_battle,0.005,10,元婴,4,wood,1,20,1.4,res://icon/array/arr_p_008.png,九转回春阵战后回复气血
arr_p_009,灵泉涌动阵,person,treasure,战罢恢复灵气,灵气,0.10,post_battle,0.005,10,元婴,4,water,1,20,1.4,res://icon/array/arr_p_009.png,灵泉涌动阵战后恢复灵气
arr_p_010,周天混元阵,person,treasure,全面提升各项属性,攻,0.12,passive,0.005,10,化神,5,all_five,1,30,1.4,res://icon/array/arr_p_010.png,周天混元阵全面提升弟子属性
arr_t_001,两仪协攻阵,team,common,双人合击提升攻击,攻,0.08,passive,0.005,1,练气,2,fire_water,2,10,1.3,res://icon/array/arr_t_001.png,两仪协攻阵双人合击增强攻击
arr_t_002,三才守御阵,team,common,三人联防提升防御,防,0.08,passive,0.005,1,筑基,2,earth,3,12,1.3,res://icon/array/arr_t_002.png,三才守御阵三人联防增强防御
arr_t_003,四象聚灵阵,team,spirit,四人聚灵提升修炼,修炼,0.10,passive,0.005,1,金丹,3,all_five,4,18,1.35,res://icon/array/arr_t_003.png,四象聚灵阵四人聚灵提升修炼
arr_t_004,五岳镇魔阵,team,spirit,五人镇魔提升生存,血,0.10,passive,0.005,1,元婴,3,earth,5,20,1.35,res://icon/array/arr_t_004.png,五岳镇魔阵五人镇魔增强生存
arr_t_005,七星破阵,team,treasure,七人合力爆发攻击,攻,0.12,passive,0.005,1,化神,4,fire,7,30,1.4,res://icon/array/arr_t_005.png,七星破阵七人合力爆发
arr_t_006,周天同心阵,team,treasure,全队共鸣全面提升,攻,0.12,passive,0.005,1,炼虚,5,all_five,5,35,1.4,res://icon/array/arr_t_006.png,周天同心阵全队共鸣全面提升
