柱,组,系统名,图标,一句话,入口id
门下（人柱）,收徒育才,测灵招收,tab_disciple_36,测灵择徒，广纳良才,弟子
门下（人柱）,收徒育才,家族血脉,entry_family_36,婚配子嗣，传续香火,家族
门下（人柱）,收徒育才,护道人,entry_hudao_36,为亲传择护道，避意外折损,护道人
门下（人柱）,组织任免,堂口派遣,tab_building_36,派活于殿阁，令弟子产出生效,殿阁
门下（人柱）,组织任免,宗主详情,entry_master_36,宗主权责与自身修行,宗主
门下（人柱）,组织任免,宗主管理,entry_zongzhuguanli_36,任免堂主，调度宗门组织,宗主管理
门下（人柱）,血脉秘术,身外化身,entry_huashen_36,分神化形，另开修行一路,身外化身
门下（人柱）,血脉秘术,毒道,entry_dudao_36,毒医双修，生产与求生并进,毒道
门下（人柱）,血脉秘术,幻形,entry_huanxing_36,洞天换肤，宗门气象一新,幻形
门下（人柱）,荣誉规约,功勋,entry_gongxunbei_36,宗门功勋，兑取稀有资粮,功勋
门下（人柱）,荣誉规约,宗规,entry_zongmenguizhi_36,订立宗规，约束门风,宗规
门下（人柱）,荣誉规约,功绩堂,entry_gongjitang_36,记功叙绩，功成有赏,功绩堂
门下（人柱）,世代传承,祖师堂,entry_zushitang_36,先贤庇荫后人，世代之高潮,祖师堂
门下（人柱）,世代传承,飞升,entry_feisheng_36,飞升与转世，死非终点,飞升
征伐（战柱）,历练征讨,历练秘境,tab_explore_36,遣弟子外出，风险与回报并生,历练
征伐（战柱）,历练征讨,日常差事,entry_zongmenyaowu_36,每日差事，日日有所求,宗务
征伐（战柱）,历练征讨,宗门战,entry_zongmen_battle_36,对外扩张，争夺领地战功,宗门战
征伐（战柱）,机缘探秘,机缘总览,entry_qiyuan_36,跨系统通用资粮，一览可见,机缘
征伐（战柱）,机缘探秘,入山采撷,entry_ruishan_36,狩猎采药，取山林之利,入山采撷
征伐（战柱）,机缘探秘,探遗迹,entry_zhenfa_36,参悟古阵，寻访上古遗秘,探遗迹
征伐（战柱）,闲情竞技,闲情雅趣,entry_xianqing_36,七般雅趣总入口，随缘自到,闲情雅趣
征伐（战柱）,闲情竞技,论道棋弈,entry_lundao_36,手谈一局，于棋中悟道,论道棋弈
征伐（战柱）,闲情竞技,灵钓,entry_shoulie_36,单指收线，钓尽灵渊奇物,灵钓
征伐（战柱）,闲情竞技,卜算星盘,entry_sect_qi_36,夜观星象，推演天机运势,卜算星盘
百工（产柱）,炼制之道,丹方,entry_pill_formula_36,以材料炼丹药，直补道行,丹方
百工（产柱）,炼制之道,装备图纸,entry_equipment_blueprint_36,炼器成装备，投资可见,装备图纸
百工（产柱）,炼制之道,傀儡,entry_puppet_36,造傀儡代劳，另辟一路产出,傀儡
百工（产柱）,灵植豢养,药园,entry_herb_garden_36,躬耕灵田，栽育百草,药园
百工（产柱）,灵植豢养,灵兽,entry_beast_36,契约灵兽，助战征伐,灵兽
百工（产柱）,灵植豢养,饲灵育兽,entry_beast_36,饲育灵兽，结契约之缘,饲灵育兽
百工（产柱）,灵植豢养,药圃经营,entry_herb_garden_36,躬耕灵田，栽育百草,药圃经营
百工（产柱）,技艺典藏,藏书阁,entry_library_36,典籍功法，人人可参,藏书阁
百工（产柱）,技艺典藏,科技,entry_tech_36,奇技机巧，另开增益,科技
百工（产柱）,技艺典藏,风水堪舆,entry_fengshui_36,寻龙点穴，布局求长久,风水堪舆
百工（产柱）,技艺典藏,法宝,entry_treasure_36,重宝相承，如虎添翼,法宝
百工（产柱）,匠造余韵,灵酿,entry_lingniang_36,酝造灵酿，宴席增灵潮,灵酿
百工（产柱）,匠造余韵,音律,entry_yinlv_36,抚琴养性，宗主雅趣,音律
四方（世柱）,天下往来,天下舆图,entry_tianxia_36,宗门之外的山河舆图,天下
四方（世柱）,天下往来,传送阵,entry_teleport_36,远行各方，路遥不惧,传送阵
四方（世柱）,天下往来,商道,entry_fangshi_36,商队贸易，产出可变现,商道
四方（世柱）,交易流通,坊市,entry_fangshi_36,交易市场：出售收购回购,坊市
四方（世柱）,交易流通,拍卖行,entry_auction_36,价格博弈，争稀缺之物,拍卖行
四方（世柱）,交易流通,库藏,entry_kucang_36,产出沉淀，积累可见,库藏
四方（世柱）,世情录闻,凡人王朝,entry_dynasty_36,山下王朝，势力往来,凡人王朝
四方（世柱）,世情录闻,玄榜,entry_fengyunbang_36,同期宗门，知己知彼,玄榜
四方（世柱）,世情录闻,宗门典藏,entry_tujian_36,图鉴沉淀，收集之趣,宗门典藏
四方（世柱）,世情录闻,碎片宝箱,entry_fragment_chest_36,碎片收集，终有所归,碎片宝箱
四方（世柱）,世情录闻,灵讯,entry_feifuchuanxin_36,传音往还，宗门音信,灵讯
四方（世柱）,世情录闻,纪事,tab_chronicle_36,宗门史记，与自己造的历史,纪事
四方（世柱）,宗门气运,宗门气运,entry_sect_qi_36,气运流转，关乎复兴三衡,宗门气运
四方（世柱）,宗门气运,宗门时令,entry_activity_36,大典盛事，额外资粮,宗门时令
四方（世柱）,宗门气运,阵营声望,entry_faction_36,正魔中立，长线分支,阵营声望
四方（世柱）,宗门气运,日供,entry_qiandao_36,每日供奉，签而即领,日供
