level_min,level_max,pool_type,item_ref,ref_type,item_name,grade,weight,count_min,count_max,policy_multiplier
1,3,common,fabao,gen,残破铜镜,凡阶,100,1,1,1.0
1,3,rare,item_015,id,阵纹碎片,凡品,100,2,2,1.0
4,6,common,fabao,gen,残破铜镜,凡阶,50,1,1,1.0
4,6,common,item_015,id,阵纹碎片,凡品,50,5,5,1.0
4,6,rare,item_016,id,五行聚灵阵图,凡品,25,1,1,1.0
4,6,rare,item_017,id,金锋御敌阵图,凡品,25,1,1,1.0
4,6,rare,item_018,id,玄龟守元阵图,凡品,25,1,1,1.0
4,6,rare,item_019,id,疾风掠影阵图,凡品,25,1,1,1.0
7,7,common,item_015,id,阵纹碎片,凡品,50,12,12,1.0
7,7,rare,item_020,id,太虚护体阵图,灵品,34,1,1,1.0
7,7,rare,item_021,id,破妄锐金阵图,灵品,33,1,1,1.0
7,7,rare,item_022,id,迷踪幻影阵图,灵品,33,1,1,1.0
