drop_id,scene_name,unlock_realm,unlock_sect_level,item_id,item_name,item_grade,item_type,drop_weight,guarantee_count,daily_drop_limit,is_counted_in_balance
drop_train_01,普通野外历练-练气区,练气一层,1,mat_herb_001,凡品下品灵草,凡品下品,原材料,40,0,20,true
drop_train_01,普通野外历练-练气区,练气一层,1,mat_ore_001,凡品下品铁矿,凡品下品,原材料,30,0,15,true
drop_train_01,普通野外历练-练气区,练气一层,1,pill_qi_001,聚气丹,凡品中品,丹药,15,10,5,true
drop_train_01,普通野外历练-练气区,练气一层,1,equip_sword_001,青锋剑,凡品上品,武器,10,0,2,true
drop_train_01,普通野外历练-练气区,练气一层,1,mat_rare_001,灵晶碎片,凡品极品,稀有材料,5,20,1,true
drop_train_02,精英历练-筑基区,筑基初期,2,mat_herb_002,灵品下品灵草,灵品下品,原材料,35,0,30,true
drop_train_02,精英历练-筑基区,筑基初期,2,mat_ore_002,灵品下品玄铁,灵品下品,原材料,25,0,20,true
drop_train_02,精英历练-筑基区,筑基初期,2,pill_zhu_001,筑基丹,灵品中品,丹药,20,0,8,true
drop_train_02,精英历练-筑基区,筑基初期,2,equip_armor_002,玄灵甲,灵品上品,防具,15,20,3,true
drop_train_02,精英历练-筑基区,筑基初期,2,mat_rare_002,玄晶碎片,灵品极品,稀有材料,5,30,1,true
drop_secret_01,普通秘境-金丹秘境,金丹初期,3,mat_herb_003,宝品下品灵药,宝品下品,原材料,25,0,15,true
drop_secret_01,普通秘境-金丹秘境,金丹初期,3,mat_ore_003,宝品下品精金,宝品下品,原材料,20,0,10,true
drop_secret_01,普通秘境-金丹秘境,金丹初期,3,pill_jin_001,固金丹,宝品中品,丹药,25,0,5,true
drop_secret_01,普通秘境-金丹秘境,金丹初期,3,treasure_normal_001,玄金飞剑,宝品上品,普通法宝,20,10,2,true
drop_secret_01,普通秘境-金丹秘境,金丹初期,3,mat_rare_003,宝晶核心,宝品极品,稀有材料,10,15,1,true
drop_boss_01,秘境BOSS-元婴首领,元婴初期,4,mat_ore_004,王品下品王铁,王品下品,原材料,20,0,5,true
drop_boss_01,秘境BOSS-元婴首领,元婴初期,4,equip_set_piece_01,太虚套部件,王品中品,套装部件,30,0,2,true
drop_boss_01,秘境BOSS-元婴首领,元婴初期,4,treasure_innate_frag,本命法宝碎片,王品上品,稀有材料,35,10,1,true
drop_boss_01,秘境BOSS-元婴首领,元婴初期,4,mat_rare_004,王品极品灵核,王品极品,战略材料,15,20,1,true
