decree_id,decree_name,decree_type,difficulty,require_realm,require_power,duration_days,reward_gratitude,reward_lingshi,reward_merit,penalty_gratitude,penalty_loyalty,description
dd_relief1,赈灾·小,relief,1,练气,150,3,12,60,0,-12,-3,开仓放粮赈济灾民，可解郡县灾情
dd_relief2,赈灾·中,relief,2,筑基,400,4,18,120,0,-12,-3,开仓放粮赈济灾民，可解郡县灾情
dd_relief3,赈灾·大,relief,3,金丹,900,5,25,220,0,-12,-3,开仓放粮赈济灾民，可解郡县灾情
dd_purge1,除妖·小,purge,1,练气,150,3,10,40,12,-15,-5,清剿为祸一方的妖兽，需真刀真枪
dd_purge2,除妖·中,purge,2,筑基,400,4,15,90,20,-15,-5,清剿为祸一方的妖兽，需真刀真枪
dd_purge3,除妖·大,purge,3,金丹,900,5,20,180,35,-15,-5,清剿为祸一方的妖兽，需真刀真枪
dd_suppress1,平叛·小,suppress,1,练气,150,3,8,80,20,-20,-6,镇压叛军，成则国祚复振，败则朝堂问罪
dd_suppress2,平叛·中,suppress,2,筑基,400,4,14,160,35,-20,-6,镇压叛军，成则国祚复振，败则朝堂问罪
dd_suppress3,平叛·大,suppress,3,金丹,900,5,20,300,60,-20,-6,镇压叛军，成则国祚复振，败则朝堂问罪
dd_scout1,寻访灵根·小,scout,1,练气,150,3,6,30,0,-6,-2,于郡内寻访有灵根之孩童，可带回宗门
dd_scout2,寻访灵根·中,scout,2,筑基,400,4,10,60,0,-6,-2,于郡内寻访有灵根之孩童，可带回宗门
dd_scout3,寻访灵根·大,scout,3,金丹,900,5,15,120,0,-6,-2,于郡内寻访有灵根之孩童，可带回宗门
dd_escort1,护送·小,escort,1,练气,150,3,5,100,0,-14,-4,护送贡品或朝廷命官，途中多有不测
dd_escort2,护送·中,escort,2,筑基,400,4,9,200,0,-14,-4,护送贡品或朝廷命官，途中多有不测
dd_escort3,护送·大,escort,3,金丹,900,5,14,380,0,-14,-4,护送贡品或朝廷命官，途中多有不测
dd_regent1,监国·小,regent,1,练气,150,3,15,120,0,-25,-8,坐镇一郡稳定局势，位高责重，反噬亦烈
dd_regent2,监国·中,regent,2,筑基,400,4,22,240,0,-25,-8,坐镇一郡稳定局势，位高责重，反噬亦烈
dd_regent3,监国·大,regent,3,金丹,900,5,30,450,0,-25,-8,坐镇一郡稳定局势，位高责重，反噬亦烈
