omen_id,omen_name,omen_type,weight,scope,effect_type,effect_value,text,description
om_rain,甘霖普降,auspicious,10,single_county,county_disaster,-2,{郡}久旱逢甘霖，田畴复苏，灾情稍解。,该郡灾情-2
om_snow,瑞雪兆丰,auspicious,10,single_county,county_gratitude,4,{郡}冬降瑞雪，老农相贺：「来年必丰。」民心归附。,该郡感恩+4
om_light,灵光现世,auspicious,6,single_county,talent_hunt,1,{郡}夜半有灵光冲霄，乡人以为仙迹，宗门顺势往寻灵根。,该郡触发一次寻访灵根
om_volunteer,义民投效,auspicious,8,single_county,county_loyalty,5,{郡}有义民数百自携干粮来投，愿为宗门效犬马之劳。,该郡忠顺+5
om_caravan,商旅称颂,auspicious,9,sect,sect_repute,3,往来商旅传颂宗门护道之恩，商路声望稍涨。,商路声望+3
om_harvest,五谷丰登,auspicious,9,single_county,county_gratitude,3,{郡}夏秋两熟俱丰，仓廪充实，百姓感念宗门庇佑。,该郡感恩+3
om_peace,海内升平,auspicious,5,dynasty,dynasty_morale,3,境内安堵，夜不闭户，天子闻之龙颜大悦，民心稍安。,王朝民心+3
om_official,贤吏赴任,auspicious,7,single_county,county_loyalty,4,{郡}新任郡守清正自守，开仓济贫，百姓颂声载道。,该郡忠顺+4
om_dew,天降甘露,auspicious,5,sect,sect_incense,12,宗门灵田普降甘露，香火鼎盛，信众倍增。,香火+12
om_qilin,麒麟送子,auspicious,3,single_county,talent_hunt,1,{郡}有麒麟踏云而过，当有异才降世——此子必入我宗门。,该郡触发一次寻访灵根（高规格）
om_refugee,流民过境,neutral,8,single_county,county_disaster,1,{郡}有流民结队过境，官府赈济不及，地方稍显疲敝。,该郡灾情+1
om_market,边商互市,neutral,8,sect,sect_repute,2,边地开放互市，百货云集，商贾与宗门多有往来。,商路声望+2
om_fangshi,方士献书,neutral,7,dynasty,dynasty_longevity,1,有方士诣阙献养生之书，天子信之，朝政稍弛。,王朝国祚+1
om_shouyi,郡守更易,neutral,7,single_county,county_loyalty,-2,{郡}郡守调任，新官未至，地方人心浮动。,该郡忠顺-2
om_river,河道改道,neutral,6,single_county,county_disaster,1,{郡}河道改道，良田变泽，乡民踟蹰无措。,该郡灾情+1
om_beast,异兽现踪,neutral,6,single_county,county_gratitude,1,{郡}山中现异兽，噬畜伤人，乡民求告于宗门。,该郡感恩+1（求助）
om_locust,蝗螟蔽日,ominous,7,single_county,county_disaster,2,{郡}蝗螟蔽日，禾稼尽秃，饿殍载道。,该郡灾情+2
om_quake,地动山摇,ominous,5,single_county,county_disaster,2,{郡}地动有声，屋舍倾颓，死者相枕。,该郡灾情+2
om_yaoqi,妖氛弥漫,ominous,7,single_county,county_loyalty,-3,{郡}妖氛弥漫，夜有哭声，百姓迁避一空。,该郡忠顺-3
om_famine,饥馑荐臻,ominous,6,dynasty,dynasty_morale,-3,连年歉收，饿殍遍野，民怨渐起。,王朝民心-3
om_grudge,民怨沸腾,ominous,6,dynasty,dynasty_morale,-2,苛政久行，民怨腾于道路，官长闭门不敢出。,王朝民心-2
om_annex,豪强兼并,ominous,6,single_county,county_gratitude,-3,{郡}豪强兼并田产，小民失所，怨声载道。,该郡感恩-3
