阶,key,中文名,类型,数值下限,数值上限
灵阶,zhan_ling,灵锐战意,战力,10,30
灵阶,xiu_ling,灵犀悟性,修炼,0.05,0.12
宝阶,zhan_bao,宝光护体,战力,30,80
宝阶,xiu_bao,宝体通玄,修炼,0.08,0.15
宝阶,tupo_bao,宝丹破障,突破,0.02,0.05
王阶,zhan_wang,王者之气,战力,80,200
王阶,xiu_wang,王道真解,修炼,0.10,0.20
王阶,tupo_wang,王图霸业,突破,0.03,0.07
圣阶,zhan_sheng,圣威浩荡,战力,150,350
圣阶,xiu_sheng,圣心通明,修炼,0.12,0.22
圣阶,tupo_sheng,圣道无疆,突破,0.04,0.08
仙阶,zhan_xian,仙姿绝世,战力,300,600
仙阶,xiu_xian,仙灵悟道,修炼,0.15,0.28
仙阶,tupo_xian,仙缘天成,突破,0.05,0.10
道阶,zhan_dao,道威盖世,战力,600,1200
道阶,xiu_dao,道法自然,修炼,0.18,0.35
道阶,tupo_dao,道心通玄,突破,0.06,0.12
