blueprint_id,blueprint_name,grade,sub_grade,target_equip_id,unlock_condition,craft_cost,sell_price
bp_001,凡阶下品装备图纸,凡阶,下品,eq_001,器殿1级解锁,300,3
bp_002,凡阶中品装备图纸,凡阶,中品,eq_002,器殿1级解锁,360,4
bp_003,凡阶上品装备图纸,凡阶,上品,eq_003,器殿1级解锁,430,7
bp_004,灵阶下品装备图纸,灵阶,下品,eq_007,器殿2级解锁,600,24
bp_005,灵阶中品装备图纸,灵阶,中品,eq_008,器殿2级解锁,720,36
bp_006,灵阶上品装备图纸,灵阶,上品,eq_009,器殿2级解锁,860,54
bp_007,宝阶下品装备图纸,宝阶,下品,eq_013,器殿3级解锁,1200,90
bp_008,宝阶中品装备图纸,宝阶,中品,eq_014,器殿3级解锁,1440,132
bp_009,宝阶上品装备图纸,宝阶,上品,eq_015,器殿3级解锁,1730,192
bp_010,王阶下品装备图纸,王阶,下品,eq_019,器殿4级解锁,2400,420
bp_011,王阶中品装备图纸,王阶,中品,eq_020,器殿4级解锁,2880,600
bp_012,王阶上品装备图纸,王阶,上品,eq_021,器殿4级解锁,3460,900
bp_013,圣阶下品装备图纸,圣阶,下品,eq_025,器殿5级解锁,4800,2100
bp_014,圣阶中品装备图纸,圣阶,中品,eq_026,器殿5级解锁,5760,3000
bp_015,圣阶上品装备图纸,圣阶,上品,eq_027,器殿5级解锁,6910,4200
bp_016,仙阶下品装备图纸,仙阶,下品,eq_031,器殿6级解锁,9600,9000
bp_017,仙阶中品装备图纸,仙阶,中品,eq_032,器殿6级解锁,11520,13200
bp_018,道阶下品装备图纸,道阶,下品,eq_038,器殿7级解锁,19200,42000
bp_019,道阶中品装备图纸,道阶,中品,eq_039,器殿7级解锁,23040,60000
