equip_id,equip_name,grade,sub_grade,equip_slot,apply_class,base_atk,base_def,base_hp,base_durability,repair_material,sell_price
eq_001,凡品下品武器,凡品,下品,武器,通用,20,20,40,20,精铁×2,5
eq_002,凡品中品法袍,凡品,中品,法袍,体修,19,26,52,26,精铁×2,8
eq_003,凡品上品头盔,凡品,上品,头盔,道修,34,25,51,34,精铁×2,12
eq_004,凡品极品护腕,凡品,极品,护腕,法修,33,33,66,44,精铁×2,18
eq_005,凡品下品腰带,凡品,下品,腰带,通用,20,20,40,20,精铁×2,5
eq_006,凡品中品靴子,凡品,中品,靴子,体修,19,26,52,26,精铁×2,8
eq_007,灵品下品法袍,灵品,下品,法袍,体修,39,52,104,52,玄铁×3,40
eq_008,灵品中品头盔,灵品,中品,头盔,道修,68,51,102,68,玄铁×3,60
eq_009,灵品上品护腕,灵品,上品,护腕,法修,66,66,132,88,玄铁×3,90
eq_010,灵品极品腰带,灵品,极品,腰带,通用,114,114,228,114,玄铁×3,130
eq_011,灵品下品靴子,灵品,下品,靴子,体修,39,52,104,52,玄铁×3,40
eq_012,灵品中品饰品,灵品,中品,饰品,道修,68,51,102,68,玄铁×3,60
eq_013,宝品下品头盔,宝品,下品,头盔,道修,140,105,210,140,灵晶×4,150
eq_014,宝品中品护腕,宝品,中品,护腕,法修,136,136,273,182,灵晶×4,220
eq_015,宝品上品腰带,宝品,上品,腰带,通用,236,236,472,236,灵晶×4,320
eq_016,宝品极品靴子,宝品,极品,靴子,体修,229,306,612,306,灵晶×4,450
eq_017,宝品下品饰品,宝品,下品,饰品,道修,140,105,210,140,灵晶×4,150
eq_018,宝品中品武器,宝品,中品,武器,法修,136,136,273,182,灵晶×4,220
eq_019,王品下品护腕,王品,下品,护腕,法修,285,285,570,380,灵髓×5,700
eq_020,王品中品腰带,王品,中品,腰带,通用,494,494,988,494,灵髓×5,1000
eq_021,王品上品靴子,王品,上品,靴子,体修,481,642,1284,642,灵髓×5,1500
eq_022,王品极品饰品,王品,极品,饰品,道修,834,625,1251,834,灵髓×5,2200
eq_023,王品下品武器,王品,下品,武器,法修,285,285,570,380,灵髓×5,700
eq_024,王品中品法袍,王品,中品,法袍,通用,494,494,988,494,灵髓×5,1000
eq_025,圣品下品腰带,圣品,下品,腰带,通用,1080,1080,2160,1080,圣晶×6,3500
eq_026,圣品中品靴子,圣品,中品,靴子,体修,1053,1404,2808,1404,圣晶×6,5000
eq_027,圣品上品饰品,圣品,上品,饰品,道修,1826,1369,2739,1826,圣晶×6,7000
eq_028,圣品极品武器,圣品,极品,武器,法修,1780,1780,3561,2374,圣晶×6,10000
eq_029,圣品下品法袍,圣品,下品,法袍,通用,1080,1080,2160,1080,圣晶×6,3500
eq_030,圣品中品头盔,圣品,中品,头盔,体修,1053,1404,2808,1404,圣晶×6,5000
eq_031,真品下品靴子,真品,下品,靴子,体修,2314,3086,6172,3086,道晶×7,15000
eq_032,真品中品饰品,真品,中品,饰品,道修,4012,3009,6018,4012,道晶×7,22000
eq_033,真品上品武器,真品,上品,武器,法修,3912,3912,7824,5216,道晶×7,32000
eq_034,真品极品法袍,真品,极品,法袍,通用,6780,6780,13560,6780,道晶×7,46000
eq_035,真品下品头盔,真品,下品,头盔,体修,2314,3086,6172,3086,道晶×7,15000
eq_036,真品中品护腕,真品,中品,护腕,道修,4012,3009,6018,4012,道晶×7,22000
eq_037,真品上品腰带,真品,上品,腰带,法修,3912,3912,7824,5216,道晶×7,32000
eq_038,道品下品饰品,道品,下品,饰品,道修,8814,6610,13221,8814,道则核心×8,70000
eq_039,道品中品武器,道品,中品,武器,法修,8595,8595,17190,11460,道则核心×8,100000
eq_040,道品上品法袍,道品,上品,法袍,通用,14898,14898,29796,14898,道则核心×8,150000
eq_041,道品极品头盔,道品,极品,头盔,体修,14526,19368,38736,19368,道则核心×8,220000
eq_042,道品下品护腕,道品,下品,护腕,道修,8814,6610,13221,8814,道则核心×8,70000
eq_043,道品中品腰带,道品,中品,腰带,法修,8595,8595,17190,11460,道则核心×8,100000
eq_044,道品上品靴子,道品,上品,靴子,通用,14898,14898,29796,14898,道则核心×8,150000
eq_045,凡品下品法宝,凡品,下品,法宝,通用,20,20,40,20,精铁×2,5
