set_id,set_name,grade,sub_grade,apply_class,set_2pc_effect,set_2pc_value,set_4pc_effect,set_4pc_value
set_001_下品,青锋套,凡品,下品,全道途通用,攻击,2.5%,气血,4.2%
set_001_中品,青锋套,凡品,中品,全道途通用,攻击,3.0%,气血,5.0%
set_001_上品,青锋套,凡品,上品,全道途通用,攻击,3.4%,气血,5.8%
set_001_极品,青锋套,凡品,极品,全道途通用,攻击,3.9%,气血,6.5%
set_002_下品,玄灵套,灵品,下品,全道途通用,全属性,3.4%,减伤,4.2%
set_002_中品,玄灵套,灵品,中品,全道途通用,全属性,4.0%,减伤,5.0%
set_002_上品,玄灵套,灵品,上品,全道途通用,全属性,4.6%,减伤,5.8%
set_002_极品,玄灵套,灵品,极品,全道途通用,全属性,5.2%,减伤,6.5%
set_003_下品,玄金套,宝品,下品,道修,攻击,6.8%,暴击+单体伤害,4.2%+6.0%
set_003_中品,玄金套,宝品,中品,道修,攻击,8.0%,暴击+单体伤害,5.0%+7.0%
set_003_上品,玄金套,宝品,上品,道修,攻击,9.2%,暴击+单体伤害,5.8%+8.0%
set_003_极品,玄金套,宝品,极品,道修,攻击,10.4%,暴击+单体伤害,6.5%+9.1%
set_004_下品,裂山套,宝品,下品,体修,气血,10.2%,破甲+反击,6.8%+6.0%
set_004_中品,裂山套,宝品,中品,体修,气血,12.0%,破甲+反击,8.0%+7.0%
set_004_上品,裂山套,宝品,上品,体修,气血,13.8%,破甲+反击,9.2%+8.0%
set_004_极品,裂山套,宝品,极品,体修,气血,15.6%,破甲+反击,10.4%+9.1%
set_005_下品,紫焰套,宝品,下品,法修,法伤,6.8%,暴伤+灼烧,10.2%
set_005_中品,紫焰套,宝品,中品,法修,法伤,8.0%,暴伤+灼烧,12.0%
set_005_上品,紫焰套,宝品,上品,法修,法伤,9.2%,暴伤+灼烧,13.8%
set_005_极品,紫焰套,宝品,极品,法修,法伤,10.4%,暴伤+灼烧,15.6%
set_006_下品,太虚套,王品,下品,道修,灵力,12.8%,群伤+冷却缩减,8.5%+6.0%
set_006_中品,太虚套,王品,中品,道修,灵力,15.0%,群伤+冷却缩减,10.0%+7.0%
set_006_上品,太虚套,王品,上品,道修,灵力,17.2%,群伤+冷却缩减,11.5%+8.0%
set_006_极品,太虚套,王品,极品,道修,灵力,19.5%,群伤+冷却缩减,13.0%+9.1%
set_007_下品,破军套,王品,下品,体修,气血,17.0%,减伤+受击回血,6.8%
set_007_中品,破军套,王品,中品,体修,气血,20.0%,减伤+受击回血,8.0%
set_007_上品,破军套,王品,上品,体修,气血,23.0%,减伤+受击回血,9.2%
set_007_极品,破军套,王品,极品,体修,气血,26.0%,减伤+受击回血,10.4%
set_008_下品,玄冥套,王品,下品,法修,水系伤害,12.8%,减速+冰冻概率,4.2%
set_008_中品,玄冥套,王品,中品,法修,水系伤害,15.0%,减速+冰冻概率,5.0%
set_008_上品,玄冥套,王品,上品,法修,水系伤害,17.2%,减速+冰冻概率,5.8%
set_008_极品,玄冥套,王品,极品,法修,水系伤害,19.5%,减速+冰冻概率,6.5%
set_009_下品,玄黄套,王品,下品,全道途通用,气血,18.7%,全队减伤+突破加成,7.6%
set_009_中品,玄黄套,王品,中品,全道途通用,气血,22.0%,全队减伤+突破加成,9.0%
set_009_上品,玄黄套,王品,上品,全道途通用,气血,25.3%,全队减伤+突破加成,10.3%
set_009_极品,玄黄套,王品,极品,全道途通用,气血,28.6%,全队减伤+突破加成,11.7%
