faction_id,faction_name,reputation_level,need_reputation,global_buff_1,global_buff_2,unlock_content,shop_unlock_grade
fz_zhengdao,正道宗门,中立,0,无,无,无,0
fz_zhengdao,正道宗门,友善,1000,正道弟子好感,无,初级坊市,1
fz_zhengdao,正道宗门,尊敬,3000,正道弟子好感,正道功法折扣,中级坊市+专属任务,2
fz_zhengdao,正道宗门,崇敬,8000,正道弟子好感,正道功法折扣,高级坊市+阵法权限,3
fz_zhengdao,正道宗门,崇拜,20000,正道弟子好感,正道功法折扣,至臻坊市+秘传,4
fz_zhongli,中立散修,中立,0,无,无,无,0
fz_zhongli,中立散修,友善,1000,散修情报网,无,初级坊市,1
fz_zhongli,中立散修,尊敬,3000,散修情报网,材料市集折扣,中级坊市+专属任务,2
fz_zhongli,中立散修,崇敬,8000,散修情报网,材料市集折扣,高级坊市+阵法权限,3
fz_zhongli,中立散修,崇拜,20000,散修情报网,材料市集折扣,至臻坊市+秘传,4
fz_mo,魔道邪宗,中立,0,无,无,无,0
fz_mo,魔道邪宗,友善,1000,魔道功法加成,无,初级坊市,1
fz_mo,魔道邪宗,尊敬,3000,魔道功法加成,煞气抗性,中级坊市+专属任务,2
fz_mo,魔道邪宗,崇敬,8000,魔道功法加成,煞气抗性,高级坊市+阵法权限,3
fz_mo,魔道邪宗,崇拜,20000,魔道功法加成,煞气抗性,至臻坊市+秘传,4
fz_yaozu,上古妖兽族群,中立,0,无,无,无,0
fz_yaozu,上古妖兽族群,友善,1000,妖兽亲和,无,初级坊市,1
fz_yaozu,上古妖兽族群,尊敬,3000,妖兽亲和,精血产出,中级坊市+专属任务,2
fz_yaozu,上古妖兽族群,崇敬,8000,妖兽亲和,精血产出,高级坊市+阵法权限,3
fz_yaozu,上古妖兽族群,崇拜,20000,妖兽亲和,精血产出,至臻坊市+秘传,4
fz_danqi,丹器师公会,中立,0,无,无,无,0
fz_danqi,丹器师公会,友善,1000,丹器成功率,无,初级坊市,1
fz_danqi,丹器师公会,尊敬,3000,丹器成功率,专属图纸,中级坊市+专属任务,2
fz_danqi,丹器师公会,崇敬,8000,丹器成功率,专属图纸,高级坊市+阵法权限,3
fz_danqi,丹器师公会,崇拜,20000,丹器成功率,专属图纸,至臻坊市+秘传,4
