bait_id,名称,类别,描述,灵材消耗,稀有加成,特定鱼类加成,目标品阶加成
b0,凡俗饵,无,寻常饵料，凡俗之物，无增益,0,0.0,,
b1,聚灵香饵,引灵,以灵草炼香，引聚游鱼，增灵鱼咬钩,2,0.15,灵鱼,灵阶
b2,聚宝凝香饵,聚宝,聚天地宝气，招奇巧之物近前,3,0.20,奇巧,宝阶
b3,五行调和饵,五行,调和五行之气，应五行之鱼，稀属易现,2,0.10,五行对应,
b4,宁神静心饵,稳绪,宁神静气，稳心绪，降跑鱼之险,2,0.10,,
b5,探渊寻幽饵,重渊,以深渊灵材炼制，探深渊秘匣，机缘所钟,4,0.30,秘匣,王阶
b6,龙涎引龙饵,引龙,以蛟龙涎香炼制，专招龙族灵鱼,5,0.25,龙族,宝阶
b7,凤血引凤饵,引凤,以凤凰精血炼制，专招凤族灵鱼,5,0.25,凤族,宝阶
b8,北冥寒鲲饵,引鲲,以北冥寒气炼制，专招鲲类巨鱼,6,0.30,鲲类,王阶
b9,鲛人泣珠饵,引鲛,以鲛人泣泪炼制，专招深海鲛人,6,0.30,鲛人,王阶
b10,瑶池聚仙饵,聚仙,以瑶池仙材炼制，招引仙界灵物,8,0.40,仙鱼,圣阶
b11,混沌先天饵,混沌,混沌初开之饵，招引先天灵物,10,0.50,混沌,仙阶
b12,玄武镇水饵,引玄,以玄武之气炼制，招引龟鳖之属,5,0.25,玄武,圣阶
b13,麒麟祥瑞饵,引瑞,以麒麟瑞气炼制，招引瑞兽之鱼,5,0.25,麒麟,圣阶
b14,四象调和饵,四象,聚四象灵气，招引神兽之鱼,8,0.35,四象,圣阶
