catch_id,名称,分层,品阶,五行,灵韵,重量区间_低,重量区间_高,长度区间_低,长度区间_高,钓获难度,描述,用途,掉落权重,最低钓具阶,最低钓道境界,所需灵渊,所需灵饵,累计钓获解锁,特殊条件
c001,青鳞鲤,灵鱼,凡阶,水,8,1,5,0.5,1.5,2,灵池常见之鲤，肉质鲜嫩涵灵,入膳·炼丹辅料,30,0,0,0,凡俗饵,0,
c002,银须鲫,灵鱼,凡阶,水,5,0.5,4,0.4,1.2,1,凡俗淡水灵鱼，须泛银光,入膳,25,0,0,0,凡俗饵,0,
c003,碧眼鲢,灵鱼,灵阶,木,15,2,8,0.6,2.0,3,木属灵鱼，涵养生机,炼丹·入膳,12,0,0,0,凡俗饵,0,
c004,赤鳞鲤,灵鱼,灵阶,火,18,2,9,0.6,2.2,4,火属灵鲤，温养气血,炼丹·入膳,10,0,0,0,凡俗饵,0,
c005,朽木沉钩,浊物,凡阶,无,0,0.5,3,0.3,0.8,1,腐朽渔具，几无价值,回收灵材,35,0,0,0,凡俗饵,0,
c006,浊泥蚌,浊物,凡阶,土,2,1,4,0.4,1.0,2,浊水泥蚌，壳可磨粉,灵材废料,30,0,0,0,凡俗饵,0,
c007,锈铁卵,浊物,凡阶,金,1,0.5,2,0.2,0.6,1,锈铁凝卵，弃之无妨,回收,25,0,0,0,凡俗饵,0,
c008,琉璃浮盏,奇巧,灵阶,水,0,0.3,0.5,0.3,0.5,5,上古沉盏，莹润如玉,收藏,12,1,0,0,凡俗饵,0,
c009,龙涎石,奇巧,宝阶,水,0,0.5,1.2,0.4,0.7,6,龙涎凝石，奇香绕梁,收藏·奇物,6,2,1,1,聚灵香饵,0,
c010,灵渊秘匣,秘匣,宝阶,无,0,1,2,0.8,1.2,8,秘匣藏珍，需机缘开启,开启得灵材,1.5,0,1,1,聚灵香饵,0,
c011,黑鳞鲫,灵鱼,凡阶,水,6,0.5,3,0.3,1.0,1,黑鳞淡水灵鱼，性猛好斗,入膳,20,0,0,0,凡俗饵,0,
c012,金草鱼,灵鱼,凡阶,木,7,1,4,0.5,1.5,2,金鳞草鱼，涵木属灵气,入膳·炼丹辅料,18,0,0,0,凡俗饵,0,
c013,土鲶鱼,灵鱼,凡阶,土,5,1,5,0.6,1.8,2,土属鲶鱼，肉质肥厚,入膳,18,0,0,0,凡俗饵,0,
c014,火鲈,灵鱼,凡阶,火,8,0.8,3,0.4,1.2,2,火属鲈鱼，性烈,入膳·炼丹辅料,15,0,0,0,凡俗饵,0,
c015,金鳜,灵鱼,凡阶,金,9,1,4,0.5,1.5,3,金鳞鳜鱼，肉质鲜美,入膳,12,0,0,0,凡俗饵,0,
c016,玄鲤,灵鱼,灵阶,水,20,2,8,0.8,2.5,4,玄色灵鲤，涵深水之灵,炼丹·入膳,10,0,0,0,凡俗饵,0,
c017,灵鳗,灵鱼,灵阶,水,22,1,6,1.0,3.0,4,灵鳗修长，游走如电,炼丹·炼器辅料,8,1,0,0,凡俗饵,0,
c018,灵鳝,灵鱼,灵阶,土,18,0.8,4,0.8,2.5,3,土属灵鳝，钻泥而行,炼丹·入膳,10,0,0,0,凡俗饵,0,
c019,灵鳅,灵鱼,灵阶,水,15,0.5,2,0.3,1.0,2,小巧灵鳅，灵动异常,炼丹辅料,12,0,0,0,凡俗饵,0,
c020,玉鳞鲤,灵鱼,灵阶,金,25,2,7,0.7,2.0,5,玉色鳞片，温润如玉,炼丹·收藏,6,1,0,0,凡俗饵,0,
c021,龙鲤,灵鱼,宝阶,水,40,3,10,1.0,3.0,6,龙血之鲤，鳞泛龙纹,炼丹·炼器·收藏,4,1,1,1,聚灵香饵,0,龙气汇聚之地
c022,凤鲤,灵鱼,宝阶,火,42,3,9,1.0,2.8,6,凤血之鲤，尾如烈焰,炼丹·炼器·收藏,4,1,1,1,聚灵香饵,0,烈焰灵渊
c023,玄龟,灵鱼,宝阶,水,50,5,15,0.8,2.0,7,千年玄龟，寿元悠长,炼丹·炼器·卜算,3,2,1,1,聚灵香饵,0,
c024,灵鳖,灵鱼,宝阶,土,35,3,10,0.6,1.5,5,土属灵鳖，甲坚如石,炼丹·炼器,5,1,1,1,聚灵香饵,0,
c025,金鳞龙鲤,灵鱼,宝阶,金,45,4,12,1.2,3.5,7,金鳞龙鲤，贵气逼人,炼丹·炼器·收藏,3,2,1,1,聚灵香饵,0,
c026,蛟龙幼崽,灵鱼,王阶,水,80,10,30,2.0,5.0,9,蛟龙幼崽，已具龙形,炼丹·炼器·收藏·契约,1.5,2,2,2,聚灵香饵,100,雷雨天气
c027,鲲鹏幼崽,灵鱼,王阶,水,85,15,40,3.0,8.0,10,鲲鹏幼崽，化鱼之形,炼丹·炼器·收藏·契约,1.0,3,2,2,聚灵香饵,100,潮汐之时
c028,鲛人,灵鱼,王阶,水,75,8,20,1.5,4.0,8,深海鲛人，泣泪成珠,收藏·契约·特殊,1.2,2,2,2,聚灵香饵,100,月满之夜
c029,玄龙幼崽,灵鱼,王阶,水,90,12,35,2.5,6.0,10,玄龙幼崽，黑龙之血,炼丹·炼器·收藏·契约,0.8,3,2,2,聚灵香饵,100,
c030,灵鲲,灵鱼,王阶,水,88,20,50,4.0,10.0,10,灵鲲之大，不知几千里,炼丹·炼器·收藏,0.5,3,2,2,聚灵香饵,100,
c031,真龙幼崽,灵鱼,圣阶,水,150,20,60,3.0,8.0,12,真龙幼崽，五爪金龙,炼丹·炼器·收藏·契约,0.3,3,3,3,聚宝凝香饵,500,九九重阳
c032,神鲲,灵鱼,圣阶,水,160,30,80,5.0,15.0,12,神鲲化鹏，扶摇九天,炼丹·炼器·收藏,0.2,3,3,3,聚宝凝香饵,500,北冥寒潮
c033,天鲛,灵鱼,圣阶,水,140,10,30,2.0,5.0,11,天界鲛人，歌动九天,收藏·契约·特殊,0.3,3,3,3,聚宝凝香饵,500,天界裂隙
c034,仙鲤,灵鱼,仙阶,水,200,15,50,2.5,7.0,15,仙界之鲤，跃过龙门,炼丹·炼器·收藏·飞升,0.1,3,4,3,瑶池聚仙饵,1000,连续钓鱼30日+机缘
c035,天龙,灵鱼,仙阶,水,250,30,100,5.0,20.0,18,天龙降世，万灵朝拜,炼丹·炼器·收藏·飞升,0.05,3,4,3,瑶池聚仙饵,1000,连续钓鱼30日+机缘
c036,破渔网,浊物,凡阶,无,0,0.2,1,0.5,2.0,1,破旧渔网，几无价值,回收灵材,20,0,0,0,凡俗饵,0,
c037,烂水草,浊物,凡阶,木,1,0.1,0.5,0.2,1.0,1,腐烂水草，可作肥料,灵材废料,25,0,0,0,凡俗饵,0,
c038,碎瓷片,浊物,凡阶,金,0,0.1,0.3,0.2,0.5,1,碎瓷残片，弃之无妨,回收,20,0,0,0,凡俗饵,0,
c039,夜明珠,奇巧,宝阶,水,0,0.3,0.8,0.3,0.8,7,深海夜明珠，光华夺目,收藏·炼器,3,2,1,1,聚灵香饵,0,
c040,珊瑚树,奇巧,宝阶,木,0,0.5,1.5,0.5,2.0,6,千年珊瑚树，赤红如血,收藏·炼丹,4,1,1,1,聚灵香饵,0,
c041,鲛人泪,奇巧,王阶,水,0,0.1,0.3,0.1,0.3,9,鲛人泣泪，凝结成珠,收藏·炼丹·特殊,1,2,2,2,聚灵香饵,100,
c042,龙涎香,奇巧,圣阶,水,0,0.2,0.5,0.2,0.5,12,真龙涎香，奇香绝世,收藏·炼丹·特殊,0.5,3,3,3,聚宝凝香饵,250,连续钓鱼7日
c043,上古宝箱,秘匣,王阶,无,0,2,5,1.5,3.0,10,上古宝箱，封印未解,开启得灵材·功法,0.8,2,2,2,聚灵香饵,100,
c044,龙宫遗宝,秘匣,圣阶,水,0,3,8,2.0,4.0,14,龙宫遗宝，灵气冲天,开启得仙材·法宝,0.3,3,3,3,聚宝凝香饵,250,连续钓鱼7日
c045,应龙幼崽,灵鱼,圣阶,水,155,18,50,3.0,8.0,13,应龙幼崽，生有双翼,炼丹·炼器·收藏·契约,0.25,3,3,3,聚宝凝香饵,500,风雷交加
c046,烛龙幼崽,灵鱼,圣阶,火,165,20,55,3.5,9.0,14,烛龙幼崽，睁眼为昼,炼丹·炼器·收藏·契约,0.2,3,3,3,聚宝凝香饵,500,极昼之时
c047,凤凰鱼,灵鱼,圣阶,火,145,12,35,2.0,6.0,12,凤凰之鱼，尾如烈焰,炼丹·炼器·收藏·涅槃,0.3,3,3,3,聚宝凝香饵,500,火山灵渊
c048,麒麟鱼,灵鱼,圣阶,土,150,15,40,2.5,7.0,13,麒麟之鱼，仁兽之兆,炼丹·炼器·收藏·祥瑞,0.25,3,3,3,聚宝凝香饵,500,祥瑞降临
c049,玄武幼崽,灵鱼,圣阶,水,170,25,60,2.0,5.0,14,玄武幼崽，龟蛇合体,炼丹·炼器·收藏·契约·卜算,0.15,3,3,3,聚宝凝香饵,500,极寒之地
c050,白虎鱼,灵鱼,圣阶,金,148,14,38,2.2,6.5,12,白虎之鱼，杀伐之气,炼丹·炼器·收藏·战斗,0.3,3,3,3,聚宝凝香饵,500,杀伐之气
c051,朱雀鱼,灵鱼,圣阶,火,152,13,36,2.0,6.0,12,朱雀之鱼，浴火重生,炼丹·炼器·收藏·涅槃,0.28,3,3,3,聚宝凝香饵,500,浴火之地
c052,青龙鱼,灵鱼,圣阶,木,158,16,45,3.0,8.0,13,青龙之鱼，东方神兽,炼丹·炼器·收藏·契约,0.22,3,3,3,聚宝凝香饵,500,春雷初响
c053,应龙,灵鱼,仙阶,水,220,40,120,6.0,15.0,20,应龙真身，生翼飞龙,炼丹·炼器·收藏·飞升·契约,0.03,3,4,3,瑶池聚仙饵,1000,飞龙在天
c054,烛龙,灵鱼,仙阶,火,240,50,150,8.0,20.0,22,烛龙真身，执掌昼夜,炼丹·炼器·收藏·飞升·契约,0.02,3,4,3,瑶池聚仙饵,1000,执掌昼夜
c055,鲲鹏真身,灵鱼,仙阶,水,260,80,200,10.0,30.0,25,鲲鹏真身，化鱼为鹏,炼丹·炼器·收藏·飞升,0.01,3,4,3,瑶池聚仙饵,1000,化鹏之时
c056,天鲛皇,灵鱼,仙阶,水,210,15,40,3.0,7.0,18,天鲛之皇，歌动九天,收藏·契约·飞升·特殊,0.04,3,4,3,瑶池聚仙饵,1000,鲛人族祭
c057,蓬莱仙鲤,灵鱼,仙阶,水,230,20,60,4.0,10.0,19,蓬莱仙鲤，仙山灵物,炼丹·炼器·收藏·飞升,0.03,3,4,3,瑶池聚仙饵,1000,蓬莱仙山现世
c058,瑶池仙鱼,灵鱼,仙阶,水,225,18,55,3.5,9.0,18,瑶池仙鱼，王母灵物,炼丹·收藏·飞升·特殊,0.03,3,4,3,瑶池聚仙饵,1000,蟠桃盛会
c059,北冥神鲲,灵鱼,仙阶,水,250,100,300,15.0,40.0,24,北冥神鲲，不知几千里,炼丹·炼器·收藏·飞升,0.015,3,4,3,瑶池聚仙饵,1000,北冥极寒
c060,东海龙王,灵鱼,仙阶,水,280,60,180,10.0,25.0,26,东海龙王，四海之主,炼丹·炼器·收藏·飞升·契约,0.01,3,4,3,瑶池聚仙饵,1000,东海龙宫开启
c061,西海龙王,灵鱼,仙阶,金,275,55,170,9.0,22.0,25,西海龙王，执掌西方,炼丹·炼器·收藏·飞升·契约,0.01,3,4,3,瑶池聚仙饵,1000,西海龙宫开启
c062,南海龙王,灵鱼,仙阶,火,278,58,175,9.5,23.0,25,南海龙王，执掌南方,炼丹·炼器·收藏·飞升·契约,0.01,3,4,3,瑶池聚仙饵,1000,南海龙宫开启
c063,北海龙王,灵鱼,仙阶,水,276,56,172,9.2,22.5,25,北海龙王，执掌北方,炼丹·炼器·收藏·飞升·契约,0.01,3,4,3,瑶池聚仙饵,1000,北海龙宫开启
c064,混沌灵鱼,灵鱼,仙阶,无,300,100,250,12.0,30.0,30,混沌初开之灵鱼，先天而生,炼丹·炼器·收藏·飞升·大道,0.005,3,4,3,瑶池聚仙饵,1000,混沌初开之时
