id,类别,名称,维度,键,成率,高品质,说明
ffs_rg_fan,人,灵根品阶·凡品,灵根品阶,凡品,0.000,0.000,凡品灵根锻打平平无功无过
ffs_rg_liang,人,灵根品阶·良品,灵根品阶,良品,0.008,0.008,良品灵根火候初稳
ffs_rg_shang,人,灵根品阶·上品,灵根品阶,上品,0.018,0.018,上品灵根炉火易控
ffs_rg_ji,人,灵根品阶·极品,灵根品阶,极品,0.030,0.030,极品灵根锻纹随心
ffs_rg_tian,人,灵根品阶·天品,灵根品阶,天品,0.045,0.045,天品灵根器道根骨
ffs_rt_huo,人,灵根·火,灵根类型,火,0.020,0.020,火灵根主熔炼器纹最易成
ffs_rt_mu,人,灵根·木,灵根类型,木,0.010,0.012,木灵根善养器药性温和
ffs_rt_shui,人,灵根·水,灵根类型,水,0.010,0.008,水灵根润器成器偏稳
ffs_rt_jin,人,灵根·金,灵根类型,金,0.005,0.004,金灵根性锐利于凝器
ffs_rt_tu,人,灵根·土,灵根类型,土,0.005,0.006,土灵根厚重器体坚实
ffs_rt_lei,人,灵根·雷,灵根类型,雷,0.015,0.015,雷灵根器成常带雷纹
ffs_rt_bing,人,灵根·冰,灵根类型,冰,0.005,0.002,冰灵根性冷器纹难显
ffs_rt_feng,人,灵根·风,灵根类型,风,0.000,0.002,风灵根性散不聚器纹
ffs_rt_guang,人,灵根·光,灵根类型,光,0.010,0.012,光灵根器气清正
ffs_rt_an,人,灵根·暗,灵根类型,暗,0.005,0.010,暗灵根善锻毒器
ffs_rt_tianling,人,灵根·天灵根,灵根类型,天灵根,0.030,0.025,天灵根万中无一
ffs_rt_xian,人,灵根·先天五行全灵根,灵根类型,先天五行全灵根,0.025,0.030,五行俱全百器皆宜
ffs_pa_dushi,法,道途·毒师,道途,毒师,0.030,0.025,毒师通药性最擅器道
ffs_pa_kuilei,法,道途·傀儡师,道途,傀儡师,0.010,0.008,傀儡师擅控火候
ffs_pa_daoxiu,法,道途·道修,道途,道修,0.010,0.008,道修根基扎实
ffs_pa_faxiu,法,道途·法修,道途,法修,0.005,0.005,法修术法通玄
ffs_pa_fulu,法,道途·符箓师,道途,符箓师,0.005,0.005,符箓师擅绘纹与器纹相通
ffs_pa_tixiu,法,道途·体修,道途,体修,0.000,0.000,体修不擅炼器
ffs_pa_yushou,法,道途·御兽师,道途,御兽师,0.000,0.000,御兽师不擅炼器
