recipe_id,名称,品阶,产出名,产出类别,产出穿戴位,基础成功率,需求境界序,描述
jian_fan,凡铁剑配方,凡阶,凡铁剑,fa_qi,wuqi,75,0,凡阶剑，凡铁锻造。
jian_ling,青锋剑配方,灵阶,青锋剑,fa_qi,wuqi,65,1,灵阶剑，灵铁锻造。
jian_bao,流光剑配方,宝阶,流光剑,fa_qi,wuqi,55,2,宝阶剑，宝铁锻造。
jian_wang,诛仙剑配方,王阶,诛仙剑,fa_qi,wuqi,45,3,王阶剑，王铁锻造。
jian_sheng,太极剑配方,圣阶,太极剑,fa_qi,wuqi,35,4,圣阶剑，圣铁锻造。
jian_xian,轩辕剑配方,仙阶,轩辕剑,fa_qi,wuqi,25,5,仙阶剑，仙金锻造。
jian_dao,天道剑配方,道阶,天道剑,fa_qi,wuqi,15,6,道阶剑，道金锻造。
dao_fan,凡铁刀配方,凡阶,凡铁刀,fa_qi,wuqi,75,0,凡阶刀，凡铁锻造。
dao_ling,断魂刀配方,灵阶,断魂刀,fa_qi,wuqi,65,1,灵阶刀，灵铁锻造。
dao_bao,血饮刀配方,宝阶,血饮刀,fa_qi,wuqi,55,2,宝阶刀，宝铁锻造。
dao_wang,屠龙刀配方,王阶,屠龙刀,fa_qi,wuqi,45,3,王阶刀，王铁锻造。
dao_sheng,青龙刀配方,圣阶,青龙刀,fa_qi,wuqi,35,4,圣阶刀，圣铁锻造。
dao_xian,诛神刀配方,仙阶,诛神刀,fa_qi,wuqi,25,5,仙阶刀，仙金锻造。
dao_dao,灭世刀配方,道阶,灭世刀,fa_qi,wuqi,15,6,道阶刀，道金锻造。
qiang_fan,凡铁枪配方,凡阶,凡铁枪,fa_qi,wuqi,75,0,凡阶枪，凡铁锻造。
qiang_ling,梨花枪配方,灵阶,梨花枪,fa_qi,wuqi,65,1,灵阶枪，灵铁锻造。
qiang_bao,龙胆枪配方,宝阶,龙胆枪,fa_qi,wuqi,55,2,宝阶枪，宝铁锻造。
qiang_wang,霸王枪配方,王阶,霸王枪,fa_qi,wuqi,45,3,王阶枪，王铁锻造。
qiang_sheng,破阵枪配方,圣阶,破阵枪,fa_qi,wuqi,35,4,圣阶枪，圣铁锻造。
qiang_xian,弑神枪配方,仙阶,弑神枪,fa_qi,wuqi,25,5,仙阶枪，仙金锻造。
qiang_dao,混沌枪配方,道阶,混沌枪,fa_qi,wuqi,15,6,道阶枪，道金锻造。
gun_fan,凡铁棍配方,凡阶,凡铁棍,fa_qi,wuqi,75,0,凡阶棍，凡铁锻造。
gun_ling,齐眉棍配方,灵阶,齐眉棍,fa_qi,wuqi,65,1,灵阶棍，灵铁锻造。
gun_bao,盘龙棍配方,宝阶,盘龙棍,fa_qi,wuqi,55,2,宝阶棍，宝铁锻造。
gun_wang,伏魔棍配方,王阶,伏魔棍,fa_qi,wuqi,45,3,王阶棍，王铁锻造。
