tier,key,中文名,类型,数值下限,数值上限
灵品,xiu_ling,灵犀悟性,修炼速度,0.05,0.12
灵品,zhan_ling,灵锐战意,战力,10,30
宝品,xiu_bao,宝体通玄,修炼速度,0.08,0.15
宝品,zhan_bao,宝光护体,战力,30,80
宝品,tupo_bao,宝丹破障,突破,0.02,0.05
王品,xiu_wang,王道真解,修炼速度,0.10,0.20
王品,zhan_wang,王者之气,战力,80,200
王品,tupo_wang,王图霸业,突破,0.03,0.07
圣品,xiu_sheng,圣心通明,修炼速度,0.12,0.22
圣品,zhan_sheng,圣威浩荡,战力,150,350
圣品,tupo_sheng,圣道无疆,突破,0.04,0.08
仙品,xiu_xian,仙灵悟道,修炼速度,0.15,0.28
仙品,zhan_xian,仙姿绝世,战力,300,600
仙品,tupo_xian,仙缘天成,突破,0.05,0.10
道品,xiu_dao,道法自然,修炼速度,0.18,0.35
道品,zhan_dao,道威盖世,战力,600,1200
道品,tupo_dao,道心通玄,突破,0.06,0.12
