goods_id,goods_name,goods_type,base_price,weight,is_illegal,tier
g001,凡品灵米,材料,2,1,0,1
g002,凡铁矿石,材料,3,2,0,1
g003,普通灵木,材料,4,1,0,1
g004,粗制妖兽皮,妖兽,5,1,0,1
g005,聚气丹,丹药,6,1,0,1
g006,疗伤丹,丹药,12,1,0,1
g007,制式法剑,法器,30,3,0,1
g008,筑基丹,丹药,50,1,0,1
g009,下品防护符,法器,25,1,0,1
g010,精铁矿石,材料,20,2,0,1
g011,蕴金丹,丹药,180,1,0,1
g012,中品法袍,法器,220,3,0,1
g013,百年灵草,材料,150,1,0,1
g014,高阶妖兽内丹,妖兽,350,1,0,1
g015,化神丹,丹药,800,1,0,1
g016,玄冰精铁,材料,1200,5,0,1
g017,深海灵珠,材料,1500,2,0,1
g018,魔道禁丹,丹药,2000,1,1,1
g021,下品灵能核心,灵核,80,1,0,1
g022,中品灵能核心,灵核,400,2,0,2
g023,上品灵能核心,灵核,2000,3,0,3
g024,极品灵能核心,灵核,10000,4,0,4
g025,仙品灵能核心,灵核,50000,5,0,5
g019,玄铁精砂,材料,40,2,0,1
g020,赤焰铜,材料,90,2,0,1
g026,星陨铁,材料,300,3,0,2
g027,千年灵木,材料,260,2,0,2
g028,寒玉,材料,180,1,0,2
g029,凝元丹,丹药,120,1,0,2
g030,回春丹,丹药,140,1,0,2
g031,避水丹,丹药,160,1,0,2
g032,醒神丹,丹药,90,1,0,2
g033,御风幡,法器,120,2,0,2
g034,储物戒,法器,200,1,0,2
g035,探妖镜,法器,80,1,0,2
g036,风灵羽,妖兽,220,1,0,2
g037,水麒麟鳞,妖兽,480,1,0,3
g038,黑石火晶炭,材料,15,1,0,1
g039,青牛灵肉脯,丹药,35,1,0,1
g040,青阳云绸,法器,60,1,0,1
g041,玄月纱,法器,70,1,0,1
g042,天剑胚,法器,200,2,0,2
g043,丹神残方,丹药,260,1,0,2
g044,紫府玉,材料,400,1,0,3
g045,北海珠贝,材料,360,1,0,3
g046,太玄灵酿,丹药,110,1,0,2
g047,宗门铭旗,法器,130,1,0,2
g048,神行符,符箓,200,1,0,2
