npc_id,npc_name,realm,faction,power,armor,background
HN001,血手魔君,元婴,魔道邪宗,1500,血河魔甲,曾屠杀正道小宗满门，以血功闻名，与宗门有血仇
HN002,噬魂老怪,元婴,魔道邪宗,1400,幽魂袍,修炼噬魂大法，曾掳走宗门弟子炼魂
HN003,合欢散人,金丹,中立散修,800,采补仙衣,以采补术闻名，曾诱骗宗门女弟子
HN004,鬼面剑客,金丹,中立散修,900,夜行衣,赏金猎人，曾接单刺杀宗门长老
HN005,败宗宗主,筑基,正道宗门,600,残破战甲,宗门曾灭其满门，仅剩他一人，伺机报复
HN006,灭门仇人,元婴,魔道邪宗,1600,灭世魔甲,当年灭宗门满门的元凶，实力深不可测
HN007,夺宝仇敌,金丹,中立散修,850,潜行衣,曾在秘境中抢夺宗门宝物，杀宗门弟子
HN008,隔壁宗宗主,金丹,正道宗门,950,镇山甲,相邻宗门，争夺矿脉和弟子资源
HN009,天才散修,金丹,中立散修,1000,飘逸长袍,天赋异禀的散修，处处与宗门弟子竞争
HN010,商会对头,筑基,丹器师公会,500,商会锦袍,垄断坊市生意的商会对头，打压宗门商队
HN011,叛门长老,元婴,魔道邪宗,1500,魔道长袍,宗门叛徒，带走核心功法投靠魔道
HN012,投敌弟子,金丹,魔道邪宗,800,魔道学徒袍,被魔道诱惑投敌的宗门弟子
HN013,内鬼,筑基,中立散修,400,宗门弟子服,潜伏在宗门内的内鬼，泄露情报
