item_id,source_tables
bp_001,equip_blueprint
bp_002,equip_blueprint
bp_003,equip_blueprint
bp_004,equip_blueprint
bp_005,equip_blueprint
bp_006,equip_blueprint
bp_007,equip_blueprint
bp_008,equip_blueprint
bp_009,equip_blueprint
bp_010,equip_blueprint
bp_011,equip_blueprint
bp_012,equip_blueprint
bp_013,equip_blueprint
bp_014,equip_blueprint
bp_015,equip_blueprint
bp_016,equip_blueprint
bp_017,equip_blueprint
bp_018,equip_blueprint
bp_019,equip_blueprint
eq_001,equip_main
eq_002,equip_main
eq_003,equip_main
eq_004,equip_main
eq_005,equip_main
eq_006,equip_main
eq_007,equip_main
eq_008,equip_main
eq_009,equip_main
eq_010,equip_main
eq_011,equip_main
eq_012,equip_main
eq_013,equip_main
eq_014,equip_main
eq_015,equip_main
eq_016,equip_main
eq_017,equip_main
eq_018,equip_main
eq_019,equip_main
eq_020,equip_main
eq_021,equip_main
eq_022,equip_main
eq_023,equip_main
eq_024,equip_main
eq_025,equip_main
eq_026,equip_main
eq_027,equip_main
eq_028,equip_main
eq_029,equip_main
eq_030,equip_main
eq_031,equip_main
eq_032,equip_main
eq_033,equip_main
eq_034,equip_main
eq_035,equip_main
eq_036,equip_main
eq_037,equip_main
eq_038,equip_main
eq_039,equip_main
eq_040,equip_main
eq_041,equip_main
eq_042,equip_main
eq_043,equip_main
eq_044,equip_main
eq_045,equip_main
inn_001,treasure_innate
inn_002,treasure_innate
inn_003,treasure_innate
inn_004,treasure_innate
inn_005,treasure_innate
inn_006,treasure_innate
inn_007,treasure_innate
inn_008,treasure_innate
inn_009,treasure_innate
inn_010,treasure_innate
inn_011,treasure_innate
inn_012,treasure_innate
inn_013,treasure_innate
inn_014,treasure_innate
inn_015,treasure_innate
inn_016,treasure_innate
inn_017,treasure_innate
inn_018,treasure_innate
inn_019,treasure_innate
inn_020,treasure_innate
inn_021,treasure_innate
inn_022,treasure_innate
inn_023,treasure_innate
inn_024,treasure_innate
inn_025,treasure_innate
pet_001,spirit_pet
pet_002,spirit_pet
pet_003,spirit_pet
pet_004,spirit_pet
pet_005,spirit_pet
pet_006,spirit_pet
pet_007,spirit_pet
pet_008,spirit_pet
pet_009,spirit_pet
pet_010,spirit_pet
pet_011,spirit_pet
pet_012,spirit_pet
pet_013,spirit_pet
pet_014,spirit_pet
pet_015,spirit_pet
pet_016,spirit_pet
pet_017,spirit_pet
pet_018,spirit_pet
pet_019,spirit_pet
pet_020,spirit_pet
pet_021,spirit_pet
pet_022,spirit_pet
pet_023,spirit_pet
pet_024,spirit_pet
pet_025,spirit_pet
pet_026,spirit_pet
pet_027,spirit_pet
pet_028,spirit_pet
pet_029,spirit_pet
pet_030,spirit_pet
pill_001,item_pill
pill_002,item_pill
pill_003,item_pill
pill_004,item_pill
pill_005,item_pill
pill_006,item_pill
pill_007,item_pill
pill_008,item_pill
pill_009,item_pill
pill_010,item_pill
pill_011,item_pill
pill_012,item_pill
pill_013,item_pill
pill_014,item_pill
pill_015,item_pill
pill_016,item_pill
pill_017,item_pill
pill_018,item_pill
pill_019,item_pill
pill_020,item_pill
pill_021,item_pill
pill_022,item_pill
pill_023,item_pill
pill_024,item_pill
pill_025,item_pill
pill_026,item_pill
pill_027,item_pill
pill_028,item_pill
pill_029,item_pill
pill_030,item_pill
pill_031,item_pill
pill_032,item_pill
pill_033,item_pill
pill_034,item_pill
pill_035,item_pill
pill_036,item_pill
pill_037,item_pill
pill_038,item_pill
pill_039,item_pill
pill_040,item_pill
pill_041,item_pill
pill_042,item_pill
pill_043,item_pill
pill_044,item_pill
pup_001,puppet
pup_002,puppet
pup_003,puppet
pup_004,puppet
pup_005,puppet
pup_006,puppet
pup_007,puppet
pup_008,puppet
pup_009,puppet
pup_010,puppet
pup_011,puppet
pup_012,puppet
pup_013,puppet
pup_014,puppet
pup_015,puppet
pup_016,puppet
pup_017,puppet
pup_018,puppet
pup_019,puppet
pup_020,puppet
pup_021,puppet
pup_022,puppet
pup_023,puppet
pup_024,puppet
pup_025,puppet
pup_026,puppet
pup_027,puppet
pup_028,puppet
pup_029,puppet
pup_030,puppet
pup_031,puppet
pup_032,puppet
pup_033,puppet
pup_034,puppet
pup_035,puppet
pup_036,puppet
q_xuanji,quest_item
q_xuanji_frag_l,quest_item
q_xuanji_frag_r,quest_item
sk_001,skill_cultivation
sk_002,skill_cultivation
sk_003,skill_cultivation
sk_004,skill_cultivation
sk_005,skill_cultivation
sk_006,skill_cultivation
sk_007,skill_cultivation
sk_008,skill_cultivation
sk_009,skill_cultivation
sk_010,skill_cultivation
sk_011,skill_cultivation
sk_012,skill_cultivation
sk_013,skill_cultivation
sk_014,skill_cultivation
sk_015,skill_cultivation
sk_016,skill_cultivation
sk_017,skill_cultivation
sk_018,skill_cultivation
sk_019,skill_cultivation
sk_020,skill_cultivation
sk_021,skill_cultivation
sk_022,skill_cultivation
sk_023,skill_cultivation
sk_024,skill_cultivation
sk_025,skill_cultivation
sk_026,skill_cultivation
sk_027,skill_cultivation
sk_028,skill_cultivation
sk_029,skill_cultivation
sk_030,skill_cultivation
sk_031,skill_cultivation
sk_032,skill_cultivation
sk_033,skill_cultivation
sk_034,skill_cultivation
sk_035,skill_cultivation
sk_036,skill_cultivation
sk_037,skill_cultivation
sk_038,skill_cultivation
sk_039,skill_cultivation
sk_dao_01,skill
sk_dao_02,skill
sk_dao_03,skill
sk_dao_04,skill
sk_dao_05,skill
sk_fa_01,skill
sk_fa_02,skill
sk_fa_03,skill
sk_fa_04,skill
sk_fa_05,skill
sk_ti_01,skill
sk_ti_02,skill
sk_ti_03,skill
sk_ti_04,skill
sk_ti_05,skill
tal_001,item_talisman
tal_002,item_talisman
tal_003,item_talisman
tal_004,item_talisman
tal_005,item_talisman
tal_006,item_talisman
tal_007,item_talisman
tal_008,item_talisman
tal_009,item_talisman
tal_010,item_talisman
tal_011,item_talisman
tal_012,item_talisman
tal_013,item_talisman
tal_014,item_talisman
tal_015,item_talisman
tal_016,item_talisman
tal_017,item_talisman
tal_018,item_talisman
tal_019,item_talisman
tal_020,item_talisman
tal_021,item_talisman
tal_022,item_talisman
tal_023,item_talisman
tal_024,item_talisman
tal_025,item_talisman
tal_026,item_talisman
tal_027,item_talisman
tal_028,item_talisman
tal_029,item_talisman
tal_030,item_talisman
tal_031,item_talisman
tal_032,item_talisman
tal_033,item_talisman
tal_034,item_talisman
tal_035,item_talisman
tal_036,item_talisman
tal_037,item_talisman
ti_001,tribulation_item
ti_002,tribulation_item
ti_003,tribulation_item
ti_004,tribulation_item
tr_001,treasure_normal
tr_002,treasure_normal
tr_003,treasure_normal
tr_004,treasure_normal
tr_005,treasure_normal
tr_006,treasure_normal
tr_007,treasure_normal
tr_008,treasure_normal
tr_009,treasure_normal
tr_010,treasure_normal
tr_011,treasure_normal
tr_012,treasure_normal
tr_013,treasure_normal
tr_014,treasure_normal
tr_015,treasure_normal
tr_016,treasure_normal
tr_017,treasure_normal
tr_018,treasure_normal
tr_019,treasure_normal
tr_020,treasure_normal
tr_021,treasure_normal
tr_022,treasure_normal
tr_023,treasure_normal
tr_024,treasure_normal
tr_025,treasure_normal
tr_026,treasure_normal
tr_027,treasure_normal
tr_028,treasure_normal
tr_029,treasure_normal
tr_030,treasure_normal
tr_031,treasure_normal
tr_032,treasure_normal
tr_033,treasure_normal
tr_034,treasure_normal
tr_035,treasure_normal
tr_036,treasure_normal
