talisman_id,talisman_name,grade,sub_grade,talisman_type,use_effect,effect_value,use_limit,base_rate,craft_material,sell_price,need_draw_level
tal_001,凡品下品火球符,凡品,下品,攻击类,即时伤害,2%,3,80,符纸×2,5,0
tal_002,凡品中品金刚符,凡品,中品,防御类,护盾减伤,2.6%,3,80,符纸×2,8,0
tal_003,凡品上品聚灵符,凡品,上品,辅助类,增益buff,3.4%,3,80,符纸×2,12,0
tal_004,凡品极品冰冻符,凡品,极品,控制类,控制减益,4.2%,3,80,符纸×2,18,0
tal_005,灵品下品金刚符,灵品,下品,防御类,护盾减伤,5%,3,72,符纸×3,40,0
tal_006,灵品中品聚灵符,灵品,中品,辅助类,增益buff,6.5%,3,72,符纸×3,60,0
tal_007,灵品上品冰冻符,灵品,上品,控制类,控制减益,8%,3,72,符纸×3,90,0
tal_008,灵品极品隐身符,灵品,极品,特殊类,特殊功能,9.5%,3,72,符纸×3,130,0
tal_009,宝品下品聚灵符,宝品,下品,辅助类,增益buff,10%,3,64,灵墨×4,150,1
tal_010,宝品中品冰冻符,宝品,中品,控制类,控制减益,12.5%,3,64,灵墨×4,220,1
tal_011,宝品上品隐身符,宝品,上品,特殊类,特殊功能,15.5%,3,64,灵墨×4,320,1
tal_012,宝品极品天火符,宝品,极品,攻击类,即时伤害,19%,3,64,灵墨×4,450,1
tal_013,王品下品冰冻符,王品,下品,控制类,控制减益,22%,3,56,灵墨×5,700,3
tal_014,王品中品隐身符,王品,中品,特殊类,特殊功能,26%,3,56,灵墨×5,1000,3
tal_015,王品上品天火符,王品,上品,攻击类,即时伤害,30%,3,56,灵墨×5,1500,3
tal_016,王品极品护盾符,王品,极品,防御类,护盾减伤,35%,3,56,灵墨×5,2200,3
tal_017,圣品下品隐身符,圣品,下品,特殊类,特殊功能,38%,3,48,妖兽精血×6,3500,5
tal_018,圣品中品天火符,圣品,中品,攻击类,即时伤害,44%,3,48,妖兽精血×6,5000,5
tal_019,圣品上品护盾符,圣品,上品,防御类,护盾减伤,50%,3,48,妖兽精血×6,7000,5
tal_020,圣品极品清心符,圣品,极品,辅助类,增益buff,58%,3,48,妖兽精血×6,10000,5
tal_021,仙品下品天火符,仙品,下品,攻击类,即时伤害,62%,3,40,天材地宝×7,15000,7
tal_022,仙品中品护盾符,仙品,中品,防御类,护盾减伤,70%,3,40,天材地宝×7,22000,7
tal_023,仙品上品清心符,仙品,上品,辅助类,增益buff,80%,3,40,天材地宝×7,32000,7
tal_024,仙品极品卸力符,仙品,极品,控制类,控制减益,90%,3,40,天材地宝×7,46000,7
tal_025,道品下品护盾符,道品,下品,防御类,护盾减伤,100%,3,30,大道本源×8,70000,9
tal_026,道品中品清心符,道品,中品,辅助类,增益buff,115%,3,30,大道本源×8,100000,9
tal_027,道品上品卸力符,道品,上品,控制类,控制减益,130%,3,30,大道本源×8,150000,9
tal_028,道品极品传送符,道品,极品,特殊类,特殊功能,150%,3,30,大道本源×8,220000,9
tal_029,道品极品冰冻符,道品,极品,控制类,控制减益,150%,3,30,大道本源×8,220000,9
tal_030,道品极品传送符,道品,极品,特殊类,特殊功能,150%,3,30,大道本源×8,220000,9
tal_031,道品极品火球符,道品,极品,攻击类,即时伤害,150%,3,30,大道本源×8,220000,9
tal_032,道品极品护盾符,道品,极品,防御类,护盾减伤,150%,3,30,大道本源×8,220000,9
tal_033,道品极品加速符,道品,极品,辅助类,增益buff,150%,3,30,大道本源×8,220000,9
tal_034,道品极品冰冻符,道品,极品,控制类,控制减益,150%,3,30,大道本源×8,220000,9
tal_035,道品极品传送符,道品,极品,特殊类,特殊功能,150%,3,30,大道本源×8,220000,9
tal_036,道品极品火球符,道品,极品,攻击类,即时伤害,150%,3,30,大道本源×8,220000,9
tal_037,道品极品护盾符,道品,极品,防御类,护盾减伤,150%,3,30,大道本源×8,220000,9
g048,神行符,灵品,中品,特殊类,加速,0.3,1,72,符纸×2,200,0
