monster_id,monster_name,realm,element,base_hp,base_atk,base_def,base_spd,base_crit,base_dodge,skill_id,drop_item_ids,drop_weights,is_boss,race,wisdom,treasure,description
M101,野狼,练气,土,279,70,28,28,0.05,0.02,,,,false,异兽,无智慧,无,后山常见的野狼，攻击性不强
M102,山贼,练气,金,279,70,28,28,0.05,0.02,,,,false,人族,低智慧,无,落单的山贼，劫掠过往行人
M103,低阶妖兽,练气,木,279,70,28,28,0.05,0.02,,,,false,妖族,低智慧,无,修炼未成的低阶妖兽
M104,山贼喽啰,练气,金,156,39,16,16,0.04,0.02,,,,false,人族,低智慧,无,山贼团伙的杂兵
M105,山匪头目,练气,金,307,77,31,31,0.08,0.03,,,,false,人族,低智慧,无,后山匪帮的小头目，实力不俗
M106,林间精怪,练气,水,156,39,16,16,0.05,0.04,,,,false,鬼族,低智慧,无,山林间汇聚灵气的小妖
M107,矿洞石傀,练气,土,307,77,31,31,0.03,0.01,,,,false,异兽,无智慧,无,矿洞中活化的石傀儡
M110,后山狼王,练气,土,293,73,29,29,0.1,0.03,,,,true,异兽,低智慧,狼王令,后山秘境关底BOSS，统御群狼
M2PH,青冥散修,筑基,水,574,143,57,57,0.08,0.04,,,,false,人族,高智慧,青冥剑,古道上的散修
M2BOSS,古道魔头,筑基,金,711,178,71,71,0.12,0.05,,,,true,魔族,高智慧,魔头幡,青冥古道关底BOSS
M3PH,玄雾阴魂,金丹,水,283,71,28,28,0.1,0.04,,,,false,鬼族,低智慧,无,峡谷阴魂
M3BOSS,峡谷亡灵将,金丹,土,317,79,32,32,0.15,0.05,,,,true,鬼族,高智慧,亡灵将印,玄雾峡谷关底BOSS
M401,青鳞蛇妖,元婴,木,1200,300,120,120,0.1,0.08,,,,false,妖族,高智慧,青鳞剑,修炼千年的蛇妖，可化人形
M402,赤焰狐妖,元婴,火,1000,350,100,150,0.15,0.12,,,,false,妖族,高智慧,九尾狐扇,九尾狐妖，擅长幻术
M403,黑熊精,元婴,土,1500,280,150,80,0.08,0.03,,,,false,妖族,低智慧,黑熊掌套,力大无穷的熊精
M404,血修,元婴,水,1100,320,110,110,0.12,0.06,,,,false,魔族,高智慧,血河幡,修炼血功的邪修
M405,噬魂魔,元婴,暗,900,400,90,130,0.18,0.1,,,,false,魔族,高智慧,噬魂珠,以吞噬魂魄为生的魔物
M406,厉鬼,元婴,阴,800,280,80,120,0.1,0.15,,,,false,鬼族,低智慧,无,含冤而死的厉鬼
M407,阴魂将,元婴,土,1300,300,140,100,0.1,0.05,,,,false,鬼族,高智慧,阴魂将印,统领阴兵的鬼将
M408,蛟妖,元婴,水,1400,320,130,110,0.12,0.08,,,,true,龙族,高智慧,蛟龙珠,修炼千年的蛟龙，即将化龙
M501,妖王,化神,木,2500,600,250,200,0.15,0.1,,,,false,妖族,高智慧,妖王令,统领一方的妖王
M502,魔尊,化神,暗,2200,700,220,220,0.2,0.12,,,,false,魔族,高智慧,魔尊印,魔道巨擘，实力深不可测
M503,鬼帝,化神,阴,2000,550,200,180,0.15,0.15,,,,false,鬼族,高智慧,鬼帝玺,统御万鬼的鬼帝
M504,应龙,化神,水,3000,650,300,250,0.18,0.1,,,,true,龙族,高智慧,应龙龙珠,上古神龙后裔，呼风唤雨
M505,上古凶兽,化神,火,2800,750,280,200,0.2,0.08,,,,true,异兽,无智慧,凶兽角,上古遗留的凶兽，凶性难驯
M601,妖皇,炼虚,木,5000,1200,500,400,0.2,0.15,,,,true,妖族,高智慧,妖庭令,妖族至尊，号令万妖
M602,魔帝,炼虚,暗,4500,1400,450,450,0.25,0.15,,,,true,魔族,高智慧,魔界之印,魔界之主，魔道巅峰
M603,青龙,炼虚,木,6000,1300,600,500,0.22,0.12,,,,true,龙族,高智慧,青龙珠,四灵之一，东方青龙
M604,混沌凶兽,炼虚,全,5500,1500,550,400,0.25,0.1,,,,true,异兽,无智慧,混沌珠,混沌中诞生的凶兽，吞噬万物
