stage,sect_level,resource,daily_output,unit
练气期,1-2,灵石,500,灵石/日
练气期,1-2,灵气,200,灵气/日
练气期,1-2,基础原材料,30,份/日
练气期,1-2,成品丹药,5,颗/日
练气期,1-2,稀有战略材料,1,份/月
筑基期,2-3,灵石,1500,灵石/日
筑基期,2-3,灵气,600,灵气/日
筑基期,2-3,基础原材料,80,份/日
筑基期,2-3,成品丹药,12,颗/日
筑基期,2-3,稀有战略材料,4,份/月
金丹期,3-4,灵石,4000,灵石/日
金丹期,3-4,灵气,1800,灵气/日
金丹期,3-4,基础原材料,200,份/日
金丹期,3-4,成品丹药,30,颗/日
金丹期,3-4,稀有战略材料,10,份/月
元婴期,4-5,灵石,10000,灵石/日
元婴期,4-5,灵气,5000,灵气/日
元婴期,4-5,基础原材料,500,份/日
元婴期,4-5,成品丹药,70,颗/日
元婴期,4-5,稀有战略材料,25,份/月
化神期,5-6,灵石,25000,灵石/日
化神期,5-6,灵气,12500,灵气/日
化神期,5-6,基础原材料,1250,份/日
化神期,5-6,成品丹药,175,颗/日
化神期,5-6,稀有战略材料,62,份/月
炼虚期,6-7,灵石,62500,灵石/日
炼虚期,6-7,灵气,31200,灵气/日
炼虚期,6-7,基础原材料,3125,份/日
炼虚期,6-7,成品丹药,438,颗/日
炼虚期,6-7,稀有战略材料,155,份/月
合体期,7-8,灵石,156000,灵石/日
合体期,7-8,灵气,78000,灵气/日
合体期,7-8,基础原材料,7812,份/日
合体期,7-8,成品丹药,1095,颗/日
合体期,7-8,稀有战略材料,388,份/月
大乘期,8-9,灵石,390000,灵石/日
大乘期,8-9,灵气,195000,灵气/日
大乘期,8-9,基础原材料,19500,份/日
大乘期,8-9,成品丹药,2738,颗/日
大乘期,8-9,稀有战略材料,970,份/月
渡劫期,9-10,灵石,975000,灵石/日
渡劫期,9-10,灵气,488000,灵气/日
渡劫期,9-10,基础原材料,48800,份/日
渡劫期,9-10,成品丹药,6845,颗/日
渡劫期,9-10,稀有战略材料,2425,份/月
