flight_id,flight_name,flight_type,min_realm,speed_bonus,risk_reduce,carry_bonus,max_durability,per_use_durability,forge_cost_lingstone,forge_material,repair_material,tier
pf01,下品御风梭,shuttle,2,0.15,0.05,0,100,1,300,g010:10|g003:5,g010:2,2
pf02,中品玄云飞舟,boat,3,0.25,0.12,10,200,1,1200,g013:10|g010:20,g013:3,3
pf03,上品青冥剑,sword,3,0.35,0.08,0,150,2,2500,g016:5|g013:8,g016:1,3
pf04,下品灵鹤坐骑,beast,2,0.2,0.1,0,300,0.5,800,g004:20|g007:1,g004:5,2
pf05,上品金翅鹏坐骑,beast,4,0.45,0.2,5,500,1,8000,g014:3|g008:5,g014:1,4
pf06,极品遁光符,talisman,3,0.6,0,0,10,10,500,g009:3|g005:2,g009:1,3
pf07,中品踏云靴,shuttle,2,0.18,0.07,0,120,1,500,g010:12|g004:8,g010:3,2
pf08,上品紫电飞舟,boat,4,0.4,0.2,20,350,1.5,6000,g016:12|g014:2,g016:2,4
pf09,下品罗烟步符箓,talisman,2,0.25,0.03,0,20,5,150,g005:3|g009:1,g005:1,2
pf10,极品九霄雷翼,beast,5,0.7,0.3,10,800,2,30000,g017:5|g014:8,g017:1,5
