tier,key,中文名,类型,数值下限,数值上限
宝品,yx_bao,灵蕴药效,药效,0.05,0.12
宝品,jd_bao,涤浊减毒,减毒,0.1,0.3
宝品,xj_bao,清心心境,心境,3,8
宝品,sj_bao,珍奇售价,售价,0.05,0.12
王品,yx_wang,王品药效,药效,0.08,0.16
王品,jd_wang,王品减毒,减毒,0.2,0.4
王品,xj_wang,王品心境,心境,5,12
王品,sj_wang,王品售价,售价,0.08,0.18
圣品,yx_sheng,圣品药效,药效,0.12,0.22
圣品,jd_sheng,圣品减毒,减毒,0.3,0.6
圣品,xj_sheng,圣品心境,心境,8,18
圣品,sj_sheng,圣品售价,售价,0.12,0.25
仙品,yx_xian,仙品药效,药效,0.16,0.30
仙品,jd_xian,仙品减毒,减毒,0.4,0.8
仙品,xj_xian,仙品心境,心境,12,25
仙品,sj_xian,仙品售价,售价,0.16,0.35
道品,yx_dao,道品药效,药效,0.20,0.40
道品,jd_dao,道品减毒,减毒,0.5,1.0
道品,xj_dao,道品心境,心境,18,35
道品,sj_dao,道品售价,售价,0.20,0.45
