puppet_id,puppet_name,grade,sub_grade,puppet_type,effect_value,max_durability,daily_maintain_cost,unlock_condition,craft_time_sec,base_success_rate,sell_price_ling,battle_effect_type,trigger_condition,effect_value_1,effect_value_2,consume_on_trigger,is_battle_effect_active,fallback_attr_bonus
pup_001,基础劳作傀儡,凡阶,下品,劳作,5%,200,3,器殿1级解锁,600,85%,15,,,0,0,false,false,
pup_002,基础劳作傀儡,凡阶,中品,劳作,6.5%,220,4,器殿1级解锁,690,82%,20,,,0,0,false,false,
pup_003,基础劳作傀儡,凡阶,上品,劳作,8%,240,5,器殿1级解锁,780,80%,25,,,0,0,false,false,
pup_004,基础劳作傀儡,凡阶,极品,劳作,9.5%,260,6,新手差事赏赐,870,78%,32,,,0,0,false,false,
pup_005,辅助炼丹傀儡,凡阶,下品,炼丹,3%,180,5,丹殿1级解锁,720,82%,18,,,0,0,false,false,
pup_006,辅助炼丹傀儡,凡阶,上品,炼丹,5%,220,7,丹殿1级解锁,936,78%,28,,,0,0,false,false,
pup_007,辅助炼器傀儡,凡阶,下品,炼器,8%,180,5,器殿1级解锁,720,82%,18,,,0,0,false,false,
pup_008,辅助炼器傀儡,凡阶,上品,炼器,12%,220,7,器殿1级解锁,936,78%,28,,,0,0,false,false,
pup_009,精工劳作傀儡,灵阶,下品,劳作,10%,400,8,器殿2级解锁,1200,78%,55,,,0,0,false,false,
pup_010,精工劳作傀儡,灵阶,中品,劳作,12%,440,9,器殿2级解锁,1380,76%,68,,,0,0,false,false,
pup_011,精工劳作傀儡,灵阶,上品,劳作,14%,480,10,器殿2级解锁,1560,73%,82,,,0,0,false,false,
pup_012,精工劳作傀儡,灵阶,极品,劳作,16%,520,12,低阶秘境掉落,1740,70%,100,,,0,0,false,false,
pup_013,丹道傀儡,灵阶,下品,炼丹,6%,360,10,丹殿2级解锁,1440,75%,65,,,0,0,false,false,
pup_014,丹道傀儡,灵阶,上品,炼丹,9%,440,13,丹殿2级解锁,1872,70%,95,,,0,0,false,false,
pup_015,炼器傀儡,灵阶,下品,炼器,15%,360,10,器殿2级解锁,1440,75%,65,,,0,0,false,false,
pup_016,炼器傀儡,灵阶,上品,炼器,22%,440,13,器殿2级解锁,1872,70%,95,,,0,0,false,false,
pup_017,守卫傀儡,灵阶,上品,战斗,10%,480,15,器殿2级解锁,1800,72%,90,,,0,0,false,false,
pup_018,宗师劳作傀儡,宝阶,下品,劳作,18%,800,20,器殿3级解锁,2400,70%,180,,,0,0,false,false,
pup_019,宗师劳作傀儡,宝阶,中品,劳作,21%,880,23,器殿3级解锁,2760,68%,220,,,0,0,false,false,
pup_020,宗师劳作傀儡,宝阶,上品,劳作,24%,960,26,器殿3级解锁,3120,65%,260,,,0,0,false,false,
pup_021,宗师劳作傀儡,宝阶,极品,劳作,27%,1040,30,中阶秘境掉落,3480,62%,310,,,0,0,false,false,
pup_022,丹道宗师傀儡,宝阶,下品,炼丹,10%,720,25,丹殿3级解锁,2880,65%,200,,,0,0,false,false,
pup_023,丹道宗师傀儡,宝阶,上品,炼丹,14%,880,32,丹殿3级解锁,3744,60%,290,,,0,0,false,false,
pup_024,炼器宗师傀儡,宝阶,上品,炼器,28%,880,32,器殿3级解锁,3744,60%,290,,,0,0,false,false,
pup_025,战阵傀儡,宝阶,上品,战斗,18%,960,35,器殿3级解锁,3600,62%,270,,,0,0,false,false,
pup_026,天工劳作傀儡,王阶,下品,劳作,28%,1600,50,器殿4级解锁,4800,62%,520,,,0,0,false,false,
pup_027,天工劳作傀儡,王阶,极品,劳作,35%,2080,65,高阶秘境掉落,6960,55%,760,,,0,0,false,false,
pup_028,丹道大师傀儡,王阶,上品,炼丹,17%,1760,60,丹殿4级解锁,6240,58%,680,,,0,0,false,false,
pup_029,炼器大师傀儡,王阶,上品,炼器,35%,1760,60,器殿4级解锁,6240,58%,680,,,0,0,false,false,
pup_030,破军战傀,王阶,上品,战斗,20%,1920,70,器殿4级解锁,6000,55%,720,,,0,0,false,false,
pup_031,圣纹劳作傀儡,圣阶,下品,劳作,38%,3000,120,器殿5级解锁,7200,55%,1300,,,0,0,false,false,
pup_032,圣纹劳作傀儡,圣阶,极品,劳作,45%,3900,160,顶级秘境掉落,10440,48%,1900,,,0,0,false,false,
pup_033,丹圣傀儡,圣阶,上品,炼丹,20%,3300,140,丹殿5级解锁,9360,52%,1600,,,0,0,false,false,
pup_034,战争傀儡,圣阶,上品,战斗,25%,3600,160,器殿5级解锁,9000,50%,1700,,,0,0,false,false,
pup_035,道工傀儡,道阶,极品,劳作,50%,8000,300,器殿7级解锁,21600,40%,4000,,,0,0,false,false,
pup_036,道兵战傀,道阶,极品,战斗,30%,9000,350,终极传承,21600,35%,4500,,,0,0,false,false,
