quest_id,quest_name,quest_type,unlock_sect_level,difficulty,target_desc,target_num,reward_lingjing,reward_lingqi,reward_pool_id,active_point,daily_limit,is_auto_complete,jump_path,condition_type,condition_param,is_newbie,prev_quest_id,is_auto_trigger
daily_003,野外历练,探索,1,难度Ⅰ,完成普通野外历练2次,2,50,20,pool_daily_1,10,1,true,弟子/详情/境界,expedition,,false,,true
daily_004,宗门巡视,互动,1,难度Ⅰ,与宗门内3名游走弟子互动,3,50,20,pool_daily_1,10,1,true,,disciple_interact,,,,
daily_005,炼制丹药,经营,2,难度Ⅱ,在丹殿炼制1炉丹药,1,100,40,pool_daily_2,10,1,true,,refine_pill,,,,
daily_008,处理宗门事件,互动,2,难度Ⅱ,处理1件宗门待办事件,1,100,40,pool_daily_2,10,1,true,,handle_event,,,,
daily_009,产业殿阁升级,经营,3,难度Ⅲ,升级任意1座产业殿阁,1,175,70,pool_daily_3,10,1,true,,upgrade_building,,,,
daily_011,秘境探索,探索,3,难度Ⅲ,通关1次普通秘境,1,175,70,pool_daily_3,10,1,true,,clear_stage,,,,
daily_012,坊市交易,互动,3,难度Ⅲ,在坊市完成1次交易,1,175,70,pool_daily_3,10,1,true,,market_trade,,,,
daily_013,丹药量产,经营,4,难度Ⅳ,炼制5炉宝品丹药,5,300,120,pool_daily_4,10,1,true,,refine_pill,宝品,,,
daily_016,宗门人事调整,互动,4,难度Ⅳ,任命1名片区执事,1,300,120,pool_daily_4,10,1,true,,appoint_zhishi,,,,
newbie_001,再纳一名弟子,互动,1,难度Ⅰ,宗门初立，当广纳弟子，以固根基,2,200,50,pool_newbie,10,0,false,弟子/接引,recruit_count,,true,,false
newbie_002,首遣弟子历练,探索,1,难度Ⅰ,根基初稳，可遣弟子外出历练，寻访机缘,1,300,80,pool_newbie,15,0,false,历练/秘境,realm_first_enter,,true,newbie_001,false
newbie_004,首桩宗门轶事,互动,1,难度Ⅰ,宗门运转，自有诸事发生，静候决断,1,200,40,pool_newbie,10,0,false,纪事,event_first_trigger,,true,newbie_002,true
newbie_005,炼气三层初成,养成,1,难度Ⅰ,弟子潜心修行，自有境界突破之喜,1,400,100,pool_newbie,20,0,false,弟子/详情,disciple_realm_3,,true,newbie_004,true
newbie_006,炼气五层精进,养成,1,难度Ⅰ,修行日深，炼气五层是宗门战力根基,1,600,150,pool_newbie,30,0,false,弟子/详情,disciple_realm_5,,true,newbie_005,true
newbie_007,五人宗门初具,养成,1,难度Ⅰ,弟子满五，宗门初具规模，道途渐宽,5,1000,200,pool_newbie,50,0,false,弟子/名录,recruit_count_5,,true,newbie_006,true
daily_017,炼制凡品装备,炼器,2,难度Ⅱ,在器殿炼制1件凡品装备,1,100,40,pool_daily_2,10,1,true,,forge_equipment,,false,,true
daily_020,学习新功法,功法,2,难度Ⅱ,学习任意1本新功法,1,100,40,pool_daily_2,10,1,true,,learn_gongfa,,false,,true
daily_023,布置阵法,阵法,3,难度Ⅲ,布置任意1个阵法,1,175,70,pool_daily_3,10,1,true,,deploy_zhenfa,,false,,true
daily_024,阵法升级,阵法,4,难度Ⅳ,升级任意1个阵法1级,1,300,120,pool_daily_4,10,1,true,,upgrade_zhenfa,,false,,true
daily_025,阵法修复,阵法,4,难度Ⅳ,修复任意1个受损阵法,1,300,120,pool_daily_4,10,1,true,,repair_zhenfa,,false,,true
daily_029,添加道友,社交,2,难度Ⅱ,添加1名新道友,1,100,40,pool_daily_2,10,1,true,,add_friend,,false,,true
daily_035,成就达成,成就,3,难度Ⅲ,达成任意1个新成就,1,175,70,pool_daily_3,10,1,true,,achievement_unlock,,false,,true
daily_036,里程碑达成,成就,4,难度Ⅳ,达成任意1个宗门里程碑,1,300,120,pool_daily_4,10,1,true,,milestone_unlock,,false,,true
