pool_id,item_id,item_name,item_grade,weight,drop_limit,daily_max,is_counted_in_balance
pool_daily_1,pool_daily_1_raw,基础材料·凡品下品,凡品下品,50,20,20,true
pool_daily_1,pool_daily_1_pill,丹药符箓·凡品中品,凡品中品,25,10,10,true
pool_daily_1,pool_daily_1_ling,灵石·额外,固定数值,15,5,5,true
pool_daily_1,pool_daily_1_frag,材料碎片·凡品上品,凡品上品,8,3,3,true
pool_daily_1,pool_daily_1_luck,气运·微量,固定数值,2,1,1,true
pool_daily_2,pool_daily_2_raw,基础材料·凡品极品,凡品极品,50,20,20,true
pool_daily_2,pool_daily_2_pill,丹药符箓·灵品下品,灵品下品,25,10,10,true
pool_daily_2,pool_daily_2_ling,灵石·额外,固定数值,15,5,5,true
pool_daily_2,pool_daily_2_frag,材料碎片·灵品上品,灵品上品,8,3,3,true
pool_daily_2,pool_daily_2_luck,气运·微量,固定数值,2,1,1,true
pool_daily_3,pool_daily_3_raw,基础材料·灵品极品,灵品极品,50,20,20,true
pool_daily_3,pool_daily_3_pill,丹药符箓·宝品下品,宝品下品,25,10,10,true
pool_daily_3,pool_daily_3_ling,灵石·额外,固定数值,15,5,5,true
pool_daily_3,pool_daily_3_frag,材料碎片·宝品上品,宝品上品,8,3,3,true
pool_daily_3,pool_daily_3_luck,气运·微量,固定数值,2,1,1,true
pool_daily_4,pool_daily_4_raw,基础材料·宝品极品,宝品极品,50,20,20,true
pool_daily_4,pool_daily_4_pill,丹药符箓·王品下品,王品下品,25,10,10,true
pool_daily_4,pool_daily_4_ling,灵石·额外,固定数值,15,5,5,true
pool_daily_4,pool_daily_4_frag,材料碎片·王品中品,王品中品,8,3,3,true
pool_daily_4,pool_daily_4_luck,气运·微量,固定数值,2,1,1,true
pool_weekly_1,pool_weekly_1_raw,基础材料·灵品下品,灵品下品,35,15,15,true
pool_weekly_1,pool_weekly_1_pill,丹药符箓·灵品中品,灵品中品,20,8,8,true
pool_weekly_1,pool_weekly_1_ling,灵石·额外,固定数值,15,5,5,true
pool_weekly_1,pool_weekly_1_frag,材料碎片·灵品极品,灵品极品,15,3,3,true
pool_weekly_1,pool_weekly_1_equip,装备碎片·灵品上品,灵品上品,10,3,3,true
pool_weekly_1,pool_weekly_1_luck,气运·微量,固定数值,5,1,1,true
pool_weekly_2,pool_weekly_2_raw,基础材料·宝品下品,宝品下品,35,15,15,true
pool_weekly_2,pool_weekly_2_pill,丹药符箓·宝品中品,宝品中品,20,8,8,true
pool_weekly_2,pool_weekly_2_ling,灵石·额外,固定数值,15,5,5,true
pool_weekly_2,pool_weekly_2_frag,材料碎片·宝品极品,宝品极品,15,3,3,true
pool_weekly_2,pool_weekly_2_equip,装备碎片·宝品上品,宝品上品,10,3,3,true
pool_weekly_2,pool_weekly_2_luck,气运·微量,固定数值,5,1,1,true
pool_weekly_3,pool_weekly_3_raw,基础材料·王品下品,王品下品,35,15,15,true
pool_weekly_3,pool_weekly_3_pill,丹药符箓·王品中品,王品中品,20,8,8,true
pool_weekly_3,pool_weekly_3_ling,灵石·额外,固定数值,15,5,5,true
pool_weekly_3,pool_weekly_3_frag,材料碎片·王品中品,王品中品,15,3,3,true
pool_weekly_3,pool_weekly_3_equip,装备碎片·王品上品,王品上品,10,3,3,true
pool_weekly_3,pool_weekly_3_luck,气运·微量,固定数值,5,1,1,true
pool_random_visit,pool_random_visit_mat,稀有材料·灵品下品,灵品下品,40,5,5,true
pool_random_visit,pool_random_visit_sp,特殊道具·灵品中品,灵品中品,30,3,3,true
pool_random_visit,pool_random_visit_ling,灵石·额外,固定数值,20,5,5,true
pool_random_visit,pool_random_visit_luck,气运·微量,固定数值,10,1,1,true
pool_random_chore,pool_random_chore_ling,灵石·额外,固定数值,50,5,5,true
pool_random_chore,pool_random_chore_luck,气运·微量,固定数值,30,1,1,true
pool_random_chore,pool_random_chore_raw,基础材料·凡品极品,凡品极品,20,10,10,true
pool_random_omens,pool_random_omens_page,功法残页·宝品下品,宝品下品,45,1,1,true
pool_random_omens,pool_random_omens_blue,稀有图纸·宝品中品,宝品中品,35,1,1,true
pool_random_omens,pool_random_omens_ling,灵石·额外,固定数值,20,5,5,true
pool_random_urgent,pool_random_urgent_luck,气运·大量,固定数值,45,1,1,true
pool_random_urgent,pool_random_urgent_def,防御道具·王品下品,王品下品,35,2,2,true
pool_random_urgent,pool_random_urgent_ling,灵石·额外,固定数值,20,5,5,true
pool_newbie,pool_newbie_raw,基础材料·凡品下品,凡品下品,50,20,20,true
pool_newbie,pool_newbie_pill,丹药符箓·凡品中品,凡品中品,25,10,10,true
pool_newbie,pool_newbie_ling,灵石·额外,固定数值,15,5,5,true
pool_newbie,pool_newbie_frag,材料碎片·凡品上品,凡品上品,8,3,3,true
pool_newbie,pool_newbie_luck,气运·微量,固定数值,2,1,1,true
