quest_id,quest_name,quest_type,unlock_sect_level,difficulty,target_desc,target_num,reward_lingjing,reward_lingqi,reward_pool_id,reward_chest_id,weekly_active_point,weekly_limit,is_auto_complete,condition_type,condition_param
weekly_001,境界突破升华,深度养成,2,难度Ⅱ,将任意1名弟子境界提升1小层,1,1200,480,pool_weekly_1,chest_weekly,5,1,true,breakthrough,
weekly_005,秘境深入,高阶玩法,3,难度Ⅲ,通关2次完整秘境,2,1560,624,pool_weekly_2,chest_weekly,5,1,true,clear_stage,完整
weekly_006,宗门战争支援,高阶玩法,4,难度Ⅳ,参与1次宗门战争或防御战,1,2160,864,pool_weekly_3,chest_weekly,5,1,true,zongmen_battle,
weekly_008,产业扩张,宗门经营,2,难度Ⅱ,产业殿阁累计升阶2次,2,1200,480,pool_weekly_1,chest_weekly,5,1,true,upgrade_building,
weekly_009,丹道大成,宗门经营,3,难度Ⅲ,炼制10炉对应品阶丹药,10,1560,624,pool_weekly_2,chest_weekly,5,1,true,refine_pill,
weekly_011,炼器大师,炼器,3,难度Ⅲ,累计炼制10件凡品以上装备,10,1560,624,pool_weekly_2,chest_weekly,5,1,true,forge_equipment,
weekly_012,神兵初成,炼器,4,难度Ⅳ,炼制出1件灵品装备,1,2160,864,pool_weekly_3,chest_weekly,5,1,true,forge_equipment,灵品
weekly_014,功法收藏家,功法,3,难度Ⅲ,累计收集10本不同功法,10,1560,624,pool_weekly_2,chest_weekly,5,1,true,learn_gongfa,
weekly_017,阵道宗师,阵法,4,难度Ⅳ,累计布置5个不同阵法,5,2160,864,pool_weekly_3,chest_weekly,5,1,true,deploy_zhenfa,
weekly_021,广结善缘,社交,3,难度Ⅲ,累计添加10名道友,10,1560,624,pool_weekly_2,chest_weekly,5,1,true,add_friend,
