entry_id,entry_name,entry_category,value_type,tier_grade,base_value,value_grow_per_lv,apply_slots,rarity,weight_common,weight_rare,weight_epic
ent_001,攻击力提升,攻击类,百分比,T1灵品,3%,0.5%,"武器,饰品",普通,80,20,5
ent_002,攻击力提升,攻击类,百分比,T2宝品,6%,1%,"武器,饰品",稀有,30,60,20
ent_003,攻击力提升,攻击类,百分比,T3王品,11%,1.5%,"武器,饰品",史诗,5,25,50
ent_004,暴击率提升,攻击类,百分比,T1灵品,2%,0.3%,"武器,饰品",稀有,15,40,10
ent_005,暴击率提升,攻击类,百分比,T2宝品,4%,0.6%,"武器,饰品",史诗,5,20,35
ent_006,暴击伤害提升,攻击类,百分比,T2宝品,10%,2%,"武器,饰品",稀有,20,45,15
ent_007,破甲穿透,攻击类,百分比,T2宝品,5%,0.8%,武器,史诗,10,30,25
ent_008,防御力提升,防御类,百分比,T1灵品,4%,0.6%,"防具,饰品",普通,75,25,8
ent_009,防御力提升,防御类,百分比,T2宝品,8%,1.2%,"防具,饰品",稀有,35,55,18
ent_010,气血上限提升,生存类,百分比,T1灵品,5%,0.8%,"防具,饰品",普通,70,30,10
ent_011,气血上限提升,生存类,百分比,T2宝品,10%,1.5%,"防具,饰品",稀有,30,50,20
ent_012,全局减伤,生存类,百分比,T2宝品,3%,0.5%,防具,史诗,8,22,30
ent_013,灵力上限提升,功能类,百分比,T1灵品,6%,0.7%,饰品,普通,60,20,5
ent_014,命中提升,功能类,百分比,T1灵品,3%,0.4%,"武器,饰品",普通,65,25,8
ent_015,闪避提升,功能类,百分比,T2宝品,4%,0.5%,"防具,饰品",稀有,20,40,15
ent_016,修炼速度加成,功能类,百分比,T2宝品,3%,0.4%,饰品,史诗,5,15,20
ent_017,突破成功率加成,功能类,百分比,T3王品,2%,0.3%,饰品,传说,2,8,15
ent_018,全属性提升,综合类,百分比,T3王品,5%,0.8%,饰品,史诗,3,12,25
ent_019,技能冷却缩减,功能类,百分比,T4圣品,8%,1%,武器,传说,1,5,10
ent_020,真实伤害附加,攻击类,百分比,T5道品,5%,0.6%,武器,传说,0,2,5
