bounty_id,bounty_name,bounty_type,difficulty,require_realm,require_count,require_power,duration_days,reward_tier,base_will,description
sb_c01,征集灵草,collect,1,练气,10,120,3,凡阶,0.5,宗门药田歉收需向弟子征集灵草十株以充库藏
sb_c02,采办玄铁,collect,2,筑基,8,400,5,灵阶,0.5,器堂开炉在即需玄精铁八块以供炼器之用
sb_c03,搜罗灵材,collect,3,金丹,6,1500,8,宝阶,0.55,高阶灵材稀缺凡有所得宗门愿以宝阶之物相易
sb_c04,求购丹药,collect,4,元婴,4,4000,12,王阶,0.55,疗伤丹药消耗甚巨宗门高价求购成丹四枚
sb_c05,征集仙珍,collect,5,化神,3,12000,18,圣阶,0.6,仙阶以下珍材皆可宗门以圣阶重宝酬谢
sb_h01,清剿妖兽,hunt,1,练气,1,120,3,凡阶,0.7,后山妖兽滋扰山门凡斩一头者记功一次
sb_h02,肃清匪患,hunt,2,筑基,1,400,5,灵阶,0.7,山下匪类劫掠凡俗宗门遣弟子清剿以安民心
sb_h03,斩除妖王,hunt,3,金丹,1,1500,8,宝阶,0.75,千年妖王盘踞灵脉宗门悬赏取其首级
sb_h04,荡平魔窟,hunt,4,元婴,1,4000,12,王阶,0.8,魔道余孽据窟为巢宗门欲一鼓荡平
sb_h05,诛灭凶兽,hunt,5,化神,1,12000,18,圣阶,0.85,上古凶兽出没非化神以上不可敌宗门重赏募勇
sb_d01,联络邻宗,diplomacy,1,练气,1,120,3,凡阶,0.4,遣弟子携礼往邻宗问候以修旧好
sb_d02,招揽散修,diplomacy,2,筑基,1,400,5,灵阶,0.45,云游招揽散修入宗凡引一人者记功
sb_d03,缔结盟约,diplomacy,3,金丹,1,1500,8,宝阶,0.45,与正道诸门缔结攻守同盟需善辩之士往
sb_d04,交涉妖族,diplomacy,4,元婴,1,4000,12,王阶,0.4,妖族领地叩关须遣使者交涉以弭兵祸
sb_d05,朝觐王都,diplomacy,5,化神,1,12000,18,圣阶,0.45,中州王都设宴邀天下宗门需重臣为使赴会
