stage,resource,daily_consumption,unit,core_direction
练气期,灵石,420,灵石/日,建筑升级·弟子基础修炼
练气期,灵气,180,灵气/日,建筑升级·弟子基础修炼
练气期,基础原材料,25,份/日,建筑升级·弟子基础修炼
练气期,成品丹药,4,颗/日,建筑升级·弟子基础修炼
筑基期,灵石,1300,灵石/日,弟子突破·产业升级·丹房扩产
筑基期,灵气,550,灵气/日,弟子突破·产业升级·丹房扩产
筑基期,基础原材料,70,份/日,弟子突破·产业升级·丹房扩产
筑基期,成品丹药,10,颗/日,弟子突破·产业升级·丹房扩产
金丹期,灵石,3600,灵石/日,法宝养成·高阶建筑·秘境消耗
金丹期,灵气,1700,灵气/日,法宝养成·高阶建筑·秘境消耗
金丹期,基础原材料,180,份/日,法宝养成·高阶建筑·秘境消耗
金丹期,成品丹药,26,颗/日,法宝养成·高阶建筑·秘境消耗
元婴期,灵石,9200,灵石/日,本命法宝·宗门扩张·高阶突破
元婴期,灵气,4800,灵气/日,本命法宝·宗门扩张·高阶突破
元婴期,基础原材料,460,份/日,本命法宝·宗门扩张·高阶突破
元婴期,成品丹药,65,颗/日,本命法宝·宗门扩张·高阶突破
化神期,灵石,23000,灵石/日,本命法宝·宗门扩张·高阶突破
化神期,灵气,12000,灵气/日,本命法宝·宗门扩张·高阶突破
化神期,基础原材料,1150,份/日,本命法宝·宗门扩张·高阶突破
化神期,成品丹药,162,颗/日,本命法宝·宗门扩张·高阶突破
炼虚期,灵石,57500,灵石/日,本命法宝·宗门扩张·高阶突破
炼虚期,灵气,30000,灵气/日,本命法宝·宗门扩张·高阶突破
炼虚期,基础原材料,2875,份/日,本命法宝·宗门扩张·高阶突破
炼虚期,成品丹药,405,颗/日,本命法宝·宗门扩张·高阶突破
合体期,灵石,144000,灵石/日,本命法宝·宗门扩张·高阶突破
合体期,灵气,75000,灵气/日,本命法宝·宗门扩张·高阶突破
合体期,基础原材料,7188,份/日,本命法宝·宗门扩张·高阶突破
合体期,成品丹药,1012,颗/日,本命法宝·宗门扩张·高阶突破
大乘期,灵石,360000,灵石/日,本命法宝·宗门扩张·高阶突破
大乘期,灵气,188000,灵气/日,本命法宝·宗门扩张·高阶突破
大乘期,基础原材料,18000,份/日,本命法宝·宗门扩张·高阶突破
大乘期,成品丹药,2530,颗/日,本命法宝·宗门扩张·高阶突破
渡劫期,灵石,900000,灵石/日,本命法宝·宗门扩张·高阶突破
渡劫期,灵气,470000,灵气/日,本命法宝·宗门扩张·高阶突破
渡劫期,基础原材料,45000,份/日,本命法宝·宗门扩张·高阶突破
渡劫期,成品丹药,6325,颗/日,本命法宝·宗门扩张·高阶突破
