skill_id,skill_name,profession,skill_type,unlock_realm,damage_rate,effect_type,effect_value,cooldown,mp_cost,target_type
sk_ti_01,重拳,体修,普攻,初始,1.0,伤害,1.0,0,0,敌方前排单体
sk_ti_02,磐石护盾,体修,主动,筑基,0,护盾,0.15,2,15,自身
sk_ti_03,裂山反击,体修,主动,金丹,0,反击,0.8,3,25,自身
sk_ti_04,厚土之躯,体修,被动天赋,金丹,0,减伤,0.08,0,0,自身
sk_ti_05,山岳镇压,体修,主动,元婴,1.2,伤害+控制,0.3,5,40,敌方前排全体
sk_dao_01,飞剑刺,道修,普攻,初始,1.0,伤害,1.0,0,0,敌方单体
sk_dao_02,破甲剑诀,道修,主动,筑基,1.3,伤害+破甲,0.1,2,15,敌方单体
sk_dao_03,玄金斩,道修,主动,金丹,1.8,伤害+暴击,0.2,3,25,敌方单体
sk_dao_04,剑道通神,道修,被动天赋,金丹,0,暴伤,0.15,0,0,自身
sk_dao_05,万剑归宗,道修,主动,元婴,1.1,伤害,0.5,5,40,敌方全体
sk_fa_01,火球术,法修,普攻,初始,1.0,伤害,1.0,0,0,敌方单体
sk_fa_02,烈焰波动,法修,主动,筑基,0.9,伤害+灼烧,0.05,2,15,敌方前排全体
sk_fa_03,寒冰禁锢,法修,主动,金丹,1.2,伤害+冰冻,0.4,3,25,敌方单体
sk_fa_04,灵根共鸣,法修,被动天赋,金丹,0,增伤,0.12,0,0,自身
sk_fa_05,天火燎原,法修,主动,元婴,1.4,伤害+灼烧,1.0,5,40,敌方全体
