skill_id,skill_name,grade,sub_grade,apply_class,skill_type,effect_value,max_level,unlock_realm,learn_cost
sk_001,凡品下品斩风诀,凡品,下品,通用,攻击,2%,9,练气初期,150
sk_002,凡品中品寒冰锁,凡品,中品,体修,控制,2.6%,9,练气初期,180
sk_003,凡品上品守元术,凡品,上品,道修,辅助防御,3.4%,9,练气初期,215
sk_004,凡品极品太初经,凡品,极品,法修,通用,4.2%,9,练气初期,260
sk_005,凡品下品斩风诀,凡品,下品,通用,攻击,2%,9,练气初期,150
sk_006,凡品中品寒冰锁,凡品,中品,体修,控制,2.6%,9,练气初期,180
sk_007,灵品下品寒冰锁,灵品,下品,体修,控制,5%,9,筑基初期,300
sk_008,灵品中品守元术,灵品,中品,道修,辅助防御,6.5%,9,筑基初期,360
sk_009,灵品上品太初经,灵品,上品,法修,通用,8%,9,筑基初期,430
sk_010,灵品极品斩风诀,灵品,极品,通用,攻击,9.5%,9,筑基初期,515
sk_011,灵品下品寒冰锁,灵品,下品,体修,控制,5%,9,筑基初期,300
sk_012,灵品中品守元术,灵品,中品,道修,辅助防御,6.5%,9,筑基初期,360
sk_013,宝品下品守元术,宝品,下品,道修,辅助防御,10%,9,金丹初期,600
sk_014,宝品中品太初经,宝品,中品,法修,通用,12.5%,9,金丹初期,720
sk_015,宝品上品斩风诀,宝品,上品,通用,攻击,15.5%,9,金丹初期,865
sk_016,宝品极品寒冰锁,宝品,极品,体修,控制,19%,9,金丹初期,1035
sk_017,宝品下品守元术,宝品,下品,道修,辅助防御,10%,9,金丹初期,600
sk_018,宝品中品太初经,宝品,中品,法修,通用,12.5%,9,金丹初期,720
sk_019,王品下品太初经,王品,下品,法修,通用,22%,9,元婴初期,1200
sk_020,王品中品斩风诀,王品,中品,通用,攻击,26%,9,元婴初期,1440
sk_021,王品上品寒冰锁,王品,上品,体修,控制,30%,9,元婴初期,1730
sk_022,王品极品守元术,王品,极品,道修,辅助防御,35%,9,元婴初期,2075
sk_023,王品下品太初经,王品,下品,法修,通用,22%,9,元婴初期,1200
sk_024,王品中品斩风诀,王品,中品,通用,攻击,26%,9,元婴初期,1440
sk_025,圣品下品斩风诀,圣品,下品,通用,攻击,38%,9,化神初期,2400
sk_026,圣品中品寒冰锁,圣品,中品,体修,控制,44%,9,化神初期,2880
sk_027,圣品上品守元术,圣品,上品,道修,辅助防御,50%,9,化神初期,3455
sk_028,圣品极品太初经,圣品,极品,法修,通用,58%,9,化神初期,4145
sk_029,圣品下品斩风诀,圣品,下品,通用,攻击,38%,9,化神初期,2400
sk_030,真品下品寒冰锁,真品,下品,体修,控制,62%,9,炼虚初期,4800
sk_031,真品中品守元术,真品,中品,道修,辅助防御,70%,9,炼虚初期,5760
sk_032,真品上品太初经,真品,上品,法修,通用,80%,9,炼虚初期,6910
sk_033,真品极品斩风诀,真品,极品,通用,攻击,90%,9,炼虚初期,8290
sk_034,真品下品寒冰锁,真品,下品,体修,控制,62%,9,炼虚初期,4800
sk_035,道品下品守元术,道品,下品,道修,辅助防御,100%,9,合体初期,9600
sk_036,道品中品太初经,道品,中品,法修,通用,115%,9,合体初期,11520
sk_037,道品上品斩风诀,道品,上品,通用,攻击,130%,9,合体初期,13820
sk_038,道品极品寒冰锁,道品,极品,体修,控制,150%,9,合体初期,16580
sk_039,道品下品守元术,道品,下品,道修,辅助防御,100%,9,合体初期,9600
