array_id,array_name,grade,sub_grade,level,unlock_sect_level,cultivate_bonus,herb_grow_bonus,pill_success_bonus,forge_success_bonus,daily_cost,upgrade_lingstone,upgrade_material,upgrade_days,max_cover
sa01,基础聚灵阵,凡品,下品,1,2,0.05,0.04,0.02,0.02,20,500,g002:20|g003:10,1,3
sa02,基础聚灵阵,凡品,中品,2,3,0.06,0.05,0.03,0.03,50,1500,g010:30|g003:20,2,5
sa03,基础聚灵阵,凡品,上品,3,4,0.07,0.06,0.04,0.04,120,4000,g010:50|g013:10,3,8
sa04,基础聚灵阵,凡品,极品,4,5,0.08,0.07,0.05,0.05,280,10000,g013:30|g016:5,4,12
sa05,玄灵聚灵阵,灵品,下品,5,6,0.09,0.08,0.06,0.06,600,25000,g016:15|g017:3,5,16
sa06,玄灵聚灵阵,灵品,中品,6,7,0.10,0.09,0.07,0.07,1200,60000,g016:30|g017:8,7,20
sa07,玄灵聚灵阵,灵品,上品,7,8,0.10,0.10,0.08,0.08,2500,150000,g017:20|g018:5,10,25
sa08,玄灵聚灵阵,灵品,极品,8,9,0.10,0.10,0.09,0.09,5000,350000,g018:15|g017:40,15,30
sa09,宝鉴聚灵阵,宝品,下品,9,10,0.10,0.10,0.10,0.10,10000,800000,g018:40|g016:100,20,40
sa10,宝鉴聚灵阵,宝品,中品,10,11,0.10,0.10,0.10,0.10,20000,2000000,g018:100|g017:80,30,50
