stage_id,chapter,stage_name,node_type,unlock_condition,recommend_power,monster_ids,stamina_cost,daily_limit,first_reward_type,first_reward_id,first_reward_num,repeat_drop_pool,difficulty_factor,fail_reduce_enable,designer_note
S101,1,第1章一·节点1,normal,sect_level>=1,171,M101,5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第1关 normal
S102,1,第1章一·节点2,normal,pre_stage=S101,182,M102,5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第2关 normal
S103,1,第1章一·节点3,normal,pre_stage=S102,191,M103,5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第3关 normal
S104,1,第1章一·节点4,normal,pre_stage=S103,325,"M101,M104",5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第4关 normal
S105,1,第1章一·节点5,elite,pre_stage=S104,261,M105,10,3,res,spirit_stone,80,dp_ch1_elite,1.2,true,第1章第5关 elite
S106,1,第1章一·节点6,treasure,pre_stage=S105,0,,3,0,res,mat_1,40,dp_ch1_treasure,1.0,true,第1章第6关 treasure
S107,1,第1章一·节点7,normal,pre_stage=S106,390,"M103,M106",5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第7关 normal
S108,1,第1章一·节点8,normal,pre_stage=S107,336,"M102,M104",5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第8关 normal
S109,1,第1章一·节点9,normal,pre_stage=S108,217,M107,5,0,res,spirit_stone,30,dp_ch1_normal,0.9,true,第1章第9关 normal
S110,1,第1章一·节点10,boss,pre_stage=S109,393,M110,15,0,res,spirit_stone,200,dp_ch1_boss,1.8,true,第1章第10关 boss
S201,2,第2章二·节点1,normal,sect_level>=2;pre_stage=S110,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第1关 normal
S202,2,第2章二·节点2,normal,pre_stage=S201,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第2关 normal
S203,2,第2章二·节点3,normal,pre_stage=S202,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第3关 normal
S204,2,第2章二·节点4,normal,pre_stage=S203,850,"M2PH,M2PH",5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第4关 normal
S205,2,第2章二·节点5,elite,pre_stage=S204,425,M2PH,10,3,res,spirit_stone,120,dp_ch2_elite,1.2,true,第2章第5关 elite
S206,2,第2章二·节点6,treasure,pre_stage=S205,0,,3,0,res,mat_1,60,dp_ch2_treasure,1.0,true,第2章第6关 treasure
S207,2,第2章二·节点7,normal,pre_stage=S206,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第7关 normal
S208,2,第2章二·节点8,normal,pre_stage=S207,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第8关 normal
S209,2,第2章二·节点9,normal,pre_stage=S208,425,M2PH,5,0,res,spirit_stone,60,dp_ch2_normal,0.9,true,第2章第9关 normal
S210,2,第2章二·节点10,boss,pre_stage=S209,662,M2BOSS,15,0,res,spirit_stone,300,dp_ch2_boss,1.8,true,第2章第10关 boss
S301,3,第3章三·节点1,normal,sect_level>=3;pre_stage=S210,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第1关 normal
S302,3,第3章三·节点2,normal,pre_stage=S301,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第2关 normal
S303,3,第3章三·节点3,normal,pre_stage=S302,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第3关 normal
S304,3,第3章三·节点4,normal,pre_stage=S303,1324,"M3PH,M3PH",5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第4关 normal
S305,3,第3章三·节点5,elite,pre_stage=S304,662,M3PH,10,3,res,spirit_stone,160,dp_ch3_elite,1.2,true,第3章第5关 elite
S306,3,第3章三·节点6,treasure,pre_stage=S305,0,,3,0,res,mat_1,80,dp_ch3_treasure,1.0,true,第3章第6关 treasure
S307,3,第3章三·节点7,normal,pre_stage=S306,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第7关 normal
S308,3,第3章三·节点8,normal,pre_stage=S307,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第8关 normal
S309,3,第3章三·节点9,normal,pre_stage=S308,662,M3PH,5,0,res,spirit_stone,100,dp_ch3_normal,0.9,true,第3章第9关 normal
S310,3,第3章三·节点10,boss,pre_stage=S309,1010,M3BOSS,15,0,res,spirit_stone,400,dp_ch3_boss,1.8,true,第3章第10关 boss
