阶,key,中文名,类型,数值下限,数值上限
灵阶,fu_zhan_ling,灵符锐意,战力,6,18
宝阶,fu_zhan_bao,宝符护体,战力,18,48
宝阶,fu_xiu_bao,宝符通玄,修炼,0.05,0.09
王阶,fu_zhan_wang,王符镇煞,战力,48,120
王阶,fu_xiu_wang,王符悟道,修炼,0.06,0.12
王阶,fu_tupo_wang,王符破障,突破,0.012,0.03
圣阶,fu_zhan_sheng,圣符威严,战力,90,210
圣阶,fu_xiu_sheng,圣符明心,修炼,0.07,0.13
圣阶,fu_tupo_sheng,圣符通玄,突破,0.024,0.048
仙阶,fu_zhan_xian,仙符绝世,战力,180,360
仙阶,fu_xiu_xian,仙符灵悟,修炼,0.09,0.17
仙阶,fu_tupo_xian,仙符天成,突破,0.03,0.06
道阶,fu_zhan_dao,道符盖世,战力,360,720
道阶,fu_xiu_dao,道符自然,修炼,0.11,0.21
道阶,fu_tupo_dao,道符通玄,突破,0.036,0.072
