title_id,title_name,quality,target,type,condition_type,condition_param,description,bonus_type,bonus_value,sort_order
T001,初入仙门,凡品,弟子,修为,境界,练气,初踏仙途，炼气问道，,战力,10,1
T002,筑基修士,凡品,弟子,修为,境界,筑基,筑基有成，道基初固，,战力,50,2
T003,金丹真人,灵品,弟子,修为,境界,金丹,金丹大道，寿元五百，,战力,200,3
T004,元婴老祖,宝品,弟子,修为,境界,元婴,元婴出窍，威震一方，,战力,800,4
T005,化神天尊,王品,弟子,修为,境界,化神,化神返虚，天尊之资，,战力,3000,5
T006,炼虚大能,帝品,弟子,修为,境界,炼虚,炼虚合道，大能临世，,战力,10000,6
T007,外门弟子,凡品,弟子,职位,职位,外门,宗门外门，潜心修炼，,修炼速度,0.02,10
T008,内门弟子,凡品,弟子,职位,职位,内门弟子,宗门内门，得享资源，,修炼速度,0.05,11
T009,核心弟子,灵品,弟子,职位,职位,核心弟子,宗门核心，重点培养，,修炼速度,0.1,12
T010,亲传弟子,灵品,弟子,职位,职位,亲传弟子,宗主亲传，道统传人，,修炼速度,0.15,13
T011,执法长老,宝品,弟子,职位,职位,长老,宗门长老，执掌一殿，,突破率,0.05,14
T012,一峰之主,王品,弟子,职位,职位,峰主,峰主之尊，坐镇一方，,突破率,0.1,15
T013,副宗主,王品,弟子,职位,职位,副宗主,副宗主，代掌宗门，,突破率,0.15,16
T014,丹徒,凡品,弟子,技艺,丹道,1,初入丹道，识药辨性，,悟道,1,20
T015,丹师,灵品,弟子,技艺,丹道,2,丹道小成，可炼灵丹，,悟道,3,21
T016,丹王,宝品,弟子,技艺,丹道,3,丹道宗师，万丹朝宗，,悟道,5,22
T017,丹神,帝品,弟子,技艺,丹道,4,丹道通神，夺天地造化，,悟道,10,23
T018,器徒,凡品,弟子,技艺,器道,1,初入器道，识矿辨材，,战力,20,24
T019,器师,灵品,弟子,技艺,器道,2,器道小成，可炼法宝，,战力,80,25
T020,器王,宝品,弟子,技艺,器道,3,器道宗师，万器朝宗，,战力,300,26
T021,器神,帝品,弟子,技艺,器道,4,器道通神，炼先天灵宝，,战力,1000,27
T022,斩妖士,凡品,弟子,战斗,斩妖,1,斩杀妖兽，守护一方，,战力,30,30
T023,除魔使,灵品,弟子,战斗,斩妖,10,斩杀魔族，正道栋梁，,战力,100,31
T024,战神,宝品,弟子,战斗,斩妖,50,百战百胜，战神之名，,战力,500,32
T025,宗门守护者,王品,弟子,战斗,守护,1,兽潮来袭时守住宗门，,战力,1000,33
T026,桃李满门,宝品,弟子,特殊,收徒,10,门下弟子十人，传道授业，,修炼速度,0.08,41
T027,百岁高龄,灵品,弟子,特殊,年龄,100,修真百年，见多识广，,悟道,2,42
T028,大器晚成,宝品,弟子,特殊,晚成,1,五十岁后突破金丹，大器晚成，,突破率,0.1,44
M001,开宗始祖,帝品,宗主,宗门,default,,开宗立派，道统初传，万世之基，,全宗修炼,0.05,1
M002,凝道真君,凡品,宗主,修为,境界,筑基,宗主筑基，凝道成真，道基永固，,全宗修炼,0.02,2
M003,紫金道君,灵品,宗主,修为,境界,金丹,宗主金丹，紫金缠身，寿元五百，,全宗修炼,0.05,3
M004,元婴真君,宝品,宗主,修为,境界,元婴,宗主元婴，元神出窍，威震天下，,全宗修炼,0.1,4
M005,返虚天尊,王品,宗主,修为,境界,化神,宗主化神，返虚合道，天尊之资，,全宗修炼,0.15,5
M006,合道仙尊,帝品,宗主,修为,境界,炼虚,宗主炼虚，合道成真，仙尊临世，,全宗修炼,0.2,6
M007,中兴之主,宝品,宗主,宗门,等级,5,宗门等级达到5级，中兴之主，,全宗产出,0.1,10
M008,威震八方,王品,宗主,宗门,声望,2000,宗门声望达到2000，威震八方，,全宗战力,0.1,11
M009,道统传人,帝品,宗主,宗门,等级,10,宗门等级达到10级，道统传人，,全宗修炼,0.15,12
M010,天命之子,帝品,宗主,特殊,奇遇,1,得遇奇遇，天命所归，,全属性,0.1,20
M011,桃李天下,王品,宗主,特殊,弟子,50,门下弟子五十人，桃李满天下，,全宗突破,0.05,21
M012,丹道至尊,宝品,宗主,技艺,丹道,3,宗主丹道至尊，万丹朝宗，,全宗悟道,0.1,22
M013,器道至尊,宝品,宗主,技艺,器道,3,宗主器道至尊，万器朝宗，,全宗战力,0.05,23
