innate_id,innate_name,grade,sub_grade,apply_class,active_skill,passive_effect,growth_value,max_level,sacrifice_material
inn_001,宝品下品本命剑,宝品,下品,道修,专属主动技·剑斩,全属性成长,10%,17,灵晶×7
inn_002,宝品中品本命塔,宝品,中品,法修,专属主动技·塔镇,全属性成长,12.5%,17,灵晶×7
inn_003,宝品上品本命镜,宝品,上品,通用,专属主动技·镜照,全属性成长,15.5%,17,灵晶×7
inn_004,宝品极品本命幡,宝品,极品,体修,专属主动技·幡卷,全属性成长,19%,17,灵晶×7
inn_005,宝品下品本命珠,宝品,下品,道修,专属主动技·珠落,全属性成长,10%,17,灵晶×7
inn_006,王品中品本命剑,王品,中品,通用,专属主动技·剑斩,全属性成长,26%,18,灵髓×8
inn_007,王品上品本命塔,王品,上品,体修,专属主动技·塔镇,全属性成长,30%,18,灵髓×8
inn_008,王品极品本命镜,王品,极品,道修,专属主动技·镜照,全属性成长,35%,18,灵髓×8
inn_009,王品下品本命幡,王品,下品,法修,专属主动技·幡卷,全属性成长,22%,18,灵髓×8
inn_010,王品中品本命珠,王品,中品,通用,专属主动技·珠落,全属性成长,26%,18,灵髓×8
inn_011,圣品上品本命剑,圣品,上品,道修,专属主动技·剑斩,全属性成长,50%,19,圣晶×9
inn_012,圣品极品本命塔,圣品,极品,法修,专属主动技·塔镇,全属性成长,58%,19,圣晶×9
inn_013,圣品下品本命镜,圣品,下品,通用,专属主动技·镜照,全属性成长,38%,19,圣晶×9
inn_014,圣品中品本命幡,圣品,中品,体修,专属主动技·幡卷,全属性成长,44%,19,圣晶×9
inn_015,圣品上品本命珠,圣品,上品,道修,专属主动技·珠落,全属性成长,50%,19,圣晶×9
inn_016,仙品极品本命剑,仙品,极品,通用,专属主动技·剑斩,全属性成长,90%,20,道晶×10
inn_017,仙品下品本命塔,仙品,下品,体修,专属主动技·塔镇,全属性成长,62%,20,道晶×10
inn_018,仙品中品本命镜,仙品,中品,道修,专属主动技·镜照,全属性成长,70%,20,道晶×10
inn_019,仙品上品本命幡,仙品,上品,法修,专属主动技·幡卷,全属性成长,80%,20,道晶×10
inn_020,仙品极品本命珠,仙品,极品,通用,专属主动技·珠落,全属性成长,90%,20,道晶×10
inn_021,道品下品本命剑,道品,下品,道修,专属主动技·剑斩,全属性成长,100%,21,道则核心×11
inn_022,道品中品本命塔,道品,中品,法修,专属主动技·塔镇,全属性成长,115%,21,道则核心×11
inn_023,道品上品本命镜,道品,上品,通用,专属主动技·镜照,全属性成长,130%,21,道则核心×11
inn_024,道品极品本命幡,道品,极品,体修,专属主动技·幡卷,全属性成长,150%,21,道则核心×11
inn_025,道品下品本命珠,道品,下品,道修,专属主动技·珠落,全属性成长,100%,21,道则核心×11
