treasure_id,treasure_name,grade,sub_grade,treasure_type,base_atk,base_def,base_hp,passive_effect,effect_value,sell_price
tr_001,凡品下品赤焰珠,凡品,下品,攻击类,8,2,4,攻击力提升,2%,5
tr_002,凡品中品玄武镜,凡品,中品,防御类,2,10,19,防御减伤提升,2.6%,8
tr_003,凡品上品聚灵葫,凡品,上品,辅助类,3,3,6,速度/灵力回复提升,3.4%,12
tr_004,凡品极品赤焰珠,凡品,极品,攻击类,17,4,8,攻击力提升,4.2%,18
tr_005,灵品下品玄武镜,灵品,下品,防御类,5,20,39,防御减伤提升,5%,40
tr_006,灵品中品聚灵葫,灵品,中品,辅助类,6,6,13,速度/灵力回复提升,6.5%,60
tr_007,灵品上品赤焰珠,灵品,上品,攻击类,35,8,17,攻击力提升,8%,90
tr_008,灵品极品玄武镜,灵品,极品,防御类,11,45,85,防御减伤提升,9.5%,130
tr_009,宝品下品聚灵葫,宝品,下品,辅助类,14,14,28,速度/灵力回复提升,10%,150
tr_010,宝品中品赤焰珠,宝品,中品,攻击类,72,18,36,攻击力提升,12.5%,220
tr_011,宝品上品玄武镜,宝品,上品,防御类,23,94,177,防御减伤提升,15.5%,320
tr_012,宝品极品聚灵葫,宝品,极品,辅助类,30,30,61,速度/灵力回复提升,19%,450
tr_013,王品下品赤焰珠,王品,下品,攻击类,152,38,76,攻击力提升,22%,700
tr_014,王品中品玄武镜,王品,中品,防御类,49,197,370,防御减伤提升,26%,1000
tr_015,王品上品聚灵葫,王品,上品,辅助类,64,64,128,速度/灵力回复提升,30%,1500
tr_016,王品极品赤焰珠,王品,极品,攻击类,333,83,166,攻击力提升,35%,2200
tr_017,圣品下品玄武镜,圣品,下品,防御类,108,432,810,防御减伤提升,38%,3500
tr_018,圣品中品聚灵葫,圣品,中品,辅助类,140,140,280,速度/灵力回复提升,44%,5000
tr_019,圣品上品赤焰珠,圣品,上品,攻击类,730,182,365,攻击力提升,50%,7000
tr_020,圣品极品玄武镜,圣品,极品,防御类,237,949,1780,防御减伤提升,58%,10000
tr_021,仙品下品聚灵葫,仙品,下品,辅助类,308,308,617,速度/灵力回复提升,62%,15000
tr_022,仙品中品赤焰珠,仙品,中品,攻击类,1604,401,802,攻击力提升,70%,22000
tr_023,仙品上品玄武镜,仙品,上品,防御类,521,2086,3912,防御减伤提升,80%,32000
tr_024,仙品极品聚灵葫,仙品,极品,辅助类,678,678,1356,速度/灵力回复提升,90%,46000
tr_025,道品下品赤焰珠,道品,下品,攻击类,3525,881,1762,攻击力提升,100%,70000
tr_026,道品中品玄武镜,道品,中品,防御类,1146,4584,8595,防御减伤提升,115%,100000
tr_027,道品上品聚灵葫,道品,上品,辅助类,1489,1489,2979,速度/灵力回复提升,130%,150000
tr_028,道品极品赤焰珠,道品,极品,攻击类,7747,1936,3873,攻击力提升,150%,220000
tr_029,凡品下品玄武镜·异,凡品,下品,防御类,2,8,15,防御减伤提升,2%,5
tr_030,灵品上品玄武镜·异,灵品,上品,防御类,8,35,66,防御减伤提升,8%,90
tr_031,凡品下品玄武镜·异,凡品,下品,防御类,2,8,15,防御减伤提升,2%,5
tr_032,灵品上品玄武镜·异,灵品,上品,防御类,8,35,66,防御减伤提升,8%,90
tr_033,凡品下品玄武镜·异,凡品,下品,防御类,2,8,15,防御减伤提升,2%,5
tr_034,灵品上品玄武镜·异,灵品,上品,防御类,8,35,66,防御减伤提升,8%,90
tr_035,凡品下品玄武镜·异,凡品,下品,防御类,2,8,15,防御减伤提升,2%,5
tr_036,灵品上品玄武镜·异,灵品,上品,防御类,8,35,66,防御减伤提升,8%,90
