图录ID,类别,匹配名,名称,描述,增益值,是否稀有,捐赠声望
ZF01,阵法图谱,五行聚灵阵图,五行聚灵阵图,聚灵之阵图,0.04,否,0
ZF02,阵法图谱,三才守御阵图,三才守御阵图,守御之阵图,0.04,否,0
ZF03,阵法图谱,两仪协攻阵图,两仪协攻阵图,协攻之阵图,0.04,否,0
ZF04,阵法图谱,九转回春阵图,九转回春阵图,回春之阵图,0.04,否,0
ZF05,阵法图谱,五岳镇魔阵图,五岳镇魔阵图,镇魔之阵图,0.04,否,0
ZF06,阵法图谱,周天同心阵图,周天同心阵图,同心之阵图,0.04,否,0
ZF07,阵法图谱,周天混元阵图,周天混元阵图,混元之阵图,0.04,否,0
ZF08,阵法图谱,四象聚灵阵图,四象聚灵阵图,四象阵图,0.04,否,0
ZF09,阵法图谱,太虚护体阵图,太虚护体阵图,护体之阵图,0.04,否,0
ZF10,阵法图谱,护山大阵图,护山大阵图,护山之阵图,0.04,否,0
ZF11,阵法图谱,灵泉涌动阵图,灵泉涌动阵图,灵泉之阵图,0.04,否,0
ZF12,阵法图谱,玄空传送阵图,玄空传送阵图,传送之阵图,0.04,否,0
ZF13,阵法图谱,玄龟守元阵图,玄龟守元阵图,守元之阵图,0.04,否,0
ZF14,阵法图谱,疾风掠影阵图,疾风掠影阵图,疾风之阵图,0.04,否,0
ZF15,阵法图谱,破妄锐金阵图,破妄锐金阵图,锐金之阵图,0.04,否,0
ZF16,阵法图谱,聚灵大阵图,聚灵大阵图,聚灵大阵图,0.04,否,0
ZF17,阵法图谱,迷踪幻影阵图,迷踪幻影阵图,幻影之阵图,0.04,否,0
ZF18,阵法图谱,镇煞安宗阵图,镇煞安宗阵图,镇煞安宗之阵图,0.04,是,50
TC01,天材地宝,灵材,灵材,天地灵材,0.03,否,0
TC02,天材地宝,阵纹碎片,阵纹碎片,阵法核心材料,0.03,否,0
TC03,天材地宝,凡品装备碎片,凡品装备碎片,凡品装备残片,0.03,否,0
TC04,天材地宝,良品装备碎片,良品装备碎片,良品装备残片,0.03,否,0
LC01,灵草图录,灵植,灵植,最常用的灵草，炼丹之基,0.04,否,0
YS01,妖兽图录,青云鹤,青云鹤,祥瑞飞禽，御风而行,0.04,否,0
YS02,妖兽图录,雷翼雕,雷翼雕,雷霆之翼，迅捷凶猛,0.04,否,0
YS03,妖兽图录,金翅大鹏,金翅大鹏,上古异兽，展翅蔽日,0.04,否,0
YS04,妖兽图录,玄水龟舟,玄水龟舟,背负山河之灵龟,0.04,是,50
GF01,功法残卷,凡品下品斩风诀,凡品下品斩风诀,初阶攻伐功法残篇,0.04,否,0
GF02,功法残卷,凡品中品寒冰锁,凡品中品寒冰锁,中品冰封功法残篇,0.04,否,0
GF03,功法残卷,凡品上品守元术,凡品上品守元术,上品守元功法残篇,0.04,否,0
GF04,功法残卷,凡品极品太初经,凡品极品太初经,极品太初功法残篇,0.04,否,0
GF05,功法残卷,灵品下品寒冰锁,灵品下品寒冰锁,灵品寒冰功法残篇,0.04,是,50
XX01,先贤事迹,开宗立派,开宗立派,宗门初创,0.04,否,0
XX02,先贤事迹,首位筑基弟子,首位筑基弟子,弟子首达筑基,0.04,否,0
XX03,先贤事迹,首次攻破秘境,首次攻破秘境,首破历练秘境,0.04,否,0
XX04,先贤事迹,首位长老飞升,首位长老飞升,长老坐化飞升,0.04,否,0
XX05,先贤事迹,宗门晋升八品,宗门晋升八品,晋入八品,0.04,否,0
XX06,先贤事迹,宗门晋升三品,宗门晋升三品,晋入三品,0.04,否,0
XX07,先贤事迹,解锁基础阵法,解锁基础阵法,习阵五式,0.04,否,0
XX08,先贤事迹,声望初显,声望初显,声望渐起,0.04,否,0
XX09,先贤事迹,声望远播,声望远播,声望远播,0.04,否,0
XX10,先贤事迹,首位长老就任,首位长老就任,首位长老,0.04,否,0
XX11,先贤事迹,御兽有成,御兽有成,灵兽满栏,0.04,否,0
XX12,先贤事迹,广纳弟子,广纳弟子,弟子满三十,0.04,否,0
XX13,先贤事迹,秘境大成,秘境大成,通关十秘境,0.04,否,0
XX14,先贤事迹,繁荣鼎盛,繁荣鼎盛,繁荣鼎盛,0.04,否,0
XX15,先贤事迹,香火鼎盛,香火鼎盛,香火鼎盛,0.04,是,50
LD01,灵钓,青鳞鲤,青鳞鲤,灵池常见之鲤，肉质鲜嫩涵灵,0,否,0
LD02,灵钓,银须鲫,银须鲫,凡俗淡水灵鱼，须泛银光,0,否,0
LD03,灵钓,碧眼鲢,碧眼鲢,木属灵鱼，涵养生机,0,否,0
LD04,灵钓,赤鳞鲤,赤鳞鲤,火属灵鲤，温养气血,0,否,0
LD05,灵钓,朽木沉钩,朽木沉钩,腐朽渔具，几无价值,0,否,0
LD06,灵钓,浊泥蚌,浊泥蚌,浊水泥蚌，壳可磨粉,0,否,0
LD07,灵钓,锈铁卵,锈铁卵,锈铁凝卵，弃之无妨,0,否,0
LD08,灵钓,琉璃浮盏,琉璃浮盏,上古沉盏，莹润如玉,0,否,0
LD09,灵钓,龙涎石,龙涎石,龙涎凝石，奇香绕梁,0,是,0
LD10,灵钓,灵渊秘匣,灵渊秘匣,秘匣藏珍，需机缘开启,0,是,0
YS01,遗迹,太玄灵铁,太玄灵铁,蕴道韵之古铁，坚而不朽,0,否,0
YS02,遗迹,虚空星砂,虚空星砂,星陨之砂，引灵入器,0,否,0
YS03,遗迹,九幽寒玉,九幽寒玉,寒渊古玉，镇心凝神,0,否,0
YS04,遗迹,碎阵符屑,碎阵符屑,崩散阵符之屑，几无价值,0,否,0
YS05,遗迹,残破阵盘,残破阵盘,古阵残盘，可辨阵理,0,否,0
YS06,遗迹,周天灵泉图,周天灵泉图,涌泉灵脉古图，藏地脉之秘,0,是,0
YS07,遗迹,古修坐痕,古修坐痕,上古修士证道之痕，悟者有益,0,否,0
YS08,遗迹,太上秘藏,太上秘藏,太上遗藏，机缘所钟,0,是,0
SY01,灵兽,灵兽乳,灵兽乳,灵兽所泌灵乳，滋养护道,0.0,否,0
SY02,灵兽,灵兽皮毛,灵兽皮毛,灵兽褪毛，柔韧可衣,0.0,否,0
SY03,灵兽,异色幼兽,异色幼兽,异色灵兽之幼，资质超凡,0.0,否,0
SY04,灵兽,变异灵胎,变异灵胎,变异未生之胎，血脉奇异,0.0,否,0
SY05,灵兽,青丘兽魂,青丘兽魂,青丘狐魂，蕴御兽之道,0.0,否,0
SY06,灵兽,玄武兽魂,玄武兽魂,玄武残魂，镇守之力,0.0,否,0
SY07,灵兽,太古灵蛋,太古灵蛋,太古灵兽之卵，机缘所钟,0.0,否,0
SY08,灵兽,混沌兽卵,混沌兽卵,混沌所凝之卵，变化莫测,0.0,否,0
TJ01,天机,吉兆,吉兆,卜算得吉，天机示好,0.0,否,0
TJ02,天机,平兆,平兆,卜算得平，微益小吉,0.0,否,0
TJ03,天机,凶兆,凶兆,卜算得凶，需化解,0.0,否,0
TJ04,天机,天机秘示,天机秘示,天机秘示·大机缘匣,0.05,是,0
TJ05,天机,紫微高照,紫微高照,观星大会特殊星象·紫微高照,0.05,是,0
TJ06,天机,扫把星,扫把星,观星大会特殊星象·扫把星,0.0,否,0
TJ07,天机,流星,流星,观星大会特殊星象·流星,0.0,否,0
YZ01,灵植,灵芝,灵芝,灵植产出·百年灵芝，滋元固本,0.02,否,0
YZ02,灵植,朱果,朱果,灵植产出·百年朱果，赤阳蕴火,0.02,否,0
YZ03,灵植,双生莲,双生莲,灵植异种·双生并蒂,0.04,是,0
YZ04,灵植,七色草,七色草,灵植异种·七色蕴灵,0.04,是,0
YZ05,灵植,万年灵根,万年灵根,万年灵根·灵根秘匣,0.06,是,0
QP01,棋谱录,围棋古谱,围棋古谱,黑白纵横之古谱残页,0.0,否,0
QP02,棋谱录,象棋残谱,象棋残谱,车马兵卒之残局谱,0.0,否,0
QP03,棋谱录,五行棋谱,五行棋谱,五行生克之棋谱,0.0,否,0
QP04,棋谱录,八卦棋谱,八卦棋谱,卦象流转之棋谱,0.0,否,0
QP05,棋谱录,珍珑棋谱,珍珑棋谱,千古珍珑之秘谱,0.0,是,0
SD01,商道,上古玉璧,上古玉璧,上古修士遗留之玉璧，蕴含灵力,0.0,是,0
SD02,商道,残破仙甲,残破仙甲,残破仙人战甲，可修复重光,0.0,是,0
SD03,商道,九转金丹,九转金丹,传说仙丹，服之增寿千年,0.0,是,0
SD04,商道,残破仙剑,残破仙剑,残破仙剑，森森剑意犹存,0.0,是,0
SD05,商道,万年灵参,万年灵参,万年灵参，肉白骨活死人,0.0,否,0
SD06,商道,龙涎香,龙涎香,真龙涎香，价值连城,0.0,否,0
SD07,商道,凤凰羽,凤凰羽,凤凰遗羽，炼器圣品,0.0,否,0
SD08,商道,麒麟角,麒麟角,麒麟独角，丹药圣品,0.0,否,0
LD11,灵钓,黑鳞鲫,黑鳞鲫,黑鳞淡水灵鱼，性猛好斗,0,否,0
LD12,灵钓,金草鱼,金草鱼,金鳞草鱼，涵木属灵气,0,否,0
LD13,灵钓,土鲶鱼,土鲶鱼,土属鲶鱼，肉质肥厚,0,否,0
LD14,灵钓,火鲈,火鲈,火属鲈鱼，性烈,0,否,0
LD15,灵钓,金鳜,金鳜,金鳞鳜鱼，肉质鲜美,0,否,0
LD16,灵钓,玄鲤,玄鲤,玄色灵鲤，涵深水之灵,1,否,0
LD17,灵钓,灵鳗,灵鳗,灵鳗修长，游走如电,1,否,0
LD18,灵钓,灵鳝,灵鳝,土属灵鳝，钻泥而行,1,否,0
LD19,灵钓,灵鳅,灵鳅,小巧灵鳅，灵动异常,1,否,0
LD20,灵钓,玉鳞鲤,玉鳞鲤,玉色鳞片，温润如玉,1,否,0
