图鉴ID,类别,匹配名,名称,描述,增益类型,增益值,是否稀有,捐赠声望
ZF01,阵法图谱,五行聚灵阵图,五行聚灵阵图,聚灵之阵图,产出池,0.04,否,0
ZF02,阵法图谱,三才守御阵图,三才守御阵图,守御之阵图,产出池,0.04,否,0
ZF03,阵法图谱,两仪协攻阵图,两仪协攻阵图,协攻之阵图,产出池,0.04,否,0
ZF04,阵法图谱,九转回春阵图,九转回春阵图,回春之阵图,产出池,0.04,否,0
ZF05,阵法图谱,五岳镇魔阵图,五岳镇魔阵图,镇魔之阵图,产出池,0.04,否,0
ZF06,阵法图谱,周天同心阵图,周天同心阵图,同心之阵图,产出池,0.04,否,0
ZF07,阵法图谱,周天混元阵图,周天混元阵图,混元之阵图,产出池,0.04,否,0
ZF08,阵法图谱,四象聚灵阵图,四象聚灵阵图,四象阵图,产出池,0.04,否,0
ZF09,阵法图谱,太虚护体阵图,太虚护体阵图,护体之阵图,产出池,0.04,否,0
ZF10,阵法图谱,护山大阵图,护山大阵图,护山之阵图,产出池,0.04,否,0
ZF11,阵法图谱,灵泉涌动阵图,灵泉涌动阵图,灵泉之阵图,产出池,0.04,否,0
ZF12,阵法图谱,玄空传送阵图,玄空传送阵图,传送之阵图,产出池,0.04,否,0
ZF13,阵法图谱,玄龟守元阵图,玄龟守元阵图,守元之阵图,产出池,0.04,否,0
ZF14,阵法图谱,疾风掠影阵图,疾风掠影阵图,疾风之阵图,产出池,0.04,否,0
ZF15,阵法图谱,破妄锐金阵图,破妄锐金阵图,锐金之阵图,产出池,0.04,否,0
ZF16,阵法图谱,聚灵大阵图,聚灵大阵图,聚灵大阵图,产出池,0.04,否,0
ZF17,阵法图谱,迷踪幻影阵图,迷踪幻影阵图,幻影之阵图,产出池,0.04,否,0
ZF18,阵法图谱,镇煞安宗阵图,镇煞安宗阵图,镇煞安宗之阵图,产出池,0.04,是,50
TC01,天材地宝,灵材,灵材,天地灵材,产出池,0.03,否,0
TC02,天材地宝,阵纹碎片,阵纹碎片,阵法核心材料,产出池,0.03,否,0
TC03,天材地宝,凡品装备碎片,凡品装备碎片,凡品装备残片,产出池,0.03,否,0
TC04,天材地宝,良品装备碎片,良品装备碎片,良品装备残片,产出池,0.03,否,0
LC01,灵草图鉴,草药,草药,最常用的灵草，炼丹之基,产出池,0.04,否,0
YS01,妖兽图鉴,青云鹤,青云鹤,祥瑞飞禽，御风而行,产出池,0.04,否,0
YS02,妖兽图鉴,雷翼雕,雷翼雕,雷霆之翼，迅捷凶猛,产出池,0.04,否,0
YS03,妖兽图鉴,金翅大鹏,金翅大鹏,上古异兽，展翅蔽日,产出池,0.04,否,0
YS04,妖兽图鉴,玄水龟舟,玄水龟舟,背负山河之灵龟,产出池,0.04,是,50
GF01,功法残卷,凡品下品斩风诀,凡品下品斩风诀,初阶攻伐功法残篇,产出池,0.04,否,0
GF02,功法残卷,凡品中品寒冰锁,凡品中品寒冰锁,中品冰封功法残篇,产出池,0.04,否,0
GF03,功法残卷,凡品上品守元术,凡品上品守元术,上品守元功法残篇,产出池,0.04,否,0
GF04,功法残卷,凡品极品太初经,凡品极品太初经,极品太初功法残篇,产出池,0.04,否,0
GF05,功法残卷,灵品下品寒冰锁,灵品下品寒冰锁,灵品寒冰功法残篇,产出池,0.04,是,50
XX01,先贤事迹,开宗立派,开宗立派,宗门初创,产出池,0.04,否,0
XX02,先贤事迹,首位筑基弟子,首位筑基弟子,弟子首达筑基,产出池,0.04,否,0
XX03,先贤事迹,首次攻破秘境,首次攻破秘境,首破历练关卡,产出池,0.04,否,0
XX04,先贤事迹,首位长老飞升,首位长老飞升,长老坐化飞升,产出池,0.04,否,0
XX05,先贤事迹,宗门晋升八品,宗门晋升八品,晋入八品,产出池,0.04,否,0
XX06,先贤事迹,宗门晋升三品,宗门晋升三品,晋入三品,产出池,0.04,否,0
XX07,先贤事迹,解锁基础阵法,解锁基础阵法,习阵五式,产出池,0.04,否,0
XX08,先贤事迹,声望初显,声望初显,声望渐起,产出池,0.04,否,0
XX09,先贤事迹,声望远播,声望远播,声望远播,产出池,0.04,否,0
XX10,先贤事迹,首位长老就任,首位长老就任,首位长老,产出池,0.04,否,0
XX11,先贤事迹,御兽有成,御兽有成,灵兽满栏,产出池,0.04,否,0
XX12,先贤事迹,广纳弟子,广纳弟子,弟子满三十,产出池,0.04,否,0
XX13,先贤事迹,秘境大成,秘境大成,通关十秘境,产出池,0.04,否,0
XX14,先贤事迹,繁荣鼎盛,繁荣鼎盛,繁荣鼎盛,产出池,0.04,否,0
XX15,先贤事迹,香火鼎盛,香火鼎盛,香火鼎盛,产出池,0.04,是,50
