锚点,数值,说明
殿阁保底津贴,5,game_state.gd:243 const 殿阁保底津贴
经营基数和,27,Σbase（硬编码 game_state.gd:1764 经营基数 Dictionary）
升级消耗基数,200,_升级消耗_灵石 基数 game_state.gd:2133 ceil(200.0*pow(1.5,...))
升级消耗指数,1.5,同上 pow 指数
差事赏赐系数上限,3.0,game_state.gd:493 clamp(...,1.0,3.0) 上限
随机事件赏赐系数,1.8,config/节奏校准.csv:7
招徒基础概率,0.75,config/节奏校准.csv:3
招徒概率上限,0.95,config/节奏校准.csv:5
气运产出加成,0.02,game_state.gd:2394 设置气运buff 产出加(供奉 0.02)
等级乘区步进,0.02,game_state.gd:1783 (1.0+0.02*max(0,门派等级-1))
殿阁等级乘区步进,0.02,game_state.gd:2127 (1.0+0.02*max(0,等级-1))
标准局月产,366,标准局(L4/N48/BL2/经营+10%)自动产出 P1+P2+P3+P10+P12
复算月产,366,镜像 预估月产出() 复算（须与标准局月产一致±15%）
随机事件月均产,40,随机赏赐均值×1.8/6（标准局，ECON-01 §三）
事件渠道月均产,1050,随机事件40 + 机缘月均≈1010（标准局估算，ECON-01 §2.2）
全月均产,39066,自动366 + 玩家活跃(日常34600+周常3090+机缘1010)（ECON-01 §2.2）
事件渠道占比上限,0.05,§4.7 硬上限（事件渠道<全渠道5%）
标准局月耗_目标,305,ECON-02 §2.2 刚性耗校准中心，使比值=366/305≈1.20
标准局月耗_下限,293,366÷1.25（盈余25%上沿，耗最小）
标准局月耗_上限,318,366÷1.15（盈余15%下沿，耗最大）
特征Δ产上限,55,ECON-02 §2.3 ≤15%×366；新功能月产增量硬卡
冲击上限_灵石,62,ECON-02 §2.4 ≤17%×366；负面影响总灵石冲击硬卡
产业链吞吐上限,55,ECON-02 §2.3 S1 子集净零原料 sink 吞吐上限(T≤55)
盈余率窗口下,0.15,§4.8 月度盈余率下沿
盈余率窗口上,0.25,§4.8 月度盈余率上沿
熔断阈值,0.15,F2 阀门熔断阈值（与 经济阀门.csv 同源）
F2_阀门_接线,1,F2 阀门本差事已接线（economy_balance.gd + period_settlement.gd 单次调用）
F3_经营加成_封顶,0.30,F3 经营加成 clamp(单殿阁≤0.20/全≤0.30) 已落地（D1 同 PR）；Layer C 升级为硬阻断
