阀门,系数,开关,说明
global_income_rate,1.0,1,全局产出纠偏系数（ECON-01 §4.8 预留阀门；红线±15%，越界由 economy_balance.gd 拒绝）
global_cost_rate,1.0,1,全局消耗纠偏系数 / 运维成本模块阀门（红线±15%，运维成本 D 类接线点）
trade_profit_rate,1.0,1,坊市行情模块系数（D2 已实装，接 period_settlement 唯一 平衡()）
event_damage_rate,1.0,1,负面影响模块系数（D3 固定值扣除模型；系数须恒 1.0，幅度在 CSV）
熔断阈值,0.15,1,单周期波动熔断阈值（±15%，ECON-01 红线源 §4.8）
基准值,366,1,标准局月产（ECON-01 §三，熔断参考 / 闸门锚点；本周期基准以原始值为准）
neg_global,1.0,1,负面影响总闸（D3 总开关；=0 一键回退纯正向，即便分闸=1）
neg_res_build,1.0,1,资源建筑类负面分闸（D3；矿脉/灵田类；受建筑被动_负面事件减免）
neg_disciple,1.0,1,弟子人员类负面分闸（D3；叛逃/偷窃资材类）
neg_reputation,1.0,0,声望外部类负面分闸（D3 预留；坊市价差，P0 仅字段+示例，不深联动）
neg_grade_perm,1.0,0,品级权限类负面分闸（D3 延后 P1；降级/权益回收，本次不交付）
