参数,值,说明
招徒周期月,3,自动招徒触发周期(游戏月)
招徒基础概率,0.75,季度触发基础概率
招徒等级缩放,0.02,每门派等级叠加概率
招徒概率上限,0.95,招徒触发概率封顶
随机事件周期月,6,随机事件触发周期(游戏月)
随机事件赏赐系数,1.8,半年触发单次赏赐放大倍数
奇遇日上限,5,每日奇遇触发上限
稳固期_筑基,365,突破后强制稳固期(游戏日)
稳固期_金丹,1095,突破后强制稳固期(游戏日)
稳固期_元婴,1800,突破后强制稳固期(游戏日)
稳固期_化神,3000,突破后强制稳固期(游戏日)
稳固期_仙阶,5400,突破后强制稳固期(游戏日)
稳固期_道阶,9000,突破后强制稳固期(游戏日)
瓶颈打磨_练气,1.0,瓶颈打磨自然增量分阶系数
瓶颈打磨_筑基,1.0,瓶颈打磨自然增量分阶系数
瓶颈打磨_金丹,1.0,瓶颈打磨自然增量分阶系数
瓶颈打磨_元婴,0.7,瓶颈打磨自然增量分阶系数(高阶下调)
瓶颈打磨_化神,0.5,瓶颈打磨自然增量分阶系数(高阶下调)
瓶颈打磨_仙阶,0.34,瓶颈打磨自然增量分阶系数(高阶下调)
瓶颈打磨_道阶,0.22,瓶颈打磨自然增量分阶系数(高阶下调)
