行号,常量,当前实参,当前hex,通道最大,语义角色,change_class,权威级,真源②,真源①(判据),目标实参,目标hex,目标通道最大,重复值组,备注
40,C01_TOPBAR_BG,"Color(0.055, 0.149, 0.125)",#0E2620,G,顶部资源栏底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.118, 0.149)",#0E1E26,B,G1,最上表面；实参 #0E2620 属 G1 组
41,C01_AVATAR_BG,"Color(0.110, 0.259, 0.220)",#1C4238,G,头像圆底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.110, 0.209, 0.259)",#1C3542,B,,
42,C01_GOLD_LINE,"Color(0.639, 0.541, 0.318)",#A38A51,R,通用暗金描边,OK,—,—,—,—,—,—,,金（非绿）
43,C01_TEXT_PRIMARY,"Color8(242, 245, 243)",#F2F5F3,G,一级文字,OK,—,—,—,—,—,—,,文字（非绿）
44,C01_TEXT_GOLD,"Color8(214, 177, 106)",#D6B16A,R,金色数值/选中标签,OK,—,—,—,—,—,—,,金
45,C01_TEXT_SECONDARY,"Color8(207, 198, 178)",#CFC6B2,R,二级文字,OK,—,—,—,—,—,—,,文字
46,C01_TEXT_TERTIARY,"Color8(159, 179, 176)",#9FB3B0,G,三级文字,OK,—,—,—,—,—,—,,文字（微绿，作文字保留）
47,C01_FLOAT_BG,"Color(0.075, 0.180, 0.153)",#132E27,G,日常进度浮层底,B,②byte-dup,COLOR_BG_BASE(→#1B272B),—,"Color(0.075, 0.145, 0.180)",#13252E,B,G2,★ RGB 逐字节 == 旧 COLOR_BG_BASE ⇒ ②目标 #1B272B；G2 组
48,C01_CALENDAR_BG,"Color(0.055, 0.149, 0.125, 0.90)",#0E2620,G,历法条底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.118, 0.149, 0.90)",#0E1E26,B,G1,G1 组
49,C01_ENTRY_BG,"Color(0.078, 0.204, 0.169, 0.62)",#14342B,G,快捷入口底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.078, 0.162, 0.204, 0.62)",#142934,B,G3,G3 组
50,C01_PROG_TRACK,"Color(0.055, 0.137, 0.114, 0.45)",#0E231D,G,活跃度轨道,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.110, 0.137, 0.45)",#0E1C23,B,,
51,C01_PROG_FILL,"Color(0.882, 0.765, 0.478)",#E1C37A,R,活跃度填充/Tab 指示器,OK,—,—,—,—,—,—,,金
52,C01_TAB_CAPSULE,"Color(0.075, 0.180, 0.153, 0.18)",#132E27,G,Tab 胶囊容器底,B,②byte-dup,COLOR_BG_BASE(→#1B272B),—,"Color(0.075, 0.145, 0.180, 0.18)",#13252E,B,G2,★ == 旧 COLOR_BG_BASE + α0.18；G2 组
