"优先级","类别","相对路径","完整路径","尺寸","文件"
"P0","功能入口图标","res://art/icons/entry/entry_activity_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_activity_36.png","1024x1024","entry_activity_36.png"
"P0","功能入口图标","res://art/icons/entry/entry_equipment_blueprint_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_equipment_blueprint_36.png","1024x1024","entry_equipment_blueprint_36.png"
"P0","功能入口图标","res://art/icons/entry/entry_herb_garden_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_herb_garden_36.png","1024x1024","entry_herb_garden_36.png"
"P0","功能入口图标","res://art/icons/entry/entry_library_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_library_36.png","1024x1024","entry_library_36.png"
"P0","功能入口图标","res://art/icons/entry/entry_pill_formula_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_pill_formula_36.png","1024x1024","entry_pill_formula_36.png"
"P0","功能入口图标","res://art/icons/entry/entry_puppet_36.png","E:\Xiuxian\taixuanzongmenlu\art\icons\entry\entry_puppet_36.png","1024x1024","entry_puppet_36.png"
"P1","套装图标","res://art/icons/equipment/set_fentian_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_fentian_512.png","1024x1024","set_fentian_512.png"
"P1","套装图标","res://art/icons/equipment/set_pojia_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_pojia_512.png","1024x1024","set_pojia_512.png"
"P1","套装图标","res://art/icons/equipment/set_qinglong_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_qinglong_512.png","1024x1024","set_qinglong_512.png"
"P1","套装图标","res://art/icons/equipment/set_qingyun_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_qingyun_512.png","1024x1024","set_qingyun_512.png"
"P1","套装图标","res://art/icons/equipment/set_taixu_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_taixu_512.png","1024x1024","set_taixu_512.png"
"P1","套装图标","res://art/icons/equipment/set_taixuan_1024.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_taixuan_1024.png","1024x1024","set_taixuan_1024.png"
"P1","套装图标","res://art/icons/equipment/set_taotie_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_taotie_512.png","1024x1024","set_taotie_512.png"
"P1","套装图标","res://art/icons/equipment/set_xuanbing_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_xuanbing_512.png","1024x1024","set_xuanbing_512.png"
"P1","套装图标","res://art/icons/equipment/set_xuangui_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_xuangui_512.png","1024x1024","set_xuangui_512.png"
"P1","套装图标","res://art/icons/equipment/set_xuanzhen_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_xuanzhen_512.png","1024x1024","set_xuanzhen_512.png"
"P1","套装图标","res://art/icons/equipment/set_zhanshen_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\set_zhanshen_512.png","1024x1024","set_zhanshen_512.png"
