item_id,item_name,category,folder,grade,tier,badge_grade,archetype,icon_path,file_exists
mat_001,凡品灵草,材料,material,凡品,low,凡品,herb,res://icon/material/mat_001.png,Y
mat_002,百年灵草,材料,material,灵品,low,灵品,herb,res://icon/material/mat_002.png,Y
mat_003,三百年灵草,材料,material,宝品,mid,宝品,herb,res://icon/material/mat_003.png,Y
mat_004,五百年灵草,材料,material,王品,mid,王品,herb,res://icon/material/mat_004.png,Y
mat_005,千年灵草,材料,material,圣品,mid,圣品,herb,res://icon/material/mat_005.png,Y
mat_006,万年灵草,材料,material,仙品,high,仙品,herb,res://icon/material/mat_006.png,Y
mat_007,十万年灵草,材料,material,道品,high,道品,herb,res://icon/material/mat_007.png,Y
mat_008,凡铁矿石,材料,material,凡品,low,凡品,ore,res://icon/material/mat_008.png,Y
mat_009,精铁矿石,材料,material,灵品,low,灵品,ore,res://icon/material/mat_009.png,Y
mat_010,百年玄铁,材料,material,宝品,mid,宝品,ore,res://icon/material/mat_010.png,Y
mat_011,千年玄铁,材料,material,王品,mid,王品,ore,res://icon/material/mat_011.png,Y
mat_012,万年玄铁,材料,material,圣品,mid,圣品,ore,res://icon/material/mat_012.png,Y
mat_013,凡品灵布,材料,material,凡品,low,凡品,fabric,res://icon/material/mat_013.png,Y
mat_014,灵纹布,材料,material,灵品,low,灵品,fabric,res://icon/material/mat_014.png,Y
mat_015,金蚕丝,材料,material,宝品,mid,宝品,fabric,res://icon/material/mat_015.png,Y
mat_016,玄冰蚕丝,材料,material,王品,mid,王品,fabric,res://icon/material/mat_016.png,Y
mat_017,妖兽血,材料,material,凡品,low,凡品,beast,res://icon/material/mat_017.png,Y
mat_018,妖兽皮,材料,material,凡品,low,凡品,beast,res://icon/material/mat_018.png,Y
mat_019,妖兽筋骨,材料,material,灵品,low,灵品,beast,res://icon/material/mat_019.png,Y
mat_020,狐火晶,材料,material,宝品,mid,宝品,beast,res://icon/material/mat_020.png,Y
mat_021,鹏羽,材料,material,王品,mid,王品,beast,res://icon/material/mat_021.png,Y
mat_022,麒麟鳞,材料,material,圣品,mid,圣品,beast,res://icon/material/mat_022.png,Y
mat_023,灵晶,材料,material,灵品,low,灵品,crystal,res://icon/material/mat_023.png,Y
mat_024,玄晶,材料,material,宝品,mid,宝品,crystal,res://icon/material/mat_024.png,Y
mat_025,圣晶,材料,material,圣品,mid,圣品,crystal,res://icon/material/mat_025.png,Y
mat_026,火焰晶石,材料,material,宝品,mid,宝品,crystal,res://icon/material/mat_026.png,Y
mat_027,雷晶石,材料,material,王品,mid,王品,crystal,res://icon/material/mat_027.png,Y
mat_028,灵米,材料,material,凡品,low,凡品,food,res://icon/material/mat_028.png,Y
mat_029,筑基液,材料,material,灵品,low,灵品,mat_special,res://icon/material/mat_029.png,Y
mat_030,元婴髓,材料,material,王品,mid,王品,mat_special,res://icon/material/mat_030.png,Y
mat_031,悟道花,材料,material,圣品,mid,圣品,mat_special,res://icon/material/mat_031.png,Y
mat_032,符文核心,材料,material,宝品,mid,宝品,mat_special,res://icon/material/mat_032.png,Y
pill_001,聚气丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_001.png,Y
pill_002,凡品中品养元丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_002.png,Y
pill_003,凡品上品凝气丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_003.png,Y
pill_004,凡品极品培元丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_004.png,Y
pill_005,筑基丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_005.png,Y
pill_006,凡品中品清毒丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_006.png,Y
pill_007,凡品上品神识丹,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_007.png,Y
pill_008,灵品下品养元丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_008.png,Y
pill_009,灵品中品婴变丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_009.png,Y
pill_010,灵品上品冲窍丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_010.png,Y
pill_011,灵品极品聚气丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_011.png,Y
pill_012,灵品下品清毒丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_012.png,Y
pill_013,灵品中品神识丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_013.png,Y
pill_014,灵品上品续命丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_014.png,Y
pill_015,宝品下品婴变丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_015.png,Y
pill_016,宝品中品冲窍丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_016.png,Y
pill_017,宝品上品破障丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_017.png,Y
pill_018,宝品极品体丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_018.png,Y
pill_019,宝品下品凝气丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_019.png,Y
pill_020,宝品中品续命丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_020.png,Y
pill_021,宝品上品延寿丹,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_021.png,Y
pill_022,王品下品冲窍丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_022.png,Y
pill_023,王品中品力丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_023.png,Y
pill_024,王品上品洗髓丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_024.png,Y
pill_025,王品极品凝气丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_025.png,Y
pill_026,王品下品续命丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_026.png,Y
pill_027,王品中品破障丹,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_027.png,Y
pill_028,圣品下品延寿丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_028.png,Y
pill_029,圣品中品固金丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_029.png,Y
pill_030,圣品上品神识丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_030.png,Y
pill_031,圣品极品续命丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_031.png,Y
pill_032,圣品下品破障丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_032.png,Y
pill_033,圣品中品洗髓丹,丹药,pill,圣品,mid,圣品,pill,res://icon/pill/pill_033.png,Y
pill_034,仙品下品固金丹,丹药,pill,仙品,high,仙品,pill,res://icon/pill/pill_034.png,Y
pill_035,仙品中品神识丹,丹药,pill,仙品,high,仙品,pill,res://icon/pill/pill_035.png,Y
pill_036,仙品上品化劫丹,丹药,pill,仙品,high,仙品,pill,res://icon/pill/pill_036.png,Y
pill_037,仙品极品回血丹,丹药,pill,仙品,high,仙品,pill,res://icon/pill/pill_037.png,Y
pill_038,道品极品洗髓丹,丹药,pill,道品,high,道品,pill,res://icon/pill/pill_038.png,Y
pill_039,道品上品破障丹,丹药,pill,道品,high,道品,pill,res://icon/pill/pill_039.png,Y
pill_040,清颜露·凡品,丹药,pill,凡品,low,凡品,pill,res://icon/pill/pill_040.png,Y
pill_041,清颜露·灵品,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_041.png,Y
pill_042,清颜露·宝品,丹药,pill,宝品,mid,宝品,pill,res://icon/pill/pill_042.png,Y
pill_043,清颜露·王品,丹药,pill,王品,mid,王品,pill,res://icon/pill/pill_043.png,Y
pill_044,驻颜丹,丹药,pill,灵品,low,灵品,pill,res://icon/pill/pill_044.png,Y
tal_001,凡品下品火球符,符箓,talisman,凡品,low,凡品,talisman,res://icon/talisman/tal_001.png,Y
tal_002,凡品中品金刚符,符箓,talisman,凡品,low,凡品,talisman,res://icon/talisman/tal_002.png,Y
tal_003,凡品上品聚灵符,符箓,talisman,凡品,low,凡品,talisman,res://icon/talisman/tal_003.png,Y
tal_004,凡品极品冰冻符,符箓,talisman,凡品,low,凡品,talisman,res://icon/talisman/tal_004.png,Y
tal_005,灵品下品金刚符,符箓,talisman,灵品,low,灵品,talisman,res://icon/talisman/tal_005.png,Y
tal_006,灵品中品聚灵符,符箓,talisman,灵品,low,灵品,talisman,res://icon/talisman/tal_006.png,Y
tal_007,灵品上品冰冻符,符箓,talisman,灵品,low,灵品,talisman,res://icon/talisman/tal_007.png,Y
tal_008,灵品极品隐身符,符箓,talisman,灵品,low,灵品,talisman,res://icon/talisman/tal_008.png,Y
tal_009,宝品下品聚灵符,符箓,talisman,宝品,mid,宝品,talisman,res://icon/talisman/tal_009.png,Y
tal_010,宝品中品冰冻符,符箓,talisman,宝品,mid,宝品,talisman,res://icon/talisman/tal_010.png,Y
tal_011,宝品上品隐身符,符箓,talisman,宝品,mid,宝品,talisman,res://icon/talisman/tal_011.png,Y
tal_012,宝品极品天火符,符箓,talisman,宝品,mid,宝品,talisman,res://icon/talisman/tal_012.png,Y
tal_013,王品下品冰冻符,符箓,talisman,王品,mid,王品,talisman,res://icon/talisman/tal_013.png,Y
tal_014,王品中品隐身符,符箓,talisman,王品,mid,王品,talisman,res://icon/talisman/tal_014.png,Y
tal_015,王品上品天火符,符箓,talisman,王品,mid,王品,talisman,res://icon/talisman/tal_015.png,Y
tal_016,王品极品护盾符,符箓,talisman,王品,mid,王品,talisman,res://icon/talisman/tal_016.png,Y
tal_017,圣品下品隐身符,符箓,talisman,圣品,mid,圣品,talisman,res://icon/talisman/tal_017.png,Y
tal_018,圣品中品天火符,符箓,talisman,圣品,mid,圣品,talisman,res://icon/talisman/tal_018.png,Y
tal_019,圣品上品护盾符,符箓,talisman,圣品,mid,圣品,talisman,res://icon/talisman/tal_019.png,Y
tal_020,圣品极品清心符,符箓,talisman,圣品,mid,圣品,talisman,res://icon/talisman/tal_020.png,Y
tal_021,仙品下品天火符,符箓,talisman,仙品,high,仙品,talisman,res://icon/talisman/tal_021.png,Y
tal_022,仙品中品护盾符,符箓,talisman,仙品,high,仙品,talisman,res://icon/talisman/tal_022.png,Y
tal_023,仙品上品清心符,符箓,talisman,仙品,high,仙品,talisman,res://icon/talisman/tal_023.png,Y
tal_024,仙品极品卸力符,符箓,talisman,仙品,high,仙品,talisman,res://icon/talisman/tal_024.png,Y
tal_025,道品下品护盾符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_025.png,Y
tal_026,道品中品清心符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_026.png,Y
tal_027,道品上品卸力符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_027.png,Y
tal_028,道品极品传送符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_028.png,Y
tal_029,道品极品冰冻符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_029.png,Y
tal_030,道品极品传送符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_030.png,Y
tal_031,道品极品火球符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_031.png,Y
tal_032,道品极品护盾符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_032.png,Y
tal_033,道品极品加速符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_033.png,Y
tal_034,道品极品冰冻符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_034.png,Y
tal_035,道品极品传送符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_035.png,Y
tal_036,道品极品火球符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_036.png,Y
tal_037,道品极品护盾符,符箓,talisman,道品,high,道品,talisman,res://icon/talisman/tal_037.png,Y
eq_001,凡品下品武器,装备,equip,凡品,low,凡品,weapon,res://icon/equip/eq_001.png,Y
eq_002,凡品中品法袍,装备,equip,凡品,low,凡品,robe,res://icon/equip/eq_002.png,Y
eq_003,凡品上品头盔,装备,equip,凡品,low,凡品,helmet,res://icon/equip/eq_003.png,Y
eq_004,凡品极品护腕,装备,equip,凡品,low,凡品,bracer,res://icon/equip/eq_004.png,Y
eq_005,凡品下品腰带,装备,equip,凡品,low,凡品,belt,res://icon/equip/eq_005.png,Y
eq_006,凡品中品靴子,装备,equip,凡品,low,凡品,boot,res://icon/equip/eq_006.png,Y
eq_007,灵品下品法袍,装备,equip,灵品,low,灵品,robe,res://icon/equip/eq_007.png,Y
eq_008,灵品中品头盔,装备,equip,灵品,low,灵品,helmet,res://icon/equip/eq_008.png,Y
eq_009,灵品上品护腕,装备,equip,灵品,low,灵品,bracer,res://icon/equip/eq_009.png,Y
