CSV_COUNT=132  PROSE_ROWS=198

===== PROSE COLUMNS PER CSV =====

# achievement_config.csv
  condition_desc | rp=2 ui=0 | 培养出第一名练气期弟子
  unlock_tip | rp=0 ui=0 | 恭喜踏出修仙第一步
  备注 | rp=2 ui=1 | [PL]S2待回填

# alchemy_factor_linear.csv
  说明 | rp=7 ui=6 | 心境澄明则丹成不躁满值+4%

# alchemy_factor_step.csv
  id | rp=236 ui=5 | afs_rg_凡品
  名称 | rp=661 ui=107 | 灵根品阶·凡品
  键 | rp=8 ui=0 | 凡品
  说明 | rp=7 ui=6 | 凡品灵根炼化平平无功无过

# alchemy_source_config.csv
  说明 | rp=7 ui=6 | 丹堂立堂成率+5%（复活既有死轴：获取建筑总加成.炼丹成功率）

# area_stay_weight.csv
  verify_note | rp=0 ui=0 | 勤勉×丹道：偏向丹殿劳作

# array_config.csv
  core_effect | rp=1 ui=0 | 抵御外敌降低宗门被入侵概率
  description | rp=9 ui=6 | 护山大阵宗门防御核心大幅降低被外敌入侵概率

# array_items.csv
  item_name | rp=24 ui=3 | 阵纹碎片
  描述 | rp=202 ui=36 | 通用阵法升级材料，由秘境掉落/阵图拆解/奇遇产出，不新增冗余资源类型

# atlas_index.csv
  柱 | rp=1 ui=0 | 门下（人柱）
  一句话 | rp=1 ui=1 | 测灵择徒，广纳良才

# atlas_intent.csv
  反查 | rp=0 ui=0 | 丹方、装备图纸、藏书阁、灵兽

# auction_ai_config.csv
  lines | rp=1 ui=0 | 此物合该归我万宝商盟！|万某志在必得，尔等莫争！|万宝商盟出价，童叟无欺

# auction_config.csv
  param | rp=1 ui=0 | 常驻刷新日
  description | rp=9 ui=6 | 常驻场每隔多少游戏日刷新一批拍品（S34-P0后改为单件到期即补，此参数

# battle_merit_shop.csv
  说明 | rp=7 ui=6 | 修炼速度+10% 持续7天

# beast_raise.csv
  描述 | rp=202 ui=36 | 灵兽所泌灵乳，滋养护道
  用途 | rp=11 ui=0 | 炼丹·育兽辅料

# beast_raise_consumable.csv

# beast_wave_config.csv
  description | rp=9 ui=6 | 后山野狼成群结队，冲击宗门山门

# caravan_post_config.csv

# caravan_vehicle_config.csv
  vehicle_name | rp=1 ui=0 | 凡品毛驴

# chess_consumable.csv
  效果 | rp=59 ui=12 | 提胜率/解锁高难

# chess_type.csv
  描述 | rp=202 ui=36 | 黑白纵横，初学者的试手之局

# city_config.csv

# contribution_shop.csv

# craft_hall_reward.csv
  item_name | rp=24 ui=3 | 残破铜镜

# destiny_main.csv
  描述 | rp=202 ui=36 | 好勇斗狠，战意炽烈，临敌战力略增，然易结仇树敌。

# disciple_skin_config.csv

# divine_consumable.csv
  效果 | rp=59 ui=12 | 应验率/稀有率加成

# divine_type.csv
  描述 | rp=202 ui=36 | 卜算近期吉凶（基础）

# drop_pool.csv
  item_name | rp=24 ui=3 | 灵植

# dynasty_commission_config.csv
  description | rp=9 ui=6 | 朝廷命岁贡灵石，遣弟子押运入京；应者关系稍稳，拖延则见怪

# dynasty_config.csv
  description | rp=9 ui=6 | 举国崇奉仙道，供奉丰厚，灵根苗子多出自道观

# dynasty_counter_config.csv
  penalty_desc | rp=4 ui=1 | 缴纳则灵石失血；拒绝则对宗门关系-15
