常量名,行号,实参原文,RGB十六进制,R,G,B,最大通道,是否G-max绿族,是否文字族(Color8系),COLOR-2关系,整行原文
C01_TOPBAR_BG,40,"0.055, 0.149, 0.125",#0E2620,14,38,32,G,True,False,,"const C01_TOPBAR_BG: Color = Color(0.055, 0.149, 0.125)          # 2:181 顶部资源栏底"
C01_AVATAR_BG,41,"0.110, 0.259, 0.220",#1C4238,28,66,56,G,True,False,,"const C01_AVATAR_BG: Color = Color(0.110, 0.259, 0.220)          # 2:183 头像底"
C01_GOLD_LINE,42,"0.639, 0.541, 0.318",#A38A51,163,138,81,R,False,False,,"const C01_GOLD_LINE: Color = Color(0.639, 0.541, 0.318)          # 通用暗金描边（头像/浮层/历法条）"
C01_TEXT_PRIMARY,43,"242, 245, 243",#F2F5F3,242,245,243,G,True,True,,"const C01_TEXT_PRIMARY: Color = Color8(242, 245, 243)       # #F2F5F3 一级文字（宗主名/活跃度）"
C01_TEXT_GOLD,44,"214, 177, 106",#D6B16A,214,177,106,R,False,True,,"const C01_TEXT_GOLD: Color = Color8(214, 177, 106)          # #D6B16A 金色数值/选中标签（定稿稿统一金色）"
C01_TEXT_SECONDARY,45,"207, 198, 178",#CFC6B2,207,198,178,R,False,True,,"const C01_TEXT_SECONDARY: Color = Color8(207, 198, 178)     # #CFC6B2 二级文字（资源名/入口标签）"
C01_TEXT_TERTIARY,46,"159, 179, 176",#9FB3B0,159,179,176,G,True,True,,"const C01_TEXT_TERTIARY: Color = Color8(159, 179, 176)      # #9FB3B0 三级文字（结算提示/未选中Tab）"
C01_FLOAT_BG,47,"0.075, 0.180, 0.153",#132E27,19,46,39,G,True,False,=旧COLOR_BG_BASE/COLOR_TOPBAR_BG(COLOR-2已改走),"const C01_FLOAT_BG: Color = Color(0.075, 0.180, 0.153)           # 2:222 日常进度浮层底"
C01_CALENDAR_BG,48,"0.055, 0.149, 0.125, 0.90",#0E2620,14,38,32,G,True,False,,"const C01_CALENDAR_BG: Color = Color(0.055, 0.149, 0.125, 0.90)  # 50:1 历法条底"
C01_ENTRY_BG,49,"0.078, 0.204, 0.169, 0.62",#14342B,20,52,43,G,True,False,,"const C01_ENTRY_BG: Color = Color(0.078, 0.204, 0.169, 0.62)     # 2:207 等 快捷入口底（提高 α 让图标/文字在山水背景上更清晰）"
C01_PROG_TRACK,50,"0.055, 0.137, 0.114, 0.45",#0E231D,14,35,29,G,True,False,,"const C01_PROG_TRACK: Color = Color(0.055, 0.137, 0.114, 0.45)   # 2:224 活跃度轨道"
C01_PROG_FILL,51,"0.882, 0.765, 0.478",#E1C37A,225,195,122,R,False,False,,"const C01_PROG_FILL: Color = Color(0.882, 0.765, 0.478)          # 2:225 活跃度填充 / Tab 选中指示器"
C01_TAB_CAPSULE,52,"0.075, 0.180, 0.153, 0.18",#132E27,19,46,39,G,True,False,=旧COLOR_BG_BASE/COLOR_TOPBAR_BG(COLOR-2已改走),"const C01_TAB_CAPSULE: Color = Color(0.075, 0.180, 0.153, 0.18)  # 2:227 Tab 胶囊容器底"
C01_TAB_ACTIVE,53,"0.129, 0.400, 0.325, 0.34",#216653,33,102,83,G,True,False,,"const C01_TAB_ACTIVE: Color = Color(0.129, 0.400, 0.325, 0.34)   # 2:228 Tab 选中底"
C01_TAB_IDLE,54,"0.075, 0.180, 0.153, 0.10",#132E27,19,46,39,G,True,False,=旧COLOR_BG_BASE/COLOR_TOPBAR_BG(COLOR-2已改走),"const C01_TAB_IDLE: Color = Color(0.075, 0.180, 0.153, 0.10)     # 2:231 等 Tab 未选中底"
C01_TAB_BAR_BG,55,"0.055, 0.145, 0.122, 0.94",#0E251F,14,37,31,G,True,False,,"const C01_TAB_BAR_BG: Color = Color(0.055, 0.145, 0.122, 0.94)   # 2:226 底部 Tab 栏背景 #071214@0.94"
C01_TAB_ICON_BG_SEL,56,"0.106, 0.298, 0.247, 0.85",#1B4C3F,27,76,63,G,True,False,,"const C01_TAB_ICON_BG_SEL: Color = Color(0.106, 0.298, 0.247, 0.85) # 2:117 选中图标底 #0E2A30@0.8"
C01_TAB_ICON_BG_IDLE,57,"0.063, 0.176, 0.145, 0.65",#102D25,16,45,37,G,True,False,,"const C01_TAB_ICON_BG_IDLE: Color = Color(0.063, 0.176, 0.145, 0.65) # 2:119 未选中图标底 #0C1E22@0.6"
C01_CLOUD,58,"0.780, 0.878, 0.839, 0.18",#C7E0D6,199,224,214,G,True,False,,"const C01_CLOUD: Color = Color(0.780, 0.878, 0.839, 0.18)        # 2:203 云海（画布 fills 实测 α0.14）"
C01_SCENE_BASE,59,"0.055, 0.082, 0.090",#0E1517,14,21,23,B,False,False,=COLOR-2新值(COLOR_STATUSBAR_BG/COLOR_TOPBAR_BG/C01_SCENE_BASE),"const C01_SCENE_BASE: Color = Color(0.055, 0.082, 0.090)         # 2:55 底色 / 35:2 渐变终点"
C01_EYE_BG,112,"0.055, 0.149, 0.125, 0.55",#0E2620,14,38,32,G,True,False,,"const C01_EYE_BG: Color = Color(0.055, 0.149, 0.125, 0.55)       # 35:5 隐藏UI开关底"
C01_EYE_BORDER,113,"0.216, 0.400, 0.353, 0.80",#37665A,55,102,90,G,True,False,,"const C01_EYE_BORDER: Color = Color(0.216, 0.400, 0.353, 0.80)   # 35:5 描边"
C01_EYE_ICON,114,"0.878, 0.812, 0.616",#E0CF9D,224,207,157,R,False,False,,"const C01_EYE_ICON: Color = Color(0.878, 0.812, 0.616)           # 35:7 眼睛线条"
C01_PANEL_A,116,"0.055, 0.149, 0.125, 0.86",#0E2620,14,38,32,G,True,False,,"const C01_PANEL_A: Color = Color(0.055, 0.149, 0.125, 0.86)      # 2:181 顶部资源栏底（带 α）"
C01_PANEL_LIGHT,117,"0.098, 0.212, 0.180, 0.74",#19362E,25,54,46,G,True,False,,"const C01_PANEL_LIGHT: Color = Color(0.098, 0.212, 0.180, 0.74)  # 50:1 时间匾额底"
C01_PANEL_B,118,"0.078, 0.204, 0.169, 0.55",#14342B,20,52,43,G,True,False,,"const C01_PANEL_B: Color = Color(0.078, 0.204, 0.169, 0.55)        # 次级面板/进度条底（与 C01_ENTRY_BG 同调）"
C01_TEXT_JADE,119,"0.435, 0.906, 0.769",#6FE7C4,111,231,196,G,True,False,,"const C01_TEXT_JADE: Color = Color(0.435, 0.906, 0.769)          # Lv.等级 青绿字"
C01_LINE_GOLD,120,"0.847, 0.722, 0.416, 0.50",#D8B86A,216,184,106,R,False,False,,"const C01_LINE_GOLD: Color = Color(0.847, 0.722, 0.416, 0.50)   # 顶部栏 2px 描边（带 α）"
C01_SHADOW,122,"0.031, 0.098, 0.078, 0.60",#081914,8,25,20,G,True,False,,"const C01_SHADOW: Color = Color(0.031, 0.098, 0.078, 0.60)"
获取场景压暗色(),1567,"8, 28, 22",#081C16,8,28,22,G,True,True,,"return Color8(8, 28, 22)"
