region_id,scope,x0,y0,x1,y1,field,driver,evidence
CHROME_BADGE_TOPRIGHT,ALL,684,20,716,42,顶栏·右上角标(未读/红点),未读计数(实时),after_null 40+页一致
CHROME_RES_ROW,ALL,395,66,620,86,顶栏·资源数字行,派生(挂机产出/结算),after_null 58页一致
CHROME_TABBAR_BADGE,ALL,340,1176,665,1205,底Tab·角标(未读计数),未读计数(实时),after_null 5-6页 + before_null 确认
HOME_EVENT_TIMER,00_home,487,132,506,145,大典盛事·重置倒计时,实时倒计时(秒/分级),after_null n>8=137
HOME_WEATHER_RUMOR,00_home,208,724,620,748,宗门气象·今日传闻文本,随机/每日轮换,after_null n>8=785
HOME_SNAPSHOT_VALUE,00_home,426,807,436,820,快照条·4列数值(件/气运/弟子等),派生(库存/任务/气运),after_null n>8=74
HOME_QUICKBTN_ROW,00_home,308,930,411,945,常用4钮·角标/文本,派生,after_null n>8=913
TELEPORT_BODY,S02_传送阵,328,160,342,169,传送阵·数值,派生,after_null n>8=89
GLOBALAUCTION_BODY,S05_全服拍卖,478,160,492,169,全服拍卖·数值,实时,after_null n>8=89
FANGSHI_BODY,S11_坊市,30,547,219,595,坊市·主区(价/库存/订单),实时+派生,after_null n>8=1973
FANGSHI_BODY,S11_坊市,28,614,219,663,坊市·主区(价/库存/订单),实时+派生,after_null n>8=2439
FANGSHI_BODY,S11_坊市,79,716,219,729,坊市·主区(价/库存/订单),实时+派生,after_null n>8=99
FANGSHI_BODY,S11_坊市,23,761,23,761,坊市·主区(价/库存/订单),实时+派生,after_null n>8=1
FANGSHI_BODY,S11_坊市,35,766,139,770,坊市·主区(价/库存/订单),实时+派生,after_null n>8=7
FANGSHI_BODY,S11_坊市,41,806,66,820,坊市·主区(价/库存/订单),实时+派生,after_null n>8=39
FANGSHI_BODY,S11_坊市,71,828,71,828,坊市·主区(价/库存/订单),实时+派生,after_null n>8=1
FANGSHI_BODY,S11_坊市,53,837,66,846,坊市·主区(价/库存/订单),实时+派生,after_null n>8=27
FANGSHI_BODY,S11_坊市,115,1027,285,1045,坊市·主区(价/库存/订单),实时+派生,after_null n>8=752
ZONGZHU_BODY,S12_宗主,162,286,202,297,宗主页·主区数值,派生,after_null n>8=151
ZONGZHU_BODY,S12_宗主,31,304,200,313,宗主页·主区数值,派生,after_null n>8=158
ZONGZHU_BODY,S12_宗主,51,403,69,410,宗主页·主区数值,派生,after_null n>8=32
ZONGZHU_BODY,S12_宗主,350,416,662,431,宗主页·主区数值,派生,after_null n>8=957
ZONGZHU_ADMIN_BODY,S13_宗主管理,125,488,132,500,宗主管理·主区数值,派生,after_null n>8=46
ZONGZHU_ADMIN_BODY,S13_宗主管理,125,518,132,526,宗主管理·主区数值,派生,after_null n>8=37
ZONGZHU_ADMIN_BODY,S13_宗主管理,125,549,133,561,宗主管理·主区数值,派生,after_null n>8=82
QIYUN_BODY,S19_宗门气运,33,812,117,832,宗门气运·主区数值,派生,after_null n>8=595
QIYUN_BODY,S19_宗门气运,38,846,341,859,宗门气运·主区数值,派生,after_null n>8=475
QIYUN_BODY,S19_宗门气运,38,872,326,884,宗门气运·主区数值,派生,after_null n>8=198
QIYUN_BODY,S19_宗门气运,38,897,324,909,宗门气运·主区数值,派生,after_null n>8=183
QIYUN_BODY,S19_宗门气运,38,922,286,935,宗门气运·主区数值,派生,after_null n>8=367
QIYUN_BODY,S19_宗门气运,38,948,376,960,宗门气运·主区数值,派生,after_null n>8=132
QIYUN_BODY,S19_宗门气运,38,973,326,984,宗门气运·主区数值,派生,after_null n>8=172
STORAGE_BODY,S23_库藏,491,178,491,178,库藏·列表数值,派生,after_null n>8=1
STORAGE_BODY,S23_库藏,490,181,501,191,库藏·列表数值,派生,after_null n>8=63
STORAGE_BODY,S23_库藏,164,294,347,389,库藏·列表数值,派生,after_null n>8=877
STORAGE_BODY,S23_库藏,138,408,461,503,库藏·列表数值,派生,after_null n>8=1443
AUCTION_LIST,S25_拍卖行,102,208,446,218,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=124
AUCTION_LIST,S25_拍卖行,699,393,703,394,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=6
AUCTION_LIST,S25_拍卖行,17,422,697,449,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=6498
AUCTION_LIST,S25_拍卖行,17,451,697,481,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=4790
AUCTION_LIST,S25_拍卖行,32,488,261,507,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2203
AUCTION_LIST,S25_拍卖行,32,514,261,547,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3370
AUCTION_LIST,S25_拍卖行,17,555,697,593,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=4549
AUCTION_LIST,S25_拍卖行,17,595,697,625,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3525
AUCTION_LIST,S25_拍卖行,32,632,218,668,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3301
AUCTION_LIST,S25_拍卖行,16,675,697,736,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=6387
AUCTION_LIST,S25_拍卖行,16,740,697,788,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=9033
AUCTION_LIST,S25_拍卖行,33,795,280,816,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2592
AUCTION_LIST,S25_拍卖行,32,824,433,842,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3071
AUCTION_LIST,S25_拍卖行,32,854,477,867,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2802
AUCTION_LIST,S25_拍卖行,33,874,468,910,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=4846
AUCTION_LIST,S25_拍卖行,32,917,345,962,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3704
AUCTION_LIST,S25_拍卖行,17,970,697,1039,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=11044
AUCTION_LIST,S25_拍卖行,33,1046,280,1067,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2554
AUCTION_LIST,S25_拍卖行,32,1074,417,1093,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3147
AUCTION_LIST,S25_拍卖行,32,1104,453,1118,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2834
AUCTION_LIST,S25_拍卖行,32,1125,453,1160,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=4241
AUCTION_LIST,S25_拍卖行,32,1168,345,1213,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=3572
AUCTION_LIST,S25_拍卖行,17,1220,697,1257,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=5540
AUCTION_LIST,S25_拍卖行,17,1259,697,1271,拍卖行·列表全部(价/剩余时间/出价),实时+派生,after_null n>8=2206
BEAST_BODY,S31_灵兽,84,308,87,308,灵兽·数值,派生,after_null n>8=3
BEAST_BODY,S31_灵兽,84,310,87,312,灵兽·数值,派生,after_null n>8=7
BEAST_BODY,S31_灵兽,95,856,104,863,灵兽·数值,派生,after_null n>8=44
LINGXUN_LIST,S32_灵讯,27,313,691,327,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=1127
LINGXUN_LIST,S32_灵讯,38,339,224,357,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=1835
LINGXUN_LIST,S32_灵讯,27,389,691,403,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=973
LINGXUN_LIST,S32_灵讯,38,415,224,433,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=1835
LINGXUN_LIST,S32_灵讯,27,458,691,509,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=3712
LINGXUN_LIST,S32_灵讯,206,614,505,627,灵讯·列表(含未读/时间),未读计数(实时),after_null n>8=116
XUANBANG_LIST,S35_玄榜,663,362,702,375,玄榜·排行数值,实时(排名),after_null n>8=211
XUANBANG_LIST,S35_玄榜,664,396,702,409,玄榜·排行数值,实时(排名),after_null n>8=193
XUANBANG_LIST,S35_玄榜,173,428,703,446,玄榜·排行数值,实时(排名),after_null n>8=611
XUANBANG_LIST,S35_玄榜,170,463,703,481,玄榜·排行数值,实时(排名),after_null n>8=1290
XUANBANG_LIST,S35_玄榜,170,498,223,515,玄榜·排行数值,实时(排名),after_null n>8=530
XUANBANG_LIST,S35_玄榜,263,1257,293,1267,玄榜·排行数值,实时(排名),after_null n>8=110
TECH_BODY,S38_科技,95,428,104,436,科技·节点数值,派生,after_null n>8=49
TECH_BODY,S38_科技,83,447,87,454,科技·节点数值,派生,after_null n>8=18
HOME_EVENT_TIMER,TAB_宗门,487,132,506,145,大典盛事·重置倒计时,实时倒计时(秒/分级),after_null n>8=137
HOME_WEATHER_RUMOR,TAB_宗门,208,724,620,748,宗门气象·今日传闻文本,随机/每日轮换,after_null n>8=778
HOME_SNAPSHOT_VALUE,TAB_宗门,426,807,436,820,快照条·4列数值(件/气运/弟子等),派生(库存/任务/气运),after_null n>8=74
HOME_QUICKBTN_ROW,TAB_宗门,308,930,411,945,常用4钮·角标/文本,派生,after_null n>8=903
DISCIPLE_ROW_VALUES,TAB_弟子,353,171,401,184,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=245
DISCIPLE_ROW_VALUES,TAB_弟子,179,415,187,427,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=63
DISCIPLE_ROW_VALUES,TAB_弟子,135,556,187,569,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=116
DISCIPLE_ROW_VALUES,TAB_弟子,601,663,670,683,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=760
DISCIPLE_ROW_VALUES,TAB_弟子,135,698,187,710,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=72
DISCIPLE_ROW_VALUES,TAB_弟子,134,839,187,851,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=99
DISCIPLE_ROW_VALUES,TAB_弟子,135,980,187,991,弟子录·各行李数/数值(修为/寿元/贡献/道行),派生(随时间增长),after_null n>8=90
TIANXIA_BODY,X01_天下,349,170,361,174,天下舆图·主区(城池/势力/资源),派生,after_null n>8=46
TIANXIA_BODY,X01_天下,387,181,397,186,天下舆图·主区(城池/势力/资源),派生,after_null n>8=38
TIANXIA_BODY,X01_天下,364,197,399,207,天下舆图·主区(城池/势力/资源),派生,after_null n>8=173
TIANXIA_BODY,X01_天下,366,222,387,226,天下舆图·主区(城池/势力/资源),派生,after_null n>8=79
TIANXIA_BODY,X01_天下,536,248,544,255,天下舆图·主区(城池/势力/资源),派生,after_null n>8=50
TIANXIA_BODY,X01_天下,443,260,547,272,天下舆图·主区(城池/势力/资源),派生,after_null n>8=90
TIANXIA_BODY,X01_天下,415,275,547,325,天下舆图·主区(城池/势力/资源),派生,after_null n>8=1213
TIANXIA_BODY,X01_天下,415,334,627,397,天下舆图·主区(城池/势力/资源),派生,after_null n>8=2998
TIANXIA_BODY,X01_天下,100,549,106,555,天下舆图·主区(城池/势力/资源),派生,after_null n>8=23
