page_id,page_script,bg_texture_path,tex_size,dominant_hex,green_ratio,bluegray_ratio,verdict
00_home,ui/sect_home_page.gd,res://art/backgrounds/home_bg_sect_a.png,1080x1920,#152B25,0.795,0.204,偏绿
TAB_宗门,ui/sect_home_page.gd,res://art/backgrounds/home_bg_sect_a.png,1080x1920,#152B25,0.787,0.212,偏绿
TAB_弟子,ui/page_disciple.gd,-,-,#1D292F,0.353,0.647,偏蓝
TAB_殿阁,ui/page_building.gd,-,-,#1C1713,0.212,0.008,中性
TAB_历练,ui/page_explore.gd,-,-,#203432,0.985,0.015,偏绿
TAB_纪事,ui/page_chronicle.gd,-,-,#203432,0.984,0.016,偏绿
S01_丹方,ui/page_pill_formula.gd,-,-,#1B272B,0.011,0.988,偏蓝
S02_传送阵,ui/page_teleport.gd,-,-,#0A1216,0.015,0.985,偏蓝
S03_傀儡,ui/page_puppet.gd,-,-,#1B272B,0.012,0.987,偏蓝
S04_入山采撷,ui/page_hunt.gd,-,-,#0A1216,0.013,0.987,偏蓝
S05_全服拍卖,ui/page_global_auction.gd,-,-,#0A1216,0.018,0.982,偏蓝
S06_凡人王朝,ui/page_dynasty.gd,-,-,#0A1216,0.023,0.977,偏蓝
S07_功勋,ui/page_battlepass.gd,-,-,#0A1216,0.024,0.976,偏蓝
S08_功绩堂,ui/page_achievement.gd,-,-,#1F2B31,0.009,0.991,偏蓝
S09_卜算星盘,ui/page_divine.gd,-,-,#22333A,0.000,0.999,偏蓝
S10_商道,ui/page_merchant.gd,-,-,#22333A,0.001,0.999,偏蓝
S11_坊市,ui/page_shop.gd,-,-,#0A1216,0.019,0.980,偏蓝
S12_宗主,ui/page_master.gd,-,-,#22333A,0.001,0.999,偏蓝
S13_宗主管理,ui/page_sect_manager.gd,-,-,#0A1216,0.022,0.978,偏蓝
S14_宗务,ui/page_quest.gd,-,-,#0A1216,0.022,0.978,偏蓝
S15_宗规,ui/page_rules.gd,-,-,#0A1216,0.026,0.974,偏蓝
S16_宗门典藏,ui/page_codex.gd,-,-,#1F2B31,0.007,0.993,偏蓝
S17_宗门战,ui/page_zongmen_battle.gd,-,-,#243439,0.006,0.994,偏蓝
S18_宗门时令,ui/page_activity.gd,-,-,#0F2721,0.969,0.031,偏绿
S19_宗门气运,ui/page_sect_qi.gd,-,-,#0D231F,0.968,0.032,偏绿
S20_宗门舆图,ui/page_atlas.gd,-,-,#0A1216,0.067,0.933,偏蓝
S21_家族,ui/page_family.gd,-,-,#22333A,0.000,1.000,偏蓝
S22_幻形,ui/page_huanxing.gd,res://art/backgrounds/home_bg_sect_a.png,1080x1920,#0A1B17,0.995,0.005,偏绿
S23_库藏,ui/page_storage.gd,-,-,#0A1216,0.019,0.981,偏蓝
S24_护道人,ui/page_guardian.gd,-,-,#22333A,0.000,1.000,偏蓝
S25_拍卖行,ui/page_auction.gd,-,-,#212C29,0.858,0.142,偏绿
S26_探遗迹,ui/page_relic.gd,-,-,#22333A,0.000,0.999,偏蓝
S27_日供,ui/page_premium.gd,-,-,#0A1216,0.152,0.848,偏蓝
S28_机缘,ui/page_opportunity.gd,-,-,#22333A,0.000,1.000,偏蓝
S29_毒道,ui/page_poison.gd,-,-,#22333A,0.000,1.000,偏蓝
S30_法宝,ui/page_treasure.gd,-,-,#22333A,0.000,0.999,偏蓝
S31_灵兽,ui/page_beast.gd,-,-,#22333A,0.000,0.999,偏蓝
S32_灵讯,ui/page_mail.gd,-,-,#0A1216,0.017,0.983,偏蓝
S33_灵酿,ui/page_brew.gd,-,-,#22333A,0.000,0.999,偏蓝
S34_灵钓,ui/page_fishing.gd,-,-,#22333A,0.000,0.999,偏蓝
S35_玄榜,ui/page_leaderboard.gd,-,-,#0A1216,0.016,0.984,偏蓝
S36_碎片宝箱,ui/page_fragment_chest.gd,-,-,#1F2B31,0.014,0.985,偏蓝
S37_祖师堂,ui/page_ancestor.gd,-,-,#0A1216,0.014,0.986,偏蓝
S38_科技,ui/page_tech.gd,-,-,#22333A,0.000,0.999,偏蓝
