页id	判定	改动占比	平均Δ	带上	带中	带下	主改前	主改后	ΔHue°	位移dx	位移dy	区域数	在预期表	线索
X02_心弦	COLOR_DELTA	0.02754	0.685	0.0660	0.0167	0.0000	#1A1E21	#1E2225	-3.0	0	0	1	-	
X03_传讯中心	COLOR_DELTA	0.01798	0.877	0.0004	0.0535	0.0000	#101015	#232425	-35.8	0	0	4	-	
S25_拍卖行	COLOR_DELTA	0.01787	0.478	0.0099	0.0226	0.0212	#282726	#25231E	2.3	0	0	13	-	
TAB_纪事	COLOR_DELTA	0.01690	0.248	0.0114	0.0229	0.0164	#34322E	#2F2C23	2.2	0	0	20	-	
X01_天下	COLOR_DELTA	0.01556	0.352	0.0176	0.0088	0.0203	#282E35	#242829	-21.5	0	0	10	-	
S32_灵讯	COLOR_DELTA	0.01415	1.318	0.0178	0.0247	0.0000	#262627	#0E1014	-20.6	0	0	14	-	
S36_碎片宝箱	COLOR_DELTA	0.01097	0.258	0.0069	0.0219	0.0041	#34322E	#302B23	3.4	0	0	14	-	
S11_坊市	COLOR_DELTA	0.01070	0.477	0.0008	0.0225	0.0088	#232324	#202020	-20.1	0	0	9	-	
S17_宗门战	COLOR_DELTA	0.00893	1.200	0.0105	0.0128	0.0035	#312F2C	#2D2922	-3.1	0	0	23	-	
S10_商道	COLOR_DELTA	0.00870	1.666	0.0107	0.0154	0.0000	#393631	#332F24	0.6	0	0	9	-	
S06_凡人王朝	COLOR_DELTA	0.00719	0.513	0.0009	0.0000	0.0206	#222222	#22211E	-16.5	0	0	8	-	
S43_论道棋弈	COLOR_DELTA	0.00716	1.717	0.0147	0.0068	0.0000	#393631	#332F24	0.7	0	0	5	-	
S07_功勋	COLOR_DELTA	0.00531	0.709	0.0063	0.0048	0.0048	#32302C	#2E2A21	3.4	0	0	18	-	
S48_阵营声望	COLOR_DELTA	0.00530	0.996	0.0037	0.0092	0.0030	#34322E	#2F2B23	-4.7	0	0	19	-	
S09_卜算星盘	COLOR_DELTA	0.00479	1.693	0.0099	0.0045	0.0000	#393731	#342F24	1.0	0	0	6	-	
S52_饲灵育兽	COLOR_DELTA	0.00399	1.687	0.0120	0.0000	0.0000	#393631	#332F24	0.7	0	0	4	-	
S02_传送阵	COLOR_DELTA	0.00387	0.241	0.0116	0.0000	0.0000	#2E2D2A	#2A2720	2.2	0	0	9	-	
