页id	判定	改动占比	平均Δ	带上	带中	带下	主改前	主改后	ΔHue°	位移dx	位移dy	区域数	在预期表	线索
00_home	COLOR_DELTA	1.00000	16.383	1.0000	1.0000	1.0000	#242729	#240F42	69.4	0	0	1	Y	
S11_坊市	COLOR_DELTA	0.50000	4.167	1.0000	0.5012	0.0000	#16191C	#2F191C	144.2	0	0	1	Y	
S01_丹方	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S02_传送阵	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	Y	⚠️预期改但未变=硬编码Color未接token线索
S03_傀儡	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S04_入山采撷	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S05_全服拍卖	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S06_凡人王朝	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S07_功勋	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S08_功绩堂	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S09_卜算星盘	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S10_商道	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S12_宗主	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S13_宗主管理	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S14_宗务	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S15_宗规	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S16_宗门典藏	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S17_宗门战	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S18_宗门时令	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S19_宗门气运	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S21_家族	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S22_幻形	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S23_库藏	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S24_护道人	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S25_拍卖行	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S26_探遗迹	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S27_日供	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S28_机缘	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S29_毒道	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S30_法宝	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S31_灵兽	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S32_灵讯	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S33_灵酿	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S34_灵钓	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S35_玄榜	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S36_碎片宝箱	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S37_祖师堂	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S38_科技	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S39_药园	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S40_药圃经营	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S41_藏书阁	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S42_装备图纸	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S43_论道棋弈	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S44_设置	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S45_身外化身	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S46_道友	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S47_闲情雅趣	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S48_阵营声望	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S49_音律	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S50_风水堪舆	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S51_飞升	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S52_饲灵育兽	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
TAB_历练	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
TAB_宗门	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
TAB_弟子	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
TAB_殿阁	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
TAB_纪事	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X01_天下	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X02_心弦	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X03_传讯中心	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X04_宗主详情	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X05_玩家交易	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X06_离线管理	IDENTICAL	0.00000	0.000	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
S20_宗门舆图	LAYOUT_SHIFT	0.10351	2.558	0.1357	0.0975	0.0774	#282A28	#282A28	1.4	0	3	8	Y	
