teach_id,chain_id,步序,绑定系统key,名称,描述,condition_type,condition_param,is_auto_trigger,jump_path,reward_lingjing,reward_lingqi
T_disciple_recruit_1,T_disciple_recruit,1,disciple_recruit,测灵招收·初识,前往测灵招收，熟悉门径,open_page,弟子,false,弟子,0,0
T_disciple_recruit_2,T_disciple_recruit,2,disciple_recruit,测灵招收·践行,于测灵招收中行事一次,recruit_count,1,true,弟子,0,0
T_hall_assign_1,T_hall_assign,1,hall_assign,堂口派遣·初识,前往堂口派遣，熟悉门径,open_page,殿阁,false,殿阁,0,0
T_hall_assign_2,T_hall_assign,2,hall_assign,堂口派遣·践行,于堂口派遣中行事一次,appoint_zhishi,1,true,殿阁,0,0
T_cultivate_breakthrough_1,T_cultivate_breakthrough,1,cultivate_breakthrough,修炼突破·初识,前往修炼突破，熟悉门径,open_page,弟子,false,弟子,0,0
T_cultivate_breakthrough_2,T_cultivate_breakthrough,2,cultivate_breakthrough,修炼突破·践行,于修炼突破中行事一次,realm_first_enter,1,true,弟子,0,0
T_building_upgrade_1,T_building_upgrade,1,building_upgrade,殿阁营造·初识,前往殿阁营造，熟悉门径,open_page,殿阁,false,殿阁,0,0
T_building_upgrade_2,T_building_upgrade,2,building_upgrade,殿阁营造·践行,于殿阁营造中行事一次,upgrade_building,1,true,殿阁,0,0
T_alchemy_1,T_alchemy,1,alchemy,炼丹·初识,前往炼丹，熟悉门径,open_page,丹方,false,丹方,0,0
T_alchemy_2,T_alchemy,2,alchemy,炼丹·践行,于炼丹中行事一次,refine_pill,1,true,丹方,0,0
T_forge_1,T_forge,1,forge,炼器·初识,前往炼器，熟悉门径,open_page,装备图纸,false,装备图纸,0,0
T_forge_2,T_forge,2,forge,炼器·践行,于炼器中行事一次,forge_equipment,1,true,装备图纸,0,0
T_expedition_1,T_expedition,1,expedition,历练秘境·初识,前往历练秘境，熟悉门径,open_page,历练,false,历练,0,0
T_expedition_2,T_expedition,2,expedition,历练秘境·践行,于历练秘境中行事一次,expedition,1,true,历练,0,0
T_caravan_1,T_caravan,1,caravan,商队贸易·初识,前往商队贸易，熟悉门径,open_page,商道,false,商道,0,0
T_caravan_2,T_caravan,2,caravan,商队贸易·一观,往商队贸易中一观,open_page,商道,true,商道,0,0
T_auction_1,T_auction,1,auction,坊市拍卖·初识,前往坊市拍卖，熟悉门径,open_page,拍卖行,false,拍卖行,0,0
T_auction_2,T_auction,2,auction,坊市拍卖·一观,往坊市拍卖中一观,open_page,拍卖行,true,拍卖行,0,0
T_poison_dao_1,T_poison_dao,1,poison_dao,毒道·初识,前往毒道，熟悉门径,open_page,毒道,false,毒道,0,0
T_poison_dao_2,T_poison_dao,2,poison_dao,毒道·一观,往毒道中一观,open_page,毒道,true,毒道,0,0
T_fishing_1,T_fishing,1,fishing,灵钓·初识,前往灵钓，熟悉门径,open_page,闲情雅趣,false,闲情雅趣,0,0
T_fishing_2,T_fishing,2,fishing,灵钓·一观,往灵钓中一观,open_page,闲情雅趣,true,闲情雅趣,0,0
T_relic_1,T_relic,1,relic,探秘·初识,前往探秘，熟悉门径,open_page,闲情雅趣,false,闲情雅趣,0,0
T_relic_2,T_relic,2,relic,探秘·一观,往探秘中一观,open_page,闲情雅趣,true,闲情雅趣,0,0
T_beast_raise_1,T_beast_raise,1,beast_raise,饲灵·初识,前往饲灵，熟悉门径,open_page,灵兽,false,灵兽,0,0
T_beast_raise_2,T_beast_raise,2,beast_raise,饲灵·一观,往饲灵中一观,open_page,灵兽,true,灵兽,0,0
T_divine_1,T_divine,1,divine,卜算·初识,前往卜算，熟悉门径,open_page,闲情雅趣,false,闲情雅趣,0,0
T_divine_2,T_divine,2,divine,卜算·一观,往卜算中一观,open_page,闲情雅趣,true,闲情雅趣,0,0
T_herb_garden_1,T_herb_garden,1,herb_garden,药圃·初识,前往药圃，熟悉门径,open_page,药园,false,药园,0,0
T_herb_garden_2,T_herb_garden,2,herb_garden,药圃·一观,往药圃中一观,open_page,药园,true,药园,0,0
T_chess_1,T_chess,1,chess,论道·初识,前往论道，熟悉门径,open_page,论道棋弈,false,论道棋弈,0,0
T_chess_2,T_chess,2,chess,论道·一观,往论道中一观,open_page,论道棋弈,true,论道棋弈,0,0
T_brew_1,T_brew,1,brew,灵酿·初识,前往灵酿，熟悉门径,open_page,灵酿,false,灵酿,0,0
T_brew_2,T_brew,2,brew,灵酿·一观,往灵酿中一观,open_page,灵酿,true,灵酿,0,0
T_music_1,T_music,1,music,音律·初识,前往音律，熟悉门径,open_page,音律,false,音律,0,0
T_music_2,T_music,2,music,音律·一观,往音律中一观,open_page,音律,true,音律,0,0
T_fengshui_1,T_fengshui,1,fengshui,风水堪舆·初识,前往风水堪舆，熟悉门径,open_page,风水堪舆,false,风水堪舆,0,0
T_fengshui_2,T_fengshui,2,fengshui,风水堪舆·一观,往风水堪舆中一观,open_page,风水堪舆,true,风水堪舆,0,0
