系统key,系统名,核心操作计数键,核心产出物id,道途tag,晨课权重,传法帖版本
disciple_recruit,测灵招收,recruit_count,,,1,1
hall_assign,堂口派遣,appoint_zhishi,,,2,1
cultivate_breakthrough,修炼突破,realm_first_enter,,,2,1
topbar_generation,传承代数计数器,,,,0,1
world_landscape,天下舆图,,,战道,1,1
leaderboard,玄榜,,,,0,1
codex,宗门典藏,,,,0,1
fragment_chest,碎片宝箱,,,,1,1
atlas,宗门舆图,,,,0,1
building_upgrade,殿阁营造,upgrade_building,,,2,1
storage,库房背包,,,,0,1
alchemy,炼丹,refine_pill,,丹道,2,1
forge,炼器,forge_equipment,,器道,2,1
expedition,历练秘境,expedition,,战道,2,1
quest_daily,日常差事,,,,1,1
caravan,商队贸易,,,商道,2,1
opportunity,机缘,,,,1,1
auction,坊市拍卖,,,商道,1,1
family,家族血脉,,,,1,1
chronicle,宗门史记,,,,0,1
poison_dao,毒道,,,丹道,1,1
guardian,护道人,,,战道,1,1
fishing,灵钓,,,逍遥,1,1
relic,探秘,,,逍遥,1,1
beast_raise,饲灵,,,御兽道,1,1
divine,卜算,,,逍遥,1,1
herb_garden,药圃,,,丹道,1,1
chess,论道,,,逍遥,1,1
brew,灵酿,,,逍遥,1,1
music,音律,,,逍遥,1,1
zongmen_battle,宗门战,,,战道,1,1
faction,阵营路线,,,战道,1,1
achievement,功绩成就,,,,0,1
fengshui,风水堪舆,,,,1,1
ancestor_hall,先贤堂,,,,0,1
feisheng,飞升与转世,,,,0,1
ending,宗门结局,,,,0,1
ascension_hall,飞升大典,,,,0,1
