item_id,item_name,category,folder,grade,sub_grade,type,icon_path,tier,badge_grade,archetype,center_normal,center_top
mat_001,凡品灵草,材料,material,凡品,,灵草类,res://icon/material/mat_001.png,low,凡品,herb,herb_normal.png,herb_top.png
mat_002,百年灵草,材料,material,灵品,,灵草类,res://icon/material/mat_002.png,low,灵品,herb,herb_normal.png,herb_top.png
mat_003,三百年灵草,材料,material,宝品,,灵草类,res://icon/material/mat_003.png,mid,宝品,herb,herb_normal.png,herb_top.png
mat_004,五百年灵草,材料,material,王品,,灵草类,res://icon/material/mat_004.png,mid,王品,herb,herb_normal.png,herb_top.png
mat_005,千年灵草,材料,material,圣品,,灵草类,res://icon/material/mat_005.png,mid,圣品,herb,herb_normal.png,herb_top.png
mat_006,万年灵草,材料,material,仙品,,灵草类,res://icon/material/mat_006.png,high,仙品,herb,herb_normal.png,herb_top.png
mat_007,十万年灵草,材料,material,道品,,灵草类,res://icon/material/mat_007.png,high,道品,herb,herb_normal.png,herb_top.png
mat_008,凡铁矿石,材料,material,凡品,,矿石类,res://icon/material/mat_008.png,low,凡品,ore,ore_normal.png,ore_top.png
mat_009,精铁矿石,材料,material,灵品,,矿石类,res://icon/material/mat_009.png,low,灵品,ore,ore_normal.png,ore_top.png
mat_010,百年玄铁,材料,material,宝品,,矿石类,res://icon/material/mat_010.png,mid,宝品,ore,ore_normal.png,ore_top.png
mat_011,千年玄铁,材料,material,王品,,矿石类,res://icon/material/mat_011.png,mid,王品,ore,ore_normal.png,ore_top.png
mat_012,万年玄铁,材料,material,圣品,,矿石类,res://icon/material/mat_012.png,mid,圣品,ore,ore_normal.png,ore_top.png
mat_013,凡品灵布,材料,material,凡品,,织物类,res://icon/material/mat_013.png,low,凡品,fabric,fabric_normal.png,fabric_top.png
mat_014,灵纹布,材料,material,灵品,,织物类,res://icon/material/mat_014.png,low,灵品,fabric,fabric_normal.png,fabric_top.png
mat_015,金蚕丝,材料,material,宝品,,织物类,res://icon/material/mat_015.png,mid,宝品,fabric,fabric_normal.png,fabric_top.png
mat_016,玄冰蚕丝,材料,material,王品,,织物类,res://icon/material/mat_016.png,mid,王品,fabric,fabric_normal.png,fabric_top.png
mat_017,妖兽血,材料,material,凡品,,妖兽类,res://icon/material/mat_017.png,low,凡品,beast,beast_normal.png,beast_top.png
mat_018,妖兽皮,材料,material,凡品,,妖兽类,res://icon/material/mat_018.png,low,凡品,beast,beast_normal.png,beast_top.png
